YY,MM,DD,WDIR,WSPD,ATMP
2013,7,16,2.0,4.46,8.75
2013,7,17,6.0,5.31,16.6
2013,7,18,2.0,4.45,13.5
2013,7,19,6.0,8.3,14.15
2013,7,20,0.0,4.78,11.45
2013,7,21,6.0,5.16,11.0
2013,7,22,3.0,5.14,9.5
2013,7,23,0.0,7.74,11.9
2013,7,24,6.0,7.19,12.8
2013,7,25,4.0,5.65,10.6
2013,7,26,1.0,6.05,8.5
2013,7,27,0.0,3.04,7.65
2013,7,28,0.0,4.97,8.55
2013,7,29,6.0,6.13,10.7
2013,7,30,5.0,3.32,10.2
2013,7,31,5.0,5.95,11.15
2013,8,1,6.0,7.94,12.45
2013,8,2,6.0,7.9,12.1
2013,8,3,6.0,5.53,14.15
2013,8,4,6.0,6.25,12.7
2013,8,5,5.0,3.82,11.3
2013,8,6,5.0,2.5,11.75
2013,8,7,0.0,3.49,12.8
2013,8,8,6.0,6.37,12.9
2013,8,9,6.0,5.6,13.1
2013,8,10,6.0,7.04,14.25
2013,8,11,6.0,8.57,15.4
2013,8,12,6.0,4.13,13.75
2013,8,13,0.0,3.45,12.95
2013,8,14,6.0,8.8,13.3
2013,8,15,6.0,10.01,15.25
2013,8,16,6.0,4.32,15.4
2013,8,17,5.0,6.72,15.95
2013,8,18,5.0,8.29,15.4
2013,8,19,5.0,7.43,15.8
2013,8,20,5.0,6.82,16.45
2013,8,21,5.0,6.81,18.0
2013,8,22,6.0,5.48,16.25
2013,8,23,4.0,3.63,16.2
2013,8,24,4.0,4.98,16.5
2013,8,25,5.0,8.12,18.65
2013,8,26,7.0,4.41,18.8
2013,8,27,2.0,3.51,15.15
2013,8,28,2.0,3.17,17.6
2013,8,29,6.0,3.83,18.0
2013,8,30,0.0,4.76,17.45
2013,8,31,4.0,5.6,15.4
2013,9,1,0.0,5.95,15.05
2013,9,2,0.0,8.02,10.95
2013,9,3,6.0,6.92,14.3
2013,9,4,1.0,6.03,11.5
2013,9,5,5.0,3.99,12.7
2013,9,6,5.0,6.7,15.4
2013,9,7,1.0,3.38,16.25
2013,9,8,2.0,5.51,12.55
2013,9,9,3.0,3.72,13.7
2013,9,10,1.0,4.01,13.85
2013,9,11,6.0,3.91,14.1
2013,9,12,0.0,4.66,11.5
2013,9,13,1.0,3.52,10.3
2013,9,14,5.0,9.1,13.65
2013,9,15,1.0,6.79,10.85
2013,9,16,4.0,4.28,10.1
2013,9,17,4.0,7.6,12.3
2013,9,18,4.0,5.25,13.45
2013,9,19,2.0,5.0,13.75
2013,9,20,6.0,7.44,14.55
2013,9,21,7.0,8.79,8.75
2013,9,22,1.0,3.47,7.65
2013,9,23,3.0,8.63,10.85
2013,9,24,4.0,6.83,12.4
2013,9,25,2.0,3.17,11.9
2013,9,26,2.0,4.54,12.1
2013,9,27,3.0,7.45,14.1
2013,9,28,3.0,12.2,15.25
