YY,MM,DD,WDIR,WSPD,ATMP
2013,6,15,1.0,2.56,6.35
2013,6,16,4.0,3.36,14.9
2013,6,17,1.0,5.62,5.75
2013,6,18,1.0,3.5,6.0
2013,6,19,1.0,1.49,9.3
2013,6,20,1.0,2.6,8.8
2013,6,21,1.0,4.98,6.4
2013,6,22,1.0,4.26,6.7
2013,6,23,1.0,3.11,6.1
2013,6,24,4.0,1.51,17.4
2013,6,25,3.0,2.28,18.6
2013,6,26,1.0,2.04,10.7
2013,6,27,6.0,2.66,15.0
2013,6,28,6.0,4.03,16.25
2013,6,29,0.0,1.95,11.8
2013,6,30,3.0,1.65,13.9
2013,7,1,1.0,5.13,11.7
2013,7,2,0.0,3.27,9.1
2013,7,3,0.0,1.96,10.7
2013,7,4,1.0,1.5,12.3
2013,7,5,4.0,4.25,22.7
2013,7,6,4.0,4.51,24.2
2013,7,7,1.0,4.88,11.5
2013,7,8,1.0,3.13,9.2
2013,7,9,1.0,2.1,9.2
2013,7,10,6.0,3.88,15.3
2013,7,11,1.0,2.29,17.1
2013,7,12,4.0,3.9,23.2
2013,7,13,4.0,4.12,23.9
2013,7,14,4.0,1.97,20.2
2013,7,15,1.0,2.85,18.0
2013,7,16,1.0,2.13,16.5
2013,7,17,4.0,3.35,26.2
2013,7,18,0.0,2.55,19.5
2013,7,19,6.0,5.18,23.2
2013,7,20,1.0,5.21,18.8
2013,7,21,1.0,4.46,13.5
2013,7,22,6.0,3.18,13.3
2013,7,23,6.0,3.14,14.6
2013,7,24,3.0,2.3,16.6
2013,7,25,4.0,3.66,19.1
2013,7,26,1.0,4.35,14.1
2013,7,27,7.0,5.84,11.2
2013,7,28,7.0,3.53,12.3
2013,7,29,3.0,1.56,15.7
2013,7,30,4.0,1.79,17.5
2013,7,31,4.0,3.5,18.8
2013,8,1,6.0,3.76,18.6
2013,8,2,6.0,2.69,17.5
2013,8,3,6.0,2.85,17.8
2013,8,4,3.0,1.76,15.7
2013,8,5,3.0,2.42,17.0
2013,8,6,1.0,2.69,17.3
2013,8,7,6.0,3.28,18.1
2013,8,8,6.0,1.91,16.0
2013,8,9,6.0,3.32,17.4
2013,8,10,4.0,1.99,16.5
2013,8,11,3.0,1.93,16.8
2013,8,12,4.0,2.78,18.2
2013,8,13,3.0,2.13,14.6
2013,8,14,7.0,1.53,14.9
2013,8,15,3.0,1.79,16.9
2013,8,16,3.0,1.55,18.5
2013,8,17,4.0,3.52,20.8
2013,8,18,4.0,4.28,21.2
2013,8,19,4.0,3.7,21.8
2013,8,20,4.0,3.67,24.4
2013,8,21,4.0,3.48,25.4
2013,8,22,7.0,1.65,19.8
2013,8,23,3.0,3.01,17.7
2013,8,24,4.0,3.34,21.0
2013,8,25,4.0,5.26,26.8
2013,8,26,1.0,2.68,21.75
2013,8,27,0.0,3.64,18.45
2013,8,28,0.0,1.36,18.1
2013,8,29,3.0,1.69,20.0
2013,8,30,1.0,3.5,21.0
2013,8,31,3.0,1.26,18.5
2013,9,1,6.0,4.76,19.4
2013,9,2,0.0,4.95,14.7
2013,9,3,3.0,2.84,13.6
2013,9,4,1.0,3.55,18.2
2013,9,5,3.0,2.49,14.4
2013,9,6,4.0,1.83,18.3
2013,9,7,3.0,2.28,20.9
2013,9,8,1.0,2.72,14.4
2013,9,9,1.0,2.35,13.1
2013,9,10,5.0,2.43,17.3
2013,9,11,4.0,3.18,18.9
2013,9,12,7.0,4.3,15.4
2013,9,13,3.0,2.43,13.6
2013,9,14,4.0,3.28,13.2
2013,9,15,1.0,4.86,13.1
2013,9,16,3.0,2.03,8.4
2013,9,17,4.0,3.28,10.65
2013,9,18,4.0,1.81,15.7
2013,9,19,1.0,2.34,16.0
2013,9,20,6.0,4.99,15.7
2013,9,21,7.0,5.49,12.1
2013,9,22,3.0,1.77,8.4
2013,9,23,4.0,1.99,10.95
2013,9,24,1.0,2.95,13.0
2013,9,25,3.0,2.78,10.85
2013,9,26,3.0,2.56,12.5
2013,9,27,1.0,2.39,15.45
2013,9,28,4.0,6.15,20.75
2013,9,29,4.0,3.61,12.75
2013,9,30,4.0,6.17,17.3
2013,10,1,4.0,5.33,19.3
2013,10,2,5.0,2.89,15.5
2013,10,3,1.0,4.18,12.5
2013,10,4,1.0,7.77,11.5
2013,10,5,1.0,8.11,9.85
2013,10,6,1.0,5.91,9.3
2013,10,7,4.0,3.08,10.5
2013,10,8,4.0,4.1,11.75
2013,10,9,4.0,5.67,18.9
2013,10,10,4.0,3.08,14.7
2013,10,11,3.0,2.69,16.1
2013,10,12,5.0,5.86,14.85
2013,10,13,6.0,5.53,10.4
2013,10,14,3.0,2.22,5.9
2013,10,15,1.0,6.78,9.7
2013,10,16,0.0,6.65,7.8
2013,10,17,4.0,1.88,6.3
2013,10,18,0.0,5.29,7.7
2013,10,19,4.0,2.64,4.8
2013,10,20,3.0,2.14,3.7
2013,10,21,6.0,8.67,2.9
2013,10,22,7.0,7.25,3.85
2013,10,23,7.0,5.4,2.9
2013,10,24,7.0,6.18,3.2
2013,10,25,4.0,6.16,5.3
2013,10,26,7.0,8.36,6.3
2013,10,27,4.0,4.66,5.0
2013,10,28,1.0,7.92,2.45
2013,10,29,3.0,1.11,-1.85
2013,10,30,3.0,1.07,2.8
2013,10,31,0.0,1.66,6.8
2014,6,1,0.0,1.55,5.0
2014,6,2,7.0,1.83,5.0
2014,6,3,6.0,5.68,14.7
2014,6,4,1.0,3.09,9.5
2014,6,5,1.0,2.87,5.6
2014,6,6,6.0,1.93,8.4
2014,6,7,1.0,2.06,11.15
2014,6,8,0.0,1.8,9.1
2014,6,9,1.0,2.06,8.0
2014,6,10,1.0,3.2,6.6
2014,6,11,0.0,2.49,6.5
2014,6,12,6.0,5.87,9.8
2014,6,13,6.0,3.94,9.4
2014,6,14,1.0,5.68,5.8
2014,6,15,1.0,5.27,8.65
2014,6,16,4.0,4.41,19.05
2014,6,17,0.0,1.73,11.2
2014,6,18,1.0,7.55,7.7
2014,6,19,1.0,6.6,6.9
2014,6,20,1.0,4.15,5.4
2014,6,21,1.0,4.17,5.3
2014,6,22,1.0,2.77,6.1
2014,6,23,0.0,1.37,7.1
2014,6,24,1.0,2.94,6.9
2014,6,25,1.0,5.73,6.1
2014,6,26,1.0,5.03,7.0
2014,6,27,1.0,4.65,6.5
2014,6,28,1.0,2.67,7.4
2014,6,29,4.0,4.24,19.9
2014,6,30,4.0,7.14,24.3
2014,7,1,6.0,5.28,18.7
2014,7,2,6.0,3.01,11.7
2014,7,3,4.0,2.12,15.2
2014,7,4,3.0,1.81,16.9
2014,7,5,4.0,4.73,20.3
2014,7,6,4.0,4.43,22.4
2014,7,7,5.0,4.74,20.5
2014,7,8,1.0,2.49,10.5
2014,7,9,6.0,1.79,12.9
2014,7,10,1.0,2.49,15.4
2014,7,11,4.0,3.54,18.9
2014,7,12,4.0,1.97,18.2
2014,7,13,6.0,4.37,17.4
2014,7,14,6.0,3.65,13.0
2014,7,15,6.0,2.67,13.2
2014,7,16,6.0,2.24,14.6
2014,7,17,4.0,2.29,18.9
2014,7,18,4.0,3.3,19.7
2014,7,19,4.0,5.19,21.25
2014,7,20,4.0,4.34,21.2
2014,7,21,4.0,4.05,25.4
2014,7,22,4.0,3.95,21.0
2014,7,23,0.0,1.76,16.5
2014,7,24,1.0,1.95,15.5
2014,7,25,1.0,1.73,18.5
2014,7,26,6.0,3.26,21.6
2014,7,27,1.0,4.67,16.2
2014,7,28,6.0,2.56,14.8
2014,7,29,6.0,3.22,17.7
2014,7,30,5.0,2.13,15.1
2014,7,31,6.0,2.08,18.5
2014,8,1,3.0,2.24,16.4
2014,8,2,1.0,1.75,15.3
2014,8,3,1.0,2.38,18.2
2014,8,4,1.0,3.43,15.8
2014,8,5,1.0,1.43,13.0
2014,8,6,3.0,2.83,15.8
2014,8,7,1.0,2.89,14.8
2014,8,8,1.0,1.66,15.0
2014,8,9,1.0,1.89,18.2
2014,8,10,3.0,1.26,20.7
2014,8,11,0.0,3.51,18.3
2014,8,12,6.0,2.15,16.7
2014,8,13,1.0,3.03,18.0
2014,8,14,3.0,2.16,16.05
2014,8,15,3.0,1.4,17.4
2014,8,16,1.0,3.4,21.5
2014,8,17,2.0,3.78,15.3
2014,8,18,1.0,2.1,11.15
2014,8,19,1.0,2.35,13.05
2014,8,20,1.0,1.55,17.3
2014,8,21,1.0,3.68,17.8
2014,8,22,1.0,5.07,15.4
2014,8,23,1.0,4.18,16.3
2014,8,24,1.0,3.75,17.5
2014,8,25,6.0,4.18,19.45
2014,8,26,6.0,6.24,16.6
2014,8,27,7.0,2.25,16.3
2014,8,28,3.0,2.66,15.4
2014,8,29,1.0,1.69,17.3
2014,8,30,1.0,2.29,17.0
2014,8,31,3.0,1.66,16.7
2014,9,1,6.0,3.77,18.6
2014,9,2,4.0,3.68,16.5
2014,9,3,4.0,3.62,17.55
2014,9,4,1.0,3.8,17.0
2014,9,5,6.0,5.92,16.8
2014,9,6,6.0,4.04,15.3
2014,9,7,4.0,4.04,17.0
2014,9,8,4.0,5.14,19.6
2014,9,9,4.0,3.02,18.3
2014,9,10,1.0,11.43,9.1
2014,9,11,0.0,3.71,8.0
2014,9,12,4.0,1.37,8.2
2014,9,13,4.0,2.69,7.1
2014,9,14,4.0,5.13,11.2
2014,9,15,4.0,3.78,10.9
2014,9,16,4.0,4.07,10.0
2014,9,17,4.0,4.5,11.9
2014,9,18,1.0,3.97,7.5
2014,9,19,4.0,4.09,14.35
2014,9,20,6.0,3.57,16.6
2014,9,21,1.0,4.28,12.3
2014,9,22,4.0,2.87,10.5
2014,9,23,4.0,2.18,15.7
2014,9,24,4.0,2.86,16.1
2014,9,25,1.0,2.46,15.5
2014,9,26,1.0,2.43,14.1
2014,9,27,1.0,1.4,15.1
2014,9,28,4.0,1.62,15.9
2014,9,29,1.0,8.24,13.2
2014,9,30,,,
2014,10,1,,,
2014,10,2,,,
2014,10,3,6.0,8.72,6.9
2014,10,4,6.0,9.26,7.3
2014,10,5,6.0,8.03,6.1
2014,10,6,5.0,5.1,7.2
2014,10,7,6.0,6.61,8.8
2014,10,8,6.0,8.97,7.2
2014,10,9,6.0,6.49,7.4
2014,10,10,4.0,3.23,5.3
2014,10,11,4.0,3.0,8.3
2014,10,12,4.0,4.37,8.4
2014,10,13,4.0,2.19,10.9
2014,10,14,1.0,4.76,10.6
2014,10,15,4.0,2.91,5.8
2014,10,16,3.0,3.13,4.8
2014,10,17,0.0,5.68,8.7
2014,10,18,0.0,5.07,5.9
2014,10,19,4.0,2.98,6.7
2014,10,20,7.0,4.47,10.3
2014,10,21,2.0,3.62,7.4
2014,10,22,4.0,2.54,5.8
2014,10,23,4.0,2.59,11.4
2014,10,24,4.0,2.49,10.6
2014,10,25,6.0,6.44,13.1
2014,10,26,6.0,3.35,9.9
2014,10,27,1.0,3.58,9.5
2014,10,28,5.0,5.4,7.9
2014,10,29,6.0,6.94,5.3
2014,10,30,5.0,4.7,5.2
2014,10,31,0.0,8.88,1.1
2015,6,1,1.0,4.7,5.2
2015,6,2,1.0,4.12,6.3
2015,6,3,1.0,1.98,7.7
2015,6,4,1.0,3.48,6.9
2015,6,5,1.0,4.55,6.8
2015,6,6,1.0,4.98,5.6
2015,6,7,1.0,3.5,7.95
2015,6,8,6.0,3.15,15.8
2015,6,9,3.0,1.59,14.65
2015,6,10,6.0,4.29,15.5
2015,6,11,1.0,3.78,14.55
2015,6,12,4.0,1.89,10.8
2015,6,13,1.0,1.3,8.8
2015,6,14,1.0,1.37,23.1
2015,6,15,6.0,3.04,16.8
2015,6,16,7.0,3.0,12.2
2015,6,17,1.0,1.94,11.6
2015,6,18,1.0,3.19,14.1
2015,6,19,1.0,2.83,12.1
2015,6,20,1.0,2.12,10.6
2015,6,21,,,
2015,6,22,4.0,1.54,13.7
2015,6,23,4.0,3.77,23.9
2015,6,24,1.0,2.67,16.1
2015,6,25,0.0,3.15,13.0
2015,6,26,0.0,2.25,13.5
2015,6,27,4.0,1.35,13.55
2015,6,28,4.0,1.9,21.3
2015,6,29,,,
2015,6,30,,,
2015,7,1,1.0,3.37,15.75
2015,7,2,,,
2015,7,3,,,
2015,7,4,,,
2015,7,5,,,
2015,7,6,4.0,2.68,17.7
2015,7,7,7.0,4.39,15.4
2015,7,8,3.0,1.81,16.7
2015,7,9,3.0,1.71,18.5
2015,7,10,4.0,2.49,21.6
2015,7,11,4.0,2.41,23.3
2015,7,12,3.0,2.49,21.6
2015,7,13,6.0,3.09,19.8
2015,7,14,1.0,3.05,20.3
2015,7,15,3.0,3.13,13.9
2015,7,16,1.0,2.88,14.1
2015,7,17,5.0,2.62,18.8
2015,7,18,3.0,3.13,22.9
2015,7,19,5.0,5.97,21.7
2015,7,20,6.0,5.1,21.25
2015,7,21,6.0,4.22,19.9
2015,7,22,1.0,2.25,19.3
2015,7,23,4.0,1.83,21.0
2015,7,24,4.0,3.22,23.1
2015,7,25,6.0,2.81,22.4
2015,7,26,4.0,1.86,24.7
2015,7,27,1.0,2.3,23.6
2015,7,28,3.0,2.23,24.1
2015,7,29,5.0,6.05,21.7
