YY,MM,DD,DISC 
2014,07,19,150
2014,07,20,149
2014,07,21,146
2014,07,22,154
2014,07,23,149
2014,07,24,145
2014,07,25,143
2014,07,26,142
2014,07,27,141
2014,07,28,139
2014,07,29,139
2014,07,30,144
2014,07,31,145
2014,08,01,138
2014,08,02,135
2014,08,03,134
2014,08,04,136
2014,08,05,133
2014,08,06,131
2014,08,07,130
2014,08,08,129
2014,08,09,128
2014,08,10,127
2014,08,11,129
2014,08,12,129
2014,08,13,127
2014,08,14,124
2014,08,15,123
2014,08,16,125
2014,08,17,127
2014,08,18,132
2014,08,19,141
2014,08,20,141
2014,08,21,138
2014,08,22,136
2014,08,23,133
2014,08,24,132
2014,08,25,281
2014,08,26,268
2014,08,27,205
2014,08,28,174
2014,08,29,228
2014,08,30,261
2014,08,31,252
2014,09,01,465
2014,09,02,432
2014,09,03,306
2014,09,04,279
2014,09,05,261
2014,09,06,236
2014,09,07,221
2014,09,08,210
2014,09,09,197
2014,09,10,431
2014,09,11,414
2014,09,12,341
2014,09,13,302
2014,09,14,271
2014,09,15,247
2014,09,16,221
2014,09,17,207
2014,09,18,196
2014,09,19,189
2014,09,20,185
2014,09,21,193
2014,09,22,184
2014,09,23,180
2014,09,24,177
2014,09,25,176
2014,09,26,174
2014,09,27,171
2014,09,28,168
2014,09,29,170
2014,09,30,164
2014,10,01,178
2014,10,02,207
2014,10,03,222
2014,10,04,334
2014,10,05,317
2014,10,06,271
2014,10,07,245
2014,10,08,227
2014,10,09,212
2014,10,10,199
2014,10,11,189
2014,10,12,183
2014,10,13,178
2014,10,14,175
2014,10,15,174
2014,10,16,170
2014,10,17,170
2014,10,18,169
2014,10,19,167
2014,10,20,165
2014,10,21,163
2014,10,22,162
2014,10,23,162
2014,10,24,162
2014,10,25,161
2014,10,26,158
2014,10,27,157
2014,10,28,157
2014,10,29,157
2014,10,30,155
2014,10,31,154
2015,06,01,185
2015,06,02,180
2015,06,03,180
2015,06,04,220
2015,06,05,209
2015,06,06,197
2015,06,07,203
2015,06,08,196
2015,06,09,190
2015,06,10,180
2015,06,11,175
2015,06,12,171
2015,06,13,171
2015,06,14,167
2015,06,15,167
2015,06,16,168
2015,06,17,171
2015,06,18,172
2015,06,19,170
2015,06,20,170
2015,06,21,169
2015,06,22,172
2015,06,23,167
2015,06,24,170
2015,06,25,174
2015,06,26,169
2015,06,27,165
2015,06,28,161
2015,06,29,167
2015,06,30,167
2015,07,01,163
2015,07,02,161
2015,07,03,159
2015,07,04,157
2015,07,05,156
2015,07,06,193
2015,07,07,185
2015,07,08,170
2015,07,09,160
2015,07,10,149
2015,07,11,142
2015,07,12,139
2015,07,13,172
2015,07,14,182
2015,07,15,168
2015,07,16,158
2015,07,17,153
2015,07,18,147
2015,07,19,140
2015,07,20,135
2015,07,21,131
2015,07,22,129
2015,07,23,128
2015,07,24,128
2015,07,25,127
2015,07,26,125
2015,07,27,123
2015,07,28,122
2015,07,29,122
2015,07,30,120
2015,07,31,118
2015,08,01,117
2015,08,02,117
2015,08,03,117
2015,08,04,117
2015,08,05,115
2015,08,06,117
2015,08,07,165
2015,08,08,164
2015,08,09,158
2015,08,10,154
2015,08,11,146
2015,08,12,138
2015,08,13,132
2015,08,14,127
2015,08,15,124
2015,08,16,124
2015,08,17,124
2015,08,18,128
2015,08,19,198
2015,08,20,223
2015,08,21,219
2015,08,22,226
2015,08,23,233
2015,08,24,215
2015,08,25,193
2015,08,26,179
2015,08,27,170
2015,08,28,164
2015,08,29,160
2015,08,30,156
2015,08,31,153
2015,09,01,152
2015,09,02,154
2015,09,03,153
2015,09,04,150
2015,09,05,148
2015,09,06,160
2015,09,07,198
2015,09,08,196
2015,09,09,190
2015,09,10,180
2015,09,11,169
2015,09,12,160
2015,09,13,152
2015,09,14,147
2015,09,15,142
2015,09,16,140
2015,09,17,151
2015,09,18,153
2015,09,19,147
2015,09,20,144
2015,09,21,141
2015,09,22,138
2015,09,23,139
2015,09,24,159
2015,09,25,162
2015,09,26,157
2015,09,27,155
2015,09,28,150
2015,09,29,144
2015,09,30,140
2015,10,01,138
2015,10,02,136
2015,10,03,136
2015,10,04,135
2015,10,05,135
2015,10,06,135
2015,10,07,134
2015,10,08,146
2015,10,09,148
2015,10,10,146
2015,10,11,143
2015,10,12,142
2015,10,13,139
2015,10,14,138
2015,10,15,137
2015,10,16,135
2015,10,17,134
2015,10,18,134
2015,10,19,135
2015,10,20,133
2015,10,21,135
2015,10,22,134
2015,10,23,136
2015,10,24,153
2015,10,25,153
2015,10,26,163
2015,10,27,166
2015,10,28,189
2015,10,29,218
2015,10,30,213
2015,10,31,214
2016,06,01,222
2016,06,02,208
2016,06,03,203
2016,06,04,246
2016,06,05,266
2016,06,06,285
2016,06,07,272
2016,06,08,259
2016,06,09,242
2016,06,10,228
2016,06,11,216
2016,06,12,203
2016,06,13,214
2016,06,14,210
2016,06,15,248
2016,06,16,253
2016,06,17,230
2016,06,18,209
2016,06,19,194
2016,06,20,191
2016,06,21,179
2016,06,22,172
2016,06,23,182
2016,06,24,174
2016,06,25,182
2016,06,26,234
2016,06,27,212
2016,06,28,200
2016,06,29,186
2016,06,30,184
2016,07,01,182
2016,07,02,176
2016,07,03,170
2016,07,04,163
2016,07,05,158
2016,07,06,155
2016,07,07,153
2016,07,08,165
2016,07,09,159
2016,07,10,156
2016,07,11,213
2016,07,12,544
2016,07,13,419
2016,07,14,346
2016,07,15,313
2016,07,16,282
2016,07,17,259
2016,07,18,238
2016,07,19,219
2016,07,20,204
2016,07,21,214
2016,07,22,211
2016,07,23,196
2016,07,24,185
2016,07,25,178
2016,07,26,172
2016,07,27,170
2016,07,28,168
2016,07,29,164
2016,07,30,162
2016,07,31,160
2016,08,01,156
2016,08,02,164
2016,08,03,166
2016,08,04,162
2016,08,05,157
2016,08,06,153
2016,08,07,150
2016,08,08,147
2016,08,09,146
2016,08,10,154
2016,08,11,168
2016,08,12,166
2016,08,13,163
2016,08,14,157
2016,08,15,152
2016,08,16,154
2016,08,17,150
2016,08,18,147
2016,08,19,148
2016,08,20,153
2016,08,21,161
2016,08,22,156
2016,08,23,150
2016,08,24,146
2016,08,25,144
2016,08,26,142
2016,08,27,142
2016,08,28,144
2016,08,29,154
2016,08,30,158
2016,08,31,155
2016,09,01,149
2016,09,02,145
2016,09,03,143
2016,09,04,142
2016,09,05,173
2016,09,06,188
2016,09,07,185
2016,09,08,191
2016,09,09,182
2016,09,10,175
2016,09,11,167
2016,09,12,161
2016,09,13,157
2016,09,14,154
2016,09,15,152
2016,09,16,153
2016,09,17,154
2016,09,18,152
2016,09,19,151
2016,09,20,149
2016,09,21,151
2016,09,22,158
2016,09,23,154
2016,09,24,152
2016,09,25,152
2016,09,26,153
2016,09,27,152
2016,09,28,153
2016,09,29,150
2016,09,30,149
2016,10,01,148
2016,10,02,148
2016,10,03,147
2016,10,04,145
2016,10,05,148
2016,10,06,149
2016,10,07,209
2016,10,08,203
2016,10,09,194
2016,10,10,186
2016,10,11,175
2016,10,12,167
2016,10,13,159
2016,10,14,156
2016,10,15,155
2016,10,16,153
2016,10,17,173
2016,10,18,171
2016,10,19,167
2016,10,20,163
2016,10,21,161
2016,10,22,159
2016,10,23,158
2016,10,24,157
2016,10,25,156
2016,10,26,155
2016,10,27,157
2016,10,28,157
2016,10,29,156
2016,10,30,156
2016,10,31,155
2017,06,01,236
2017,06,02,226
2017,06,03,227
2017,06,04,212
2017,06,05,200
2017,06,06,190
2017,06,07,182
2017,06,08,176
2017,06,09,172
2017,06,10,169
2017,06,11,167
2017,06,12,167
2017,06,13,173
2017,06,14,178
2017,06,15,170
2017,06,16,163
2017,06,17,161
2017,06,18,164
2017,06,19,163
2017,06,20,160
2017,06,21,156
2017,06,22,153
2017,06,23,151
2017,06,24,149
2017,06,25,149
2017,06,26,149
2017,06,27,147
2017,06,28,163
2017,06,29,222
2017,06,30,220
2017,07,01,200
2017,07,02,171
2017,07,03,159
2017,07,04,152
2017,07,05,163
2017,07,06,175
2017,07,07,186
2017,07,08,179
2017,07,09,174
2017,07,10,170
2017,07,11,163
2017,07,12,165
2017,07,13,164
2017,07,14,159
2017,07,15,155
2017,07,16,152
2017,07,17,150
2017,07,18,156
2017,07,19,154
2017,07,20,151
2017,07,21,152
2017,07,22,164
2017,07,23,157
2017,07,24,152
2017,07,25,150
2017,07,26,155
2017,07,27,153
2017,07,28,148
2017,07,29,144
2017,07,30,143
2017,07,31,141
2017,08,01,140
2017,08,02,139
2017,08,03,160
2017,08,04,185
2017,08,05,169
2017,08,06,159
2017,08,07,151
2017,08,08,146
2017,08,09,145
2017,08,10,167
2017,08,11,168
2017,08,12,159
2017,08,13,152
2017,08,14,152
2017,08,15,151
2017,08,16,150
2017,08,17,189
2017,08,18,189
2017,08,19,172
2017,08,20,164
2017,08,21,157
2017,08,22,153
2017,08,23,150
2017,08,24,149
2017,08,25,147
2017,08,26,166
2017,08,27,250
2017,08,28,228
2017,08,29,200
2017,08,30,183
2017,08,31,173
2017,09,01,162
2017,09,02,160
2017,09,03,158
2017,09,04,156
2017,09,05,156
2017,09,06,154
2017,09,07,152
2017,09,08,152
2017,09,09,150
2017,09,10,149
2017,09,11,148
2017,09,12,147
