#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 05 22 14 30  66 11.6 12.4  2.20 99.00 99.00 999 9999.0   3.8   2.9   3.5 99.0 99.00
2019 05 22 14 40  51 10.7 11.5  2.30 99.00 99.00 999 9999.0   3.7   2.9   3.5 99.0 99.00
2019 05 22 14 50  59 10.0 10.6  2.40 99.00 99.00 999 9999.0   3.7   2.9   3.4 99.0 99.00
2019 05 22 15 00  62 10.4 11.2  2.60 99.00 99.00 999 9999.0   3.7   2.9   3.4 99.0 99.00
2019 05 22 15 10  70 10.6 11.4  2.30 99.00 99.00 999 9999.0   3.9   2.9   3.5 99.0 99.00
2019 05 22 15 20  63 10.8 11.9  2.40 99.00 99.00 999 9999.0   3.9   2.9   3.6 99.0 99.00
2019 05 22 15 30  68 11.0 11.6  2.30 99.00 99.00 999 9999.0   3.9   2.9   3.6 99.0 99.00
2019 05 22 15 40  64 11.0 11.8  2.40 99.00 99.00 999 9999.0   4.0   2.9   3.4 99.0 99.00
2019 05 22 15 50  66 11.3 12.4  2.40 99.00 99.00 999 9999.0   4.0   2.9   3.2 99.0 99.00
2019 05 22 16 00  59 10.9 11.7  2.20 99.00 99.00 999 9999.0   4.0   2.9   3.3 99.0 99.00
2019 05 22 16 10  57 10.3 11.1  2.80 99.00 99.00 999 9999.0   3.9   2.9   3.3 99.0 99.00
2019 05 22 16 20  60 10.2 11.2  2.40 99.00 99.00 999 9999.0   3.9   2.9   3.3 99.0 99.00
2019 05 22 16 30  56 10.3 11.0  2.30 99.00 99.00 999 9999.0   3.8   2.9   3.3 99.0 99.00
2019 05 22 16 40  56 10.7 11.3  2.40 99.00 99.00 999 9999.0   3.7   2.9   3.3 99.0 99.00
2019 05 22 16 50  63 10.8 11.8  2.70 99.00 99.00 999 9999.0   3.7   2.9   3.3 99.0 99.00
2019 05 22 17 00  58 10.9 11.8  2.20 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 17 10  61 11.0 11.8  2.30 99.00 99.00 999 9999.0   3.5   2.9   3.5 99.0 99.00
2019 05 22 17 20  48 11.2 12.3  2.50 99.00 99.00 999 9999.0   3.5   2.9   3.5 99.0 99.00
2019 05 22 17 30  57 11.0 12.0  2.40 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 17 40  56 11.0 12.2  2.10 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 17 50  61 11.2 12.7  2.20 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 18 00  64 11.0 12.4  2.20 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 18 10  59 11.2 12.7  2.30 99.00 99.00 999 9999.0   3.5   2.9   3.5 99.0 99.00
2019 05 22 18 20  54 10.9 13.2  2.60 99.00 99.00 999 9999.0   3.6   2.9   3.6 99.0 99.00
2019 05 22 18 30  63 11.1 12.6  2.40 99.00 99.00 999 9999.0   3.7   3.0   3.7 99.0 99.00
2019 05 22 18 40  62  7.8 10.5  2.20 99.00 99.00 999 9999.0   3.8   3.0   3.8 99.0 99.00
2019 05 22 18 50  52 10.7 12.4  2.60 99.00 99.00 999 9999.0   3.8   3.0   3.7 99.0 99.00
2019 05 22 19 00  53 10.9 12.1  2.40 99.00 99.00 999 9999.0   3.7   3.0   3.7 99.0 99.00
2019 05 22 19 10  56 10.6 12.0  2.30 99.00 99.00 999 9999.0   3.7   3.0   3.6 99.0 99.00
2019 05 22 19 20  63 11.1 12.8  2.50 99.00 99.00 999 9999.0   3.8   3.0   3.7 99.0 99.00
2019 05 22 19 30  64 11.0 12.3  2.60 99.00 99.00 999 9999.0   3.8   3.0   3.6 99.0 99.00
2019 05 22 19 40  53 10.3 11.5  2.50 99.00 99.00 999 9999.0   3.8   3.0   3.6 99.0 99.00
2019 05 22 19 50  55 10.9 12.5  2.30 99.00 99.00 999 9999.0   3.8   3.1   3.6 99.0 99.00
2019 05 22 20 00  55 11.1 13.1  2.40 99.00 99.00 999 9999.0   3.9   3.1   3.7 99.0 99.00
2019 05 22 20 10  44 11.1 13.0  2.50 99.00 99.00 999 9999.0   3.9   3.1   3.8 99.0 99.00
2019 05 22 20 20  64 11.1 11.8  2.50 99.00 99.00 999 9999.0   4.1   3.1   3.8 99.0 99.00
2019 05 22 20 30  56 10.8 12.1  2.30 99.00 99.00 999 9999.0   4.1   3.1   3.9 99.0 99.00
2019 05 22 20 40  47 11.1 12.3  2.80 99.00 99.00 999 9999.0   4.1   3.1   3.8 99.0 99.00
2019 05 22 20 50  60 10.9 13.9  2.20 99.00 99.00 999 9999.0   4.3   3.1   4.0 99.0 99.00
2019 05 22 21 00  57 11.3 13.3  2.60 99.00 99.00 999 9999.0   4.2   3.1   3.9 99.0 99.00
2019 05 22 21 10  55 12.2 13.4  2.60 99.00 99.00 999 9999.0   4.3   3.1   4.0 99.0 99.00
2019 05 22 21 20  57 11.8 13.1  2.70 99.00 99.00 999 9999.0   4.3   3.1   4.0 99.0 99.00
2019 05 22 21 30  47 12.0 14.3  2.60 99.00 99.00 999 9999.0   4.4   3.1   4.1 99.0 99.00
2019 05 22 21 40  59 11.7 14.3  2.40 99.00 99.00 999 9999.0   4.3   3.1   4.2 99.0 99.00
2019 05 22 21 50  61 11.4 12.5  3.00 99.00 99.00 999 9999.0   4.2   3.1   4.2 99.0 99.00
2019 05 22 22 00  62 11.6 13.6  2.50 99.00 99.00 999 9999.0   4.2   3.1   4.2 99.0 99.00
2019 05 22 22 10  56 11.2 13.5  2.70 99.00 99.00 999 9999.0   4.3   3.1   4.3 99.0 99.00
2019 05 22 22 20  55 11.8 14.9  2.50 99.00 99.00 999 9999.0   4.5   3.1   4.3 99.0 99.00
2019 05 22 22 30  58 11.0 12.8  2.30 99.00 99.00 999 9999.0   4.4   3.1   4.2 99.0 99.00
2019 05 22 22 40  51 11.3 12.6  2.40 99.00 99.00 999 9999.0   4.5   3.1   4.3 99.0 99.00
2019 05 22 22 50  52 11.1 12.3  2.40 99.00 99.00 999 9999.0   4.6   3.1   4.4 99.0 99.00
2019 05 22 23 00  59 11.6 12.7  2.20 99.00 99.00 999 9999.0   4.7   3.1   4.3 99.0 99.00
2019 05 22 23 10  64 10.9 12.1  2.40 99.00 99.00 999 9999.0   4.6   3.1   4.3 99.0 99.00
2019 05 22 23 20  62 10.8 11.9  2.60 99.00 99.00 999 9999.0   4.7   3.1   4.3 99.0 99.00
2019 05 22 23 30  61 10.0 10.8  2.70 99.00 99.00 999 9999.0   4.6   3.1   4.3 99.0 99.00
2019 05 22 23 40  49 10.2 11.3  2.20 99.00 99.00 999 9999.0   4.6   3.1   4.3 99.0 99.00
2019 05 22 23 50  54 10.1 11.5  2.40 99.00 99.00 999 9999.0   4.7   3.1   4.4 99.0 99.00
2019 05 23 00 00  62  9.8 10.8  2.20 99.00 99.00 999 9999.0   4.8   3.1   4.5 99.0 99.00
2019 05 23 00 10  54  8.0  9.2  2.30 99.00 99.00 999 9999.0   4.8   3.1   4.4 99.0 99.00
2019 05 23 00 20  42  6.8  8.2  2.20 99.00 99.00 999 9999.0   4.8   3.1   4.5 99.0 99.00
2019 05 23 00 30  54  7.7  9.2  2.20 99.00 99.00 999 9999.0   4.8   3.1   4.7 99.0 99.00
2019 05 23 00 40  62  8.8 10.3  2.10 99.00 99.00 999 9999.0   5.3   3.1   5.2 99.0 99.00
2019 05 23 00 50  68  8.9  9.6  1.90 99.00 99.00 999 1006.0   5.2   3.1   4.8 99.0 99.00
2019 05 23 01 00  65  8.7  9.5  1.90 99.00 99.00 999 1006.2   5.0   3.1   4.6 99.0 99.00
2019 05 23 01 10  68  7.9  8.8  1.80 99.00 99.00 999 1006.3   5.1   3.1   4.7 99.0 99.00
2019 05 23 01 20  68  8.6  9.9  2.00 99.00 99.00 999 1006.2   5.2   3.1   4.8 99.0 99.00
2019 05 23 01 30  73  9.1 10.4  2.30 99.00 99.00 999 1006.2   5.2   3.1   4.8 99.0 99.00
2019 05 23 01 40  68  8.4  9.2  2.00 99.00 99.00 999 1006.3   5.0   3.1   4.7 99.0 99.00
2019 05 23 01 50  75  7.6  8.7  1.80 99.00 99.00 999 1006.5   4.8   3.0   4.5 99.0 99.00
2019 05 23 02 00  63  7.5  8.1  1.80 99.00 99.00 999 1006.5   4.6   3.0   4.4 99.0 99.00
2019 05 23 02 10  65  7.3  8.5  1.90 99.00 99.00 999 1006.5   4.6   3.0   4.4 99.0 99.00
2019 05 23 02 20  68  7.4  8.1  1.60 99.00 99.00 999 1006.5   4.5   3.0   4.4 99.0 99.00
2019 05 23 02 30  76  7.5  8.2  1.70 99.00 99.00 999 1006.5   4.4   3.0   4.4 99.0 99.00
2019 05 23 02 40  76  6.7  7.2  1.70 99.00 99.00 999 1006.7   4.4   3.0   4.4 99.0 99.00
2019 05 23 02 50  78  6.6  7.1  1.60 99.00 99.00 999 1006.8   4.3   3.0   4.3 99.0 99.00
2019 05 23 03 00  83  6.2  7.0  1.50 99.00 99.00 999 1006.9   4.2   3.0   4.2 99.0 99.00
2019 05 23 03 10  95  5.7  6.0  1.60 99.00 99.00 999 1007.0   4.1   3.0   4.1 99.0 99.00
2019 05 23 03 20 101  5.3  6.0  1.70 99.00 99.00 999 1007.0   4.0   3.0   4.0 99.0 99.00
2019 05 23 03 30  93  5.2  6.1  1.60 99.00 99.00 999 1006.8   3.9   3.0   3.9 99.0 99.00
2019 05 23 03 40  88  5.9  6.7  1.50 99.00 99.00 999 1006.7   3.9   3.0   3.9 99.0 99.00
2019 05 23 03 50  87  4.3  5.0  1.30 99.00 99.00 999 1006.8   3.9   3.0   3.9 99.0 99.00
2019 05 23 04 00  86  4.6  5.3  1.30 99.00 99.00 999 1006.7   3.9   3.0   3.9 99.0 99.00
2019 05 23 04 10  83  5.0  5.2  1.40 99.00 99.00 999 1006.5   3.9   3.0   3.9 99.0 99.00
2019 05 23 04 20  93  5.2  5.9  1.40 99.00 99.00 999 1006.5   3.8   3.0   3.8 99.0 99.00
2019 05 23 04 30  89  5.2  5.7  1.30 99.00 99.00 999 1006.5   3.8   3.0   3.8 99.0 99.00
2019 05 23 04 40 117  3.6  5.1  1.40 99.00 99.00 999 1006.4   3.7   3.0   3.7 99.0 99.00
2019 05 23 04 50 100  4.2  5.3  1.40 99.00 99.00 999 1006.5   3.7   3.0   3.7 99.0 99.00
2019 05 23 05 00  87  4.2  4.6  1.40 99.00 99.00 999 1006.4   3.7   3.0   3.6 99.0 99.00
2019 05 23 05 10  83  4.1  4.8  1.30 99.00 99.00 999 1006.4   3.6   3.1   3.6 99.0 99.00
2019 05 23 05 20  81  4.0  4.4  1.30 99.00 99.00 999 1006.5   3.5   3.0   3.5 99.0 99.00
2019 05 23 05 30  83  3.7  4.0  1.40 99.00 99.00 999 1006.6   3.5   3.1   3.5 99.0 99.00
2019 05 23 05 40  72  3.1  3.5  1.10 99.00 99.00 999 1006.7   3.4   3.1   3.4 99.0 99.00
2019 05 23 05 50  63  3.0  3.3  1.10 99.00 99.00 999 1006.6   3.4   3.1   3.4 99.0 99.00
