#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 07 01 00 00 285  3.7 99.0  0.10  1.80 99.00 231 1010.3  21.8  16.5  16.4 99.0 99.00
2023 07 01 00 10 289  3.5 99.0  0.10  1.90 99.00 224 1010.2  21.8  16.8  16.3 99.0 99.00
2023 07 01 00 20 285  3.3 99.0  0.10  4.90 99.00 216 1010.2  21.9  16.9  16.4 99.0 99.00
2023 07 01 00 30 270  3.1 99.0  0.10  1.90 99.00 215 1010.4  21.7  16.9  16.4 99.0 99.00
2023 07 01 00 40 262  2.9 99.0  0.10  1.90 99.00 202 1010.5  21.0  17.1  16.3 99.0 99.00
2023 07 01 00 50 268  2.8 99.0  0.10  2.00 99.00 205 1010.6  20.8  16.9  16.2 99.0 99.00
2023 07 01 01 00 263  2.8 99.0  0.10  3.80 99.00 213 1010.6  21.1  17.0  16.3 99.0 99.00
2023 07 01 01 10 258  2.5 99.0  0.10  2.00 99.00 206 1010.8  20.9  16.9  16.2 99.0 99.00
2023 07 01 01 20 255  2.3 99.0  0.10  1.90 99.00 198 1010.8  20.8  16.8  16.1 99.0 99.00
2023 07 01 01 30 248  2.4 99.0  0.10  1.80 99.00 195 1010.9  20.5  16.6  16.1 99.0 99.00
2023 07 01 01 40 233  2.3 99.0  0.10  4.70 99.00 198 1010.9  20.2  16.5  16.0 99.0 99.00
2023 07 01 01 50 246  2.1 99.0  0.10  4.60 99.00 198 1010.9  20.3  16.5  16.0 99.0 99.00
2023 07 01 02 00 248  2.4 99.0  0.10  4.60 99.00 197 1011.0  20.1  16.5  15.9 99.0 99.00
2023 07 01 02 10 246  2.3 99.0  0.10  1.90 99.00 194 1011.1  19.7  16.4  15.8 99.0 99.00
2023 07 01 02 20 249  2.6 99.0  0.10  1.90 99.00 188 1011.1  19.8  16.0  15.8 99.0 99.00
2023 07 01 02 30 254  2.5 99.0  0.10  1.90 99.00 185 1011.2  20.1  16.0  15.8 99.0 99.00
2023 07 01 02 40 252  2.6 99.0  0.10  1.90 99.00 184 1011.3  19.9  15.9  15.8 99.0 99.00
2023 07 01 02 50 255  2.7 99.0  0.10  1.90 99.00 187 1011.5  19.7  16.0  15.8 99.0 99.00
2023 07 01 03 00 263  2.5 99.0  0.10  4.30 99.00 192 1011.5  20.0  15.9  15.9 99.0 99.00
2023 07 01 03 10 279  2.3 99.0  0.10  1.90 99.00 190 1011.5  19.8  16.0  15.9 99.0 99.00
2023 07 01 03 20 283  2.5 99.0  0.10  4.50 99.00 206 1011.4  19.4  15.9  15.8 99.0 99.00
2023 07 01 03 30 279  2.4 99.0  0.10  4.50 99.00 234 1011.3  19.6  15.8  15.7 99.0 99.00
2023 07 01 03 40 281  2.5 99.0  0.10  1.70 99.00 190 1011.3  19.8  15.7  15.8 99.0 99.00
