#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 05 09 17 50 174  0.8  1.1  0.20 99.00 99.00 999 9999.0   5.9   7.3   1.2 99.0 99.00
2017 05 09 18 00 172  0.8  1.0  0.20 99.00 99.00 999 9999.0   6.6   7.3   1.3 99.0 99.00
2017 05 09 18 10 114  0.9  1.4  0.20 99.00 99.00 999 9999.0   5.2   7.3   1.2 99.0 99.00
2017 05 09 18 20  96  1.7  1.9  0.20 99.00 99.00 999 9999.0   5.0   7.3   1.4 99.0 99.00
2017 05 09 18 30  81  1.9  2.2  0.20 99.00 99.00 999 9999.0   4.6   7.4   1.6 99.0 99.00
2017 05 09 18 40  73  2.3  2.6  0.20 99.00 99.00 999 9999.0   4.4   7.4   2.0 99.0 99.00
2017 05 09 18 50  71  2.4  2.8  0.20 99.00 99.00 999 9999.0   4.5   7.4   2.0 99.0 99.00
2017 05 09 19 00  62  2.8  3.1  0.20 99.00 99.00 999 9999.0   4.6   7.4   2.0 99.0 99.00
2017 05 09 19 10  60  3.4  3.8  0.20 99.00 99.00 999 9999.0   4.7   7.5   1.8 99.0 99.00
2017 05 09 19 20  61  3.7  4.2  0.20 99.00 99.00 999 9999.0   4.9   7.5   1.6 99.0 99.00
2017 05 09 19 30  69  4.1  4.7  0.20 99.00 99.00 999 9999.0   4.8   7.5   0.9 99.0 99.00
2017 05 09 19 40  72  5.0  5.4  0.20 99.00 99.00 999 9999.0   4.9   7.2   0.6 99.0 99.00
2017 05 09 19 50  74  5.4  5.6  0.30 99.00 99.00 999 9999.0   4.9   6.7   0.4 99.0 99.00
2017 05 09 20 00  77  5.2  5.6  0.30 99.00 99.00 999 9999.0   5.0   5.9   0.4 99.0 99.00
2017 05 09 20 10  75  5.6  6.0  0.30 99.00 99.00 999 9999.0   5.0   5.4   0.5 99.0 99.00
2017 05 09 20 20  74  6.0  6.5  0.30 99.00 99.00 999 9999.0   5.1   4.9   0.1 99.0 99.00
2017 05 09 20 30  76  6.1  6.5  0.30 99.00 99.00 999 9999.0   5.4   4.6  -0.2 99.0 99.00
2017 05 09 20 40  77  6.2  6.6  0.40 99.00 99.00 999 9999.0   5.4   4.3  -0.1 99.0 99.00
2017 05 09 20 50  79  6.3  6.6  0.40 99.00 99.00 999 9999.0   5.1   4.2  -0.5 99.0 99.00
2017 05 09 21 00  81  6.2  6.6  0.40 99.00 99.00 999 9999.0   5.1   4.1  -1.0 99.0 99.00
2017 05 09 21 10  78  6.4  7.0  0.50 99.00 99.00 999 9999.0   4.9   4.0  -1.1 99.0 99.00
2017 05 09 21 20  75  6.0  6.5  0.50 99.00 99.00 999 9999.0   4.7   4.0  -1.2 99.0 99.00
2017 05 09 21 30  83  6.0  6.5  0.50 99.00 99.00 999 9999.0   4.9   3.9  -1.0 99.0 99.00
2017 05 09 21 40  91  6.2  6.9  0.40 99.00 99.00 999 9999.0   4.8   3.9  -0.9 99.0 99.00
2017 05 09 21 50  84  5.7  6.7  0.50 99.00 99.00 999 9999.0   4.7   3.9  -0.8 99.0 99.00
2017 05 09 22 00  96  6.4  8.8  0.60 99.00 99.00 999 9999.0   5.0   3.9  -1.2 99.0 99.00
2017 05 09 22 10  86  5.8  6.5  0.50 99.00 99.00 999 9999.0   4.9   3.9  -0.7 99.0 99.00
2017 05 09 22 20  87  6.2  7.0  0.60 99.00 99.00 999 9999.0   4.8   3.8  -0.9 99.0 99.00
2017 05 09 22 30  83  5.9  6.5  0.60 99.00 99.00 999 9999.0   4.7   3.8  -0.7 99.0 99.00
2017 05 09 22 40  80  5.1  5.6  0.60 99.00 99.00 999 9999.0   4.6   3.8  -0.7 99.0 99.00
2017 05 09 22 50  76  4.6  4.9  0.50 99.00 99.00 999 9999.0   4.6   3.8  -0.7 99.0 99.00
2017 05 09 23 00  82  4.3  4.9  0.50 99.00 99.00 999 9999.0   4.6   3.8  -0.9 99.0 99.00
2017 05 09 23 10  96  4.5  4.9  0.60 99.00 99.00 999 9999.0   5.1   3.7  -0.6 99.0 99.00
2017 05 09 23 20  97  4.7  5.1  0.50 99.00 99.00 999 9999.0   5.2   3.7  -0.8 99.0 99.00
2017 05 09 23 30  92  4.9  5.2  0.50 99.00 99.00 999 9999.0   4.9   3.7  -0.7 99.0 99.00
2017 05 09 23 40 102  4.8  5.3  0.50 99.00 99.00 999 9999.0   5.2   3.7  -0.8 99.0 99.00
2017 05 09 23 50 101  4.5  5.1  0.50 99.00 99.00 999 9999.0   5.0   3.6  -0.7 99.0 99.00
2017 05 10 00 00  93  3.6  4.2  0.50 99.00 99.00 999 9999.0   5.1   3.6  -0.5 99.0 99.00
2017 05 10 00 10  70  3.2  3.5  0.50 99.00 99.00 999 9999.0   4.6   3.6  -0.2 99.0 99.00
2017 05 10 00 20  58  2.5  3.2  0.50 99.00 99.00 999 9999.0   4.8   3.6   0.0 99.0 99.00
2017 05 10 00 30  52  1.8  2.4  0.50 99.00 99.00 999 9999.0   5.1   3.6   0.1 99.0 99.00
2017 05 10 00 40  29  1.6  1.9  0.40 99.00 99.00 999 9999.0   4.9   3.6   0.5 99.0 99.00
2017 05 10 00 50  32  1.5  1.9  0.40 99.00 99.00 999 9999.0   4.7   3.6   0.2 99.0 99.00
2017 05 10 01 00  55  1.8  2.1  0.40 99.00 99.00 999 9999.0   4.4   3.6   0.2 99.0 99.00
2017 05 10 01 10  55  1.7  2.1  0.40 99.00 99.00 999 9999.0   4.0   3.7  -0.1 99.0 99.00
2017 05 10 01 20  59  1.9  2.1  0.40 99.00 99.00 999 9999.0   4.1   3.7  -0.2 99.0 99.00
2017 05 10 01 30  64  2.0  2.3  0.40 99.00 99.00 999 9999.0   4.1   3.7  -0.3 99.0 99.00
2017 05 10 01 40  75  1.5  1.9  0.40 99.00 99.00 999 9999.0   4.0   3.7  -0.1 99.0 99.00
2017 05 10 01 50  74  1.5  1.8  0.40 99.00 99.00 999 9999.0   3.8   3.7   0.0 99.0 99.00
2017 05 10 02 00  72  1.4  1.7  0.40 99.00 99.00 999 9999.0   3.8   3.7   0.0 99.0 99.00
2017 05 10 02 10  57  1.3  1.8  0.40 99.00 99.00 999 9999.0   3.7   3.7   0.1 99.0 99.00
2017 05 10 02 20  64  1.1  1.4  0.40 99.00 99.00 999 9999.0   3.8   3.8   0.0 99.0 99.00
2017 05 10 02 30  66  1.4  1.5  0.40 99.00 99.00 999 9999.0   3.7   3.8   0.0 99.0 99.00
2017 05 10 02 40  58  1.2  1.5  0.40 99.00 99.00 999 9999.0   3.6   3.8   0.1 99.0 99.00
2017 05 10 02 50  58  1.3  1.5  0.40 99.00 99.00 999 9999.0   3.5   3.8   0.0 99.0 99.00
2017 05 10 03 00  45  1.2  1.4  0.40 99.00 99.00 999 9999.0   3.7   3.8   0.2 99.0 99.00
2017 05 10 03 10 358  0.9  1.0  0.40 99.00 99.00 999 9999.0   3.7   3.8   0.3 99.0 99.00
2017 05 10 03 20 356  1.2  1.4  0.30 99.00 99.00 999 9999.0   3.7   3.8   0.5 99.0 99.00
2017 05 10 03 30 349  1.4  1.5  0.40 99.00 99.00 999 9999.0   3.3   3.8   0.6 99.0 99.00
2017 05 10 03 40 353  1.2  1.3  0.40 99.00 99.00 999 9999.0   3.1   3.8   0.6 99.0 99.00
