#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 09 01 00 10 182  0.5  0.7 99.00 99.00 99.00 999 1015.6  20.7 999.0 999.0 99.0 99.00
2023 09 01 00 20 190  0.6  0.8 99.00 99.00 99.00 999 1015.6  19.9 999.0 999.0 99.0 99.00
2023 09 01 00 30 176  0.9  1.1 99.00 99.00 99.00 999 1015.6  19.2 999.0 999.0 99.0 99.00
2023 09 01 00 40 186  0.8  1.0 99.00 99.00 99.00 999 1015.6  18.7 999.0 999.0 99.0 99.00
2023 09 01 00 50 198  1.5  2.0 99.00 99.00 99.00 999 1015.6  18.2 999.0 999.0 99.0 99.00
2023 09 01 01 00 193  1.2  1.8 99.00 99.00 99.00 999 1015.6  17.5 999.0 999.0 99.0 99.00
2023 09 01 01 10 181  1.0  1.4 99.00 99.00 99.00 999 1015.6  17.1 999.0 999.0 99.0 99.00
2023 09 01 01 20 196  1.5  1.8 99.00 99.00 99.00 999 1015.9  16.8 999.0 999.0 99.0 99.00
2023 09 01 01 30 194  1.5  2.0 99.00 99.00 99.00 999 1015.9  16.5 999.0 999.0 99.0 99.00
2023 09 01 01 40 196  1.4  2.0 99.00 99.00 99.00 999 1015.9  16.1 999.0 999.0 99.0 99.00
2023 09 01 01 50 196  1.7  2.1 99.00 99.00 99.00 999 1016.3  15.8 999.0 999.0 99.0 99.00
2023 09 01 02 00 198  1.7  2.1 99.00 99.00 99.00 999 1016.3  15.6 999.0 999.0 99.0 99.00
2023 09 01 02 10 199  1.8  2.2 99.00 99.00 99.00 999 1016.3  15.5 999.0 999.0 99.0 99.00
2023 09 01 02 20 189  1.4  2.2 99.00 99.00 99.00 999 1015.9  15.2 999.0 999.0 99.0 99.00
2023 09 01 02 30 215  1.9  2.1 99.00 99.00 99.00 999 1016.3  15.0 999.0 999.0 99.0 99.00
2023 09 01 02 40 178  0.7  2.2 99.00 99.00 99.00 999 1016.3  14.8 999.0 999.0 99.0 99.00
2023 09 01 02 50 160  1.6  2.1 99.00 99.00 99.00 999 1015.9  14.8 999.0 999.0 99.0 99.00
2023 09 01 03 00 199  0.2  1.6 99.00 99.00 99.00 999 1016.3  15.0 999.0 999.0 99.0 99.00
2023 09 01 03 10 214  1.6  2.9 99.00 99.00 99.00 999 1016.3  15.6 999.0 999.0 99.0 99.00
2023 09 01 03 20 221  0.9  2.0 99.00 99.00 99.00 999 1016.3  15.9 999.0 999.0 99.0 99.00
2023 09 01 03 30 213  0.6  1.0 99.00 99.00 99.00 999 1016.3  14.9 999.0 999.0 99.0 99.00
2023 09 01 03 40 103  0.0  0.9 99.00 99.00 99.00 999 1015.9  14.7 999.0 999.0 99.0 99.00
2023 09 01 03 50 218  0.8  1.2 99.00 99.00 99.00 999 1015.9  14.8 999.0 999.0 99.0 99.00
2023 09 01 04 00 194  1.8  3.1 99.00 99.00 99.00 999 1015.9  16.3 999.0 999.0 99.0 99.00
2023 09 01 04 10 186  2.4  4.2 99.00 99.00 99.00 999 1015.9  18.9 999.0 999.0 99.0 99.00
2023 09 01 04 20 189  3.5  6.1 99.00 99.00 99.00 999 1015.9  19.4 999.0 999.0 99.0 99.00
2023 09 01 04 30 199  3.9  6.1 99.00 99.00 99.00 999 1015.9  19.7 999.0 999.0 99.0 99.00
2023 09 01 04 40 187  3.2  6.9 99.00 99.00 99.00 999 1016.3  19.9 999.0 999.0 99.0 99.00
2023 09 01 04 50 189  2.9  5.3 99.00 99.00 99.00 999 1015.9  19.7 999.0 999.0 99.0 99.00
2023 09 01 05 00 188  3.9  6.3 99.00 99.00 99.00 999 1015.9  19.8 999.0 999.0 99.0 99.00
2023 09 01 05 10 190  4.4  7.6 99.00 99.00 99.00 999 1015.9  19.7 999.0 999.0 99.0 99.00
2023 09 01 05 20 187  3.9  7.1 99.00 99.00 99.00 999 1015.9  19.6 999.0 999.0 99.0 99.00
2023 09 01 05 30 189  4.1  7.1 99.00 99.00 99.00 999 1015.9  19.6 999.0 999.0 99.0 99.00
2023 09 01 05 40 201  4.7  8.3 99.00 99.00 99.00 999 1015.9  19.5 999.0 999.0 99.0 99.00
2023 09 01 05 50 191  4.8  8.5 99.00 99.00 99.00 999 1015.6  19.6 999.0 999.0 99.0 99.00
2023 09 01 06 00 198  4.7 10.0 99.00 99.00 99.00 999 1015.9  19.6 999.0 999.0 99.0 99.00
2023 09 01 06 10 198  4.5  8.7 99.00 99.00 99.00 999 1015.9  19.5 999.0 999.0 99.0 99.00
2023 09 01 06 20 201  4.2  7.1 99.00 99.00 99.00 999 1016.3  19.2 999.0 999.0 99.0 99.00
2023 09 01 06 30 197  4.5  6.2 99.00 99.00 99.00 999 1016.3  19.0 999.0 999.0 99.0 99.00
2023 09 01 06 40 202  4.6  7.6 99.00 99.00 99.00 999 1016.3  19.2 999.0 999.0 99.0 99.00
2023 09 01 06 50 204  4.5  7.8 99.00 99.00 99.00 999 1016.6  19.0 999.0 999.0 99.0 99.00
2023 09 01 07 00 194  4.1  7.5 99.00 99.00 99.00 999 1016.6  18.8 999.0 999.0 99.0 99.00
2023 09 01 07 10 188  2.7  6.5 99.00 99.00 99.00 999 1016.6  18.5 999.0 999.0 99.0 99.00
2023 09 01 07 20 183  4.0  7.6 99.00 99.00 99.00 999 1016.3  18.3 999.0 999.0 99.0 99.00
2023 09 01 07 30 194  3.8  5.9 99.00 99.00 99.00 999 1016.3  18.2 999.0 999.0 99.0 99.00
2023 09 01 07 40 193  4.6  7.2 99.00 99.00 99.00 999 1016.6  18.1 999.0 999.0 99.0 99.00
2023 09 01 07 50 188  3.1  6.0 99.00 99.00 99.00 999 1016.3  18.1 999.0 999.0 99.0 99.00
2023 09 01 08 00 190  3.5  6.4 99.00 99.00 99.00 999 1016.6  18.0 999.0 999.0 99.0 99.00
2023 09 01 08 10 188  4.2  6.4 99.00 99.00 99.00 999 1016.6  17.9 999.0 999.0 99.0 99.00
2023 09 01 08 20 175  4.8  6.5 99.00 99.00 99.00 999 1016.6  18.0 999.0 999.0 99.0 99.00
2023 09 01 08 30 179  3.6  6.5 99.00 99.00 99.00 999 1016.6  17.8 999.0 999.0 99.0 99.00
2023 09 01 08 40 189  3.7  6.3 99.00 99.00 99.00 999 1016.6  17.8 999.0 999.0 99.0 99.00
2023 09 01 09 40 187  3.8  6.7 99.00 99.00 99.00 999 1016.3  18.0 999.0 999.0 99.0 99.00
2023 09 01 09 50 181  3.1  6.9 99.00 99.00 99.00 999 1016.3  18.0 999.0 999.0 99.0 99.00
2023 09 01 10 00 179  2.9  7.4 99.00 99.00 99.00 999 1016.3  18.0 999.0 999.0 99.0 99.00
2023 09 01 10 10 182  3.6  7.5 99.00 99.00 99.00 999 1015.9  18.1 999.0 999.0 99.0 99.00
2023 09 01 10 20 182  3.1  7.4 99.00 99.00 99.00 999 1015.9  18.2 999.0 999.0 99.0 99.00
2023 09 01 10 30 183  3.8  8.0 99.00 99.00 99.00 999 1015.9  18.3 999.0 999.0 99.0 99.00
2023 09 01 10 40 188  3.8  7.3 99.00 99.00 99.00 999 1015.9  18.3 999.0 999.0 99.0 99.00
2023 09 01 10 50 187  4.0  8.5 99.00 99.00 99.00 999 1015.6  18.3 999.0 999.0 99.0 99.00
2023 09 01 11 00 178  4.3  7.7 99.00 99.00 99.00 999 1015.6  18.4 999.0 999.0 99.0 99.00
2023 09 01 11 10 187  4.6  8.2 99.00 99.00 99.00 999 1015.6  18.3 999.0 999.0 99.0 99.00
2023 09 01 11 20 186  4.7  7.4 99.00 99.00 99.00 999 1015.6  18.3 999.0 999.0 99.0 99.00
2023 09 01 11 30 194  5.1  7.7 99.00 99.00 99.00 999 1015.6  18.3 999.0 999.0 99.0 99.00
2023 09 01 11 40 190  4.0  8.4 99.00 99.00 99.00 999 1015.2  18.2 999.0 999.0 99.0 99.00
2023 09 01 11 50 186  4.0  8.5 99.00 99.00 99.00 999 1015.2  18.3 999.0 999.0 99.0 99.00
2023 09 01 12 00 191  4.0  8.4 99.00 99.00 99.00 999 1015.2  18.2 999.0 999.0 99.0 99.00
2023 09 01 12 10 186  4.3  7.3 99.00 99.00 99.00 999 1015.2  18.2 999.0 999.0 99.0 99.00
2023 09 01 12 20 188  4.5  8.0 99.00 99.00 99.00 999 1015.2  18.2 999.0 999.0 99.0 99.00
2023 09 01 12 30 194  4.9  8.5 99.00 99.00 99.00 999 1015.2  18.3 999.0 999.0 99.0 99.00
2023 09 01 12 40 189  4.2 10.1 99.00 99.00 99.00 999 1015.2  18.6 999.0 999.0 99.0 99.00
2023 09 01 12 50 192  4.5  8.9 99.00 99.00 99.00 999 1015.2  18.7 999.0 999.0 99.0 99.00
2023 09 01 13 00 193  4.2  9.0 99.00 99.00 99.00 999 1015.2  18.9 999.0 999.0 99.0 99.00
2023 09 01 13 10 195  6.4 11.9 99.00 99.00 99.00 999 1015.2  19.0 999.0 999.0 99.0 99.00
2023 09 01 13 20 196  4.6  8.8 99.00 99.00 99.00 999 1015.2  18.9 999.0 999.0 99.0 99.00
2023 09 01 13 30 196  7.3 11.9 99.00 99.00 99.00 999 1014.9  19.0 999.0 999.0 99.0 99.00
2023 09 01 13 40 198  8.3 11.6 99.00 99.00 99.00 999 1014.9  19.4 999.0 999.0 99.0 99.00
2023 09 01 14 40 202  7.1 13.1 99.00 99.00 99.00 999 1014.6  21.1 999.0 999.0 99.0 99.00
2023 09 01 14 50 195  6.1 13.1 99.00 99.00 99.00 999 1014.6  21.4 999.0 999.0 99.0 99.00
2023 09 01 15 00 196  7.0 11.4 99.00 99.00 99.00 999 1014.6  21.6 999.0 999.0 99.0 99.00
2023 09 01 15 10 196  6.9 12.0 99.00 99.00 99.00 999 1014.2  21.7 999.0 999.0 99.0 99.00
2023 09 01 15 20 192  5.9 12.5 99.00 99.00 99.00 999 1014.2  22.2 999.0 999.0 99.0 99.00
2023 09 01 15 30 198  5.9 12.7 99.00 99.00 99.00 999 1014.2  22.4 999.0 999.0 99.0 99.00
2023 09 01 15 40 196  7.0 11.5 99.00 99.00 99.00 999 1014.2  22.7 999.0 999.0 99.0 99.00
2023 09 01 16 50 197  7.9 10.8 99.00 99.00 99.00 999 1013.9  24.4 999.0 999.0 99.0 99.00
2023 09 01 17 00 194  7.0 11.7 99.00 99.00 99.00 999 1013.5  24.5 999.0 999.0 99.0 99.00
2023 09 01 17 10 206  7.5 12.2 99.00 99.00 99.00 999 1013.2  24.8 999.0 999.0 99.0 99.00
2023 09 01 17 20 192  7.1 11.5 99.00 99.00 99.00 999 1013.2  25.2 999.0 999.0 99.0 99.00
2023 09 01 17 30 201  7.1 11.8 99.00 99.00 99.00 999 1013.2  25.4 999.0 999.0 99.0 99.00
2023 09 01 17 40 198  8.0 12.6 99.00 99.00 99.00 999 1013.2  25.3 999.0 999.0 99.0 99.00
2023 09 01 17 50 199  5.7 10.5 99.00 99.00 99.00 999 1012.9  25.7 999.0 999.0 99.0 99.00
2023 09 01 18 00 204  8.3 13.4 99.00 99.00 99.00 999 1012.9  25.5 999.0 999.0 99.0 99.00
2023 09 01 18 10 208  8.6 14.5 99.00 99.00 99.00 999 1012.5  25.8 999.0 999.0 99.0 99.00
2023 09 01 18 20 200  8.0 13.3 99.00 99.00 99.00 999 1012.5  25.8 999.0 999.0 99.0 99.00
2023 09 01 18 30 194  6.3 13.7 99.00 99.00 99.00 999 1012.5  26.0 999.0 999.0 99.0 99.00
2023 09 01 18 40 196  7.2 11.8 99.00 99.00 99.00 999 1012.5  26.0 999.0 999.0 99.0 99.00
2023 09 01 18 50 194  5.7 10.6 99.00 99.00 99.00 999 1012.2  26.0 999.0 999.0 99.0 99.00
2023 09 01 19 00 205  7.4 12.4 99.00 99.00 99.00 999 1012.5  25.7 999.0 999.0 99.0 99.00
2023 09 01 19 10 214  5.1 11.9 99.00 99.00 99.00 999 1012.5  25.6 999.0 999.0 99.0 99.00
2023 09 01 19 20 206  5.0 10.0 99.00 99.00 99.00 999 1012.2  25.7 999.0 999.0 99.0 99.00
2023 09 01 19 30 211  3.7  9.5 99.00 99.00 99.00 999 1012.2  25.9 999.0 999.0 99.0 99.00
2023 09 01 19 40 202  4.0  9.3 99.00 99.00 99.00 999 1012.2  26.4 999.0 999.0 99.0 99.00
2023 09 01 19 50 204  5.7  8.1 99.00 99.00 99.00 999 1012.2  26.6 999.0 999.0 99.0 99.00
2023 09 01 20 00 195  4.1  8.5 99.00 99.00 99.00 999 1012.2  26.9 999.0 999.0 99.0 99.00
2023 09 01 20 10 193  6.0 10.5 99.00 99.00 99.00 999 1011.9  27.1 999.0 999.0 99.0 99.00
2023 09 01 20 20 193  6.2 11.1 99.00 99.00 99.00 999 1011.5  27.4 999.0 999.0 99.0 99.00
2023 09 01 20 30 197  4.5  9.5 99.00 99.00 99.00 999 1011.5  27.7 999.0 999.0 99.0 99.00
2023 09 01 20 40 200  6.1  9.6 99.00 99.00 99.00 999 1011.5  27.9 999.0 999.0 99.0 99.00
2023 09 01 20 50 199  7.9 11.5 99.00 99.00 99.00 999 1011.2  27.9 999.0 999.0 99.0 99.00
2023 09 01 21 00 197  5.3 10.1 99.00 99.00 99.00 999 1011.2  28.0 999.0 999.0 99.0 99.00
2023 09 01 21 10 195  6.7 11.7 99.00 99.00 99.00 999 1011.2  27.9 999.0 999.0 99.0 99.00
2023 09 01 21 20 200  3.5 10.7 99.00 99.00 99.00 999 1011.2  28.2 999.0 999.0 99.0 99.00
2023 09 01 21 30 208  4.6  9.8 99.00 99.00 99.00 999 1011.2  28.1 999.0 999.0 99.0 99.00
2023 09 01 21 40 198  6.1  9.5 99.00 99.00 99.00 999 1011.2  28.2 999.0 999.0 99.0 99.00
2023 09 01 21 50 208  6.2 10.0 99.00 99.00 99.00 999 1011.2  28.2 999.0 999.0 99.0 99.00
2023 09 01 22 00 199  5.6  9.7 99.00 99.00 99.00 999 1011.2  28.3 999.0 999.0 99.0 99.00
2023 09 01 22 10 204  6.7  9.8 99.00 99.00 99.00 999 1011.2  28.3 999.0 999.0 99.0 99.00
2023 09 01 22 20 217  5.3  8.5 99.00 99.00 99.00 999 1011.2  28.2 999.0 999.0 99.0 99.00
2023 09 01 22 30 196  6.6 10.7 99.00 99.00 99.00 999 1011.2  28.2 999.0 999.0 99.0 99.00
2023 09 01 22 40 198  4.1 12.1 99.00 99.00 99.00 999 1010.8  28.1 999.0 999.0 99.0 99.00
2023 09 01 22 50 197  3.4  8.7 99.00 99.00 99.00 999 1011.2  28.0 999.0 999.0 99.0 99.00
2023 09 01 23 00 199  3.0  7.0 99.00 99.00 99.00 999 1010.8  27.8 999.0 999.0 99.0 99.00
2023 09 01 23 10 198  3.9  6.6 99.00 99.00 99.00 999 1010.8  27.8 999.0 999.0 99.0 99.00
2023 09 01 23 20 195  4.2  7.2 99.00 99.00 99.00 999 1010.8  27.6 999.0 999.0 99.0 99.00
2023 09 01 23 30 193  5.3  9.5 99.00 99.00 99.00 999 1010.8  27.3 999.0 999.0 99.0 99.00
2023 09 01 23 40 198  3.9  7.5 99.00 99.00 99.00 999 1010.5  27.1 999.0 999.0 99.0 99.00
2023 09 01 23 50 193  4.0  9.0 99.00 99.00 99.00 999 1010.5  26.9 999.0 999.0 99.0 99.00
2023 09 02 00 10 191  4.1  7.8 99.00 99.00 99.00 999 1010.2  26.4 999.0 999.0 99.0 99.00
2023 09 02 00 20 187  4.3  6.4 99.00 99.00 99.00 999 1010.2  26.0 999.0 999.0 99.0 99.00
2023 09 02 00 30 193  4.0  6.5 99.00 99.00 99.00 999 1010.2  25.8 999.0 999.0 99.0 99.00
2023 09 02 00 40 194  4.2  6.6 99.00 99.00 99.00 999 1010.2  25.6 999.0 999.0 99.0 99.00
2023 09 02 00 50 189  4.4  7.1 99.00 99.00 99.00 999 1010.2  25.6 999.0 999.0 99.0 99.00
2023 09 02 01 00 194  4.2  6.2 99.00 99.00 99.00 999 1010.2  25.4 999.0 999.0 99.0 99.00
2023 09 02 01 10 187  4.9  8.6 99.00 99.00 99.00 999 1010.5  25.3 999.0 999.0 99.0 99.00
2023 09 02 01 20 192  5.3  8.7 99.00 99.00 99.00 999 1010.5  25.3 999.0 999.0 99.0 99.00
2023 09 02 01 30 195  4.9  8.7 99.00 99.00 99.00 999 1010.5  25.2 999.0 999.0 99.0 99.00
2023 09 02 01 40 194  4.3  8.7 99.00 99.00 99.00 999 1010.8  25.4 999.0 999.0 99.0 99.00
2023 09 02 01 50 198  5.4  9.1 99.00 99.00 99.00 999 1010.8  25.3 999.0 999.0 99.0 99.00
2023 09 02 02 00 199  5.6  9.9 99.00 99.00 99.00 999 1010.8  25.4 999.0 999.0 99.0 99.00
2023 09 02 02 10 194  5.7  9.3 99.00 99.00 99.00 999 1010.8  25.4 999.0 999.0 99.0 99.00
2023 09 02 02 20 198  4.5  9.3 99.00 99.00 99.00 999 1010.8  25.2 999.0 999.0 99.0 99.00
2023 09 02 02 30 196  3.6  8.2 99.00 99.00 99.00 999 1011.2  25.1 999.0 999.0 99.0 99.00
2023 09 02 02 40 201  5.4  8.5 99.00 99.00 99.00 999 1011.2  25.1 999.0 999.0 99.0 99.00
2023 09 02 02 50 197  5.9  8.5 99.00 99.00 99.00 999 1011.2  25.0 999.0 999.0 99.0 99.00
2023 09 02 03 00 196  5.6  8.0 99.00 99.00 99.00 999 1011.2  24.9 999.0 999.0 99.0 99.00
2023 09 02 03 10 197  5.0  8.4 99.00 99.00 99.00 999 1011.2  24.7 999.0 999.0 99.0 99.00
2023 09 02 03 20 201  5.6  8.3 99.00 99.00 99.00 999 1011.2  24.6 999.0 999.0 99.0 99.00
2023 09 02 03 30 193  3.8  7.1 99.00 99.00 99.00 999 1011.2  24.5 999.0 999.0 99.0 99.00
2023 09 02 03 40 194  5.5  8.8 99.00 99.00 99.00 999 1011.2  24.7 999.0 999.0 99.0 99.00
2023 09 02 03 50 195  4.8  8.2 99.00 99.00 99.00 999 1011.2  24.6 999.0 999.0 99.0 99.00
