#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 06 01 00 10 304  1.6  2.0 99.00 99.00 99.00 999 1011.2 999.0 999.0 999.0 99.0 99.00
2023 06 01 00 20 303  2.0  2.2 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 00 30 300  1.6  2.2 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 00 40 282  1.0  1.6 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 00 50 277  1.1  1.4 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 00 279  0.7  1.1 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 10 204  0.2  0.8 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 20 194  0.5  0.7 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 30 206  0.9  1.0 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 40 212  0.8  1.1 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2023 06 01 01 50 303  1.2  1.5 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2023 06 01 02 00 278  0.4  1.0 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2023 06 01 02 10 196  1.1  1.4 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2023 06 01 02 20 313  0.3  6.2 99.00 99.00 99.00 999 1012.5  14.0 999.0 999.0 99.0 99.00
2023 06 01 02 30 340  0.5  2.8 99.00 99.00 99.00 999 1012.9  14.2 999.0 999.0 99.0 99.00
2023 06 01 02 40  59  0.1  0.7 99.00 99.00 99.00 999 1012.9  14.1 999.0 999.0 99.0 99.00
2023 06 01 02 50  57  0.4  1.2 99.00 99.00 99.00 999 1013.2  14.0 999.0 999.0 99.0 99.00
2023 06 01 03 00  48  0.7  0.9 99.00 99.00 99.00 999 1013.2  13.9 999.0 999.0 99.0 99.00
2023 06 01 03 10  46  0.8  1.0 99.00 99.00 99.00 999 1013.2  13.7 999.0 999.0 99.0 99.00
2023 06 01 03 20  50  0.3  1.3 99.00 99.00 99.00 999 1013.2  13.1 999.0 999.0 99.0 99.00
2023 06 01 03 30  83  0.3  0.4 99.00 99.00 99.00 999 1013.2  13.4 999.0 999.0 99.0 99.00
2023 06 01 03 40   0  0.0  0.6 99.00 99.00 99.00 999 1013.2  13.7 999.0 999.0 99.0 99.00
2023 06 01 03 50  83  0.1  0.6 99.00 99.00 99.00 999 1013.2  13.6 999.0 999.0 99.0 99.00
2023 06 01 04 00  79  0.1  0.5 99.00 99.00 99.00 999 1013.2  13.8 999.0 999.0 99.0 99.00
2023 06 01 04 10   0  0.0  0.5 99.00 99.00 99.00 999 1013.2  14.0 999.0 999.0 99.0 99.00
2023 06 01 04 20 184  0.7  0.8 99.00 99.00 99.00 999 1013.2  14.3 999.0 999.0 99.0 99.00
2023 06 01 04 30 179  0.2  1.0 99.00 99.00 99.00 999 1013.2  14.5 999.0 999.0 99.0 99.00
2023 06 01 04 40 198  0.7  1.2 99.00 99.00 99.00 999 1013.2  14.7 999.0 999.0 99.0 99.00
2023 06 01 04 50 156  0.9  1.1 99.00 99.00 99.00 999 1013.2  14.7 999.0 999.0 99.0 99.00
2023 06 01 05 00  84  0.2  0.7 99.00 99.00 99.00 999 1013.2  14.5 999.0 999.0 99.0 99.00
2023 06 01 05 10 180  0.5  0.7 99.00 99.00 99.00 999 1013.2  14.9 999.0 999.0 99.0 99.00
2023 06 01 05 20 164  0.9  1.3 99.00 99.00 99.00 999 1013.2  15.5 999.0 999.0 99.0 99.00
2023 06 01 05 30 162  0.7  1.1 99.00 99.00 99.00 999 1013.5  15.9 999.0 999.0 99.0 99.00
2023 06 01 05 40 177  0.9  1.4 99.00 99.00 99.00 999 1013.5  16.0 999.0 999.0 99.0 99.00
2023 06 01 05 50 301  2.0  2.5 99.00 99.00 99.00 999 1013.5  13.7 999.0 999.0 99.0 99.00
2023 06 01 06 00 315  0.9  2.0 99.00 99.00 99.00 999 1013.9  13.1 999.0 999.0 99.0 99.00
2023 06 01 06 10 333  0.3  1.2 99.00 99.00 99.00 999 1013.9  13.5 999.0 999.0 99.0 99.00
2023 06 01 06 20  64  0.5  0.7 99.00 99.00 99.00 999 1013.9  13.9 999.0 999.0 99.0 99.00
2023 06 01 06 30 262  0.2  0.3 99.00 99.00 99.00 999 1013.9  14.1 999.0 999.0 99.0 99.00
2023 06 01 06 40 295  1.3  1.9 99.00 99.00 99.00 999 1013.9  14.0 999.0 999.0 99.0 99.00
2023 06 01 06 50 205  1.1  1.4 99.00 99.00 99.00 999 1013.9  13.9 999.0 999.0 99.0 99.00
2023 06 01 07 00 302  1.9  2.1 99.00 99.00 99.00 999 1014.2  13.5 999.0 999.0 99.0 99.00
2023 06 01 07 10 329  1.1  3.0 99.00 99.00 99.00 999 1014.6  12.7 999.0 999.0 99.0 99.00
