YY,MM,DD,DISC 
2013,09,27,62.7
2013,09,28,60.8
2013,09,29,61.8
2013,09,30,61.6
2013,10,01,60.5
2013,10,02,59.6
2013,10,03,71.1
2013,10,04,98.1
2013,10,05,149
2013,10,06,1100
2013,10,07,786
2013,10,08,442
2013,10,09,318
2013,10,10,251
2013,10,11,206
2013,10,12,171
2013,10,13,146
2013,10,14,128
2013,10,15,204
2013,10,16,1150
2013,10,17,710
2013,10,18,529
2013,10,19,473
2013,10,20,387
2013,10,21,424
2013,10,22,425
2013,10,23,341
2013,10,24,277
2013,10,25,233
2013,10,26,195
2013,10,27,169
2013,10,28,147
2013,10,29,128
2013,10,30,117
2013,10,31,114
2014,06,01,1340
2014,06,02,1100
2014,06,03,1070
2014,06,04,774
2014,06,05,578
2014,06,06,492
2014,06,07,588
2014,06,08,1240
2014,06,09,972
2014,06,10,742
2014,06,11,619
2014,06,12,580
2014,06,13,595
2014,06,14,496
2014,06,15,709
2014,06,16,1440
2014,06,17,924
2014,06,18,659
2014,06,19,518
2014,06,20,521
2014,06,21,542
2014,06,22,466
2014,06,23,397
2014,06,24,350
2014,06,25,310
2014,06,26,289
2014,06,27,260
2014,06,28,252
2014,06,29,316
2014,06,30,390
2014,07,01,293
2014,07,02,245
2014,07,03,211
2014,07,04,185
2014,07,05,167
2014,07,06,153
2014,07,07,143
2014,07,08,134
2014,07,09,130
2014,07,10,120
2014,07,11,121
2014,07,12,199
2014,07,13,209
2014,07,14,173
2014,07,15,163
2014,07,16,158
2014,07,17,133
2014,07,18,114
2014,07,19,99.4
2014,07,20,90.4
2014,07,21,83.2
2014,07,22,80.7
2014,07,23,83.2
2014,07,24,80.3
2014,07,25,72.3
2014,07,26,67.9
2014,07,27,67.7
2014,07,28,66.2
2014,07,29,61.3
2014,07,30,62.0
2014,07,31,59.5
2014,08,01,54.2
2014,08,02,48.8
2014,08,03,46.3
2014,08,04,52.4
2014,08,05,68.6
2014,08,06,57.5
2014,08,07,50.6
2014,08,08,45.3
2014,08,09,41.9
2014,08,10,40.1
2014,08,11,44.6
2014,08,12,51.4
2014,08,13,51.3
2014,08,14,45.2
2014,08,15,39.3
2014,08,16,37.0
2014,08,17,36.4
2014,08,18,62.8
2014,08,19,111
2014,08,20,124
2014,08,21,95.4
2014,08,22,80.1
2014,08,23,70.1
2014,08,24,63.6
2014,08,25,121
2014,08,26,215
2014,08,27,128
2014,08,28,92.2
2014,08,29,79.0
2014,08,30,94.5
2014,08,31,120
2014,09,01,168
2014,09,02,317
2014,09,03,266
2014,09,04,198
2014,09,05,224
2014,09,06,251
2014,09,07,201
2014,09,08,167
2014,09,09,145
2014,09,10,165
2014,09,11,309
2014,09,12,287
2014,09,13,232
2014,09,14,196
2014,09,15,168
2014,09,16,146
2014,09,17,131
2014,09,18,120
2014,09,19,111
2014,09,20,105
2014,09,21,175
2014,09,22,186
2014,09,23,152
2014,09,24,126
2014,09,25,110
2014,09,26,100
2014,09,27,93.1
2014,09,28,86.2
2014,09,29,87.2
2014,09,30,94.8
2014,10,01,107
2014,10,02,204
2014,10,03,277
2014,10,04,388
2014,10,05,464
2014,10,06,417
2014,10,07,370
2014,10,08,322
2014,10,09,280
2014,10,10,246
2014,10,11,215
2014,10,12,194
2014,10,13,176
2014,10,14,164
2014,10,15,155
2014,10,16,148
2014,10,17,143
2014,10,18,138
2014,10,19,134
2014,10,20,130
2014,10,21,125
2014,10,22,121
2014,10,23,115
2014,10,24,114
2014,10,25,111
2014,10,26,110
2014,10,27,108
2014,10,28,106
2014,10,29,103
2014,10,30,102
2014,10,31,103
2015,06,01,265
2015,06,02,227
2015,06,03,199
2015,06,04,205
2015,06,05,230
2015,06,06,221
2015,06,07,223
2015,06,08,299
2015,06,09,322
2015,06,10,265
2015,06,11,215
2015,06,12,179
2015,06,13,154
2015,06,14,136
2015,06,15,123
2015,06,16,116
2015,06,17,117
2015,06,18,124
2015,06,19,135
2015,06,20,125
2015,06,21,115
2015,06,22,171
2015,06,23,155
2015,06,24,119
2015,06,25,103
2015,06,26,99.5
2015,06,27,90.6
2015,06,28,84.9
2015,06,29,122
2015,06,30,218
2015,07,01,200
2015,07,02,148
2015,07,03,116
2015,07,04,96.4
2015,07,05,81.5
2015,07,06,750
2015,07,07,2820
2015,07,08,1580
2015,07,09,852
2015,07,10,588
2015,07,11,445
2015,07,12,361
2015,07,13,699
2015,07,14,1090
2015,07,15,722
2015,07,16,498
2015,07,17,402
2015,07,18,349
2015,07,19,312
2015,07,20,261
2015,07,21,225
2015,07,22,194
2015,07,23,172
2015,07,24,153
2015,07,25,141
2015,07,26,128
2015,07,27,115
2015,07,28,102
2015,07,29,94.1
2015,07,30,88.0
2015,07,31,76.6
2015,08,01,71.3
2015,08,02,64.6
2015,08,03,60.6
2015,08,04,56.2
2015,08,05,52.3
2015,08,06,50.4
2015,08,07,80.9
