YY MM DD DISC 
2014 07 03 701
2014 07 04 519
2014 07 05 399
2014 07 06 336
2014 07 07 324
2014 07 08 894
2014 07 09 1040
2014 07 10 722
2014 07 11 519
2014 07 12 479
2014 07 13 414
2014 07 14 354
2014 07 15 375
2014 07 16 417
2014 07 17 341
2014 07 18 286
2014 07 19 244
2014 07 20 216
2014 07 21 198
2014 07 22 232
2014 07 23 300
2014 07 24 278
2014 07 25 233
2014 07 26 205
2014 07 27 200
2014 07 28 276
2014 07 29 278
2014 07 30 373
2014 07 31 478
2014 08 01 373
2014 08 02 286
2014 08 03 239
2014 08 04 208
2014 08 05 189
2014 08 06 180
2014 08 07 170
2014 08 08 158
2014 08 09 146
2014 08 10 135
2014 08 11 136
2014 08 12 164
2014 08 13 165
2014 08 14 148
2014 08 15 133
2014 08 16 131
2014 08 17 126
2014 08 18 124
2014 08 19 140
2014 08 20 183
2014 08 21 174
2014 08 22 156
2014 08 23 145
2014 08 24 138
2014 08 25 1020
2014 08 26 565
2014 08 27 315
2014 08 28 236
2014 08 29 212
2014 08 30 1060
2014 08 31 1230
2014 09 01 2810
2014 09 02 3350
2014 09 03 1900
2014 09 04 1900
2014 09 05 2020
2014 09 06 1350
2014 09 07 956
2014 09 08 693
2014 09 09 540
2014 09 10 4120
2014 09 11 6020
2014 09 12 3230
2014 09 13 1960
2014 09 14 1320
2014 09 15 945
2014 09 16 720
2014 09 17 572
2014 09 18 480
2014 09 19 421
2014 09 20 385
2014 09 21 390
2014 09 22 464
2014 09 23 425
2014 09 24 379
2014 09 25 339
2014 09 26 312
2014 09 27 284
2014 09 28 268
2014 09 29 278
2014 09 30 291
2014 10 01 280
2014 10 02 362
2014 10 03 633
2014 10 04 1480
2014 10 05 1960
2014 10 06 1520
2014 10 07 1150
2014 10 08 900
2014 10 09 707
2014 10 10 585
2014 10 11 508
2014 10 12 456
2014 10 13 418
2014 10 14 435
2014 10 15 530
2014 10 16 503
2014 10 17 534
2014 10 18 742
2014 10 19 761
2014 10 20 651
2014 10 21 570
2014 10 22 491
2014 10 23 448
2014 10 24 419
2014 10 25 404
2014 10 26 379
2014 10 27 360
2014 10 28 343
2014 10 29 337
2014 10 30 337
2014 10 31 342
2015 06 01 668
2015 06 02 555
2015 06 03 478
2015 06 04 1540
2015 06 05 1970
2015 06 06 1410
2015 06 07 1040
2015 06 08 881
2015 06 09 912
2015 06 10 777
2015 06 11 614
2015 06 12 490
2015 06 13 412
2015 06 14 392
2015 06 15 420
2015 06 16 441
2015 06 17 404
2015 06 18 747
2015 06 19 644
2015 06 20 500
2015 06 21 608
2015 06 22 550
2015 06 23 529
2015 06 24 446
2015 06 25 405
2015 06 26 481
2015 06 27 411
2015 06 28 340
2015 06 29 308
2015 06 30 328
2015 07 01 366
2015 07 02 331
2015 07 03 293
2015 07 04 261
2015 07 05 294
2015 07 06 359
2015 07 07 921
2015 07 08 863
2015 07 09 634
2015 07 10 458
2015 07 11 348
2015 07 12 282
2015 07 13 408
2015 07 14 651
2015 07 15 557
2015 07 16 430
2015 07 17 347
2015 07 18 296
2015 07 19 255
2015 07 20 226
2015 07 21 199
2015 07 22 176
2015 07 23 161
2015 07 24 149
2015 07 25 147
2015 07 26 141
2015 07 27 147
2015 07 28 130
2015 07 29 120
2015 07 30 114
2015 07 31 111
2015 08 01 108
2015 08 02 110
2015 08 03 107
2015 08 04 103
2015 08 05 97.0
2015 08 06 92.3
2015 08 07 103
2015 08 08 115
2015 08 09 114
2015 08 10 118
2015 08 11 116
2015 08 12 105
2015 08 13 98.2
2015 08 14 94.0
2015 08 15 89.2
2015 08 16 84.9
2015 08 17 83.5
2015 08 18 86.5
2015 08 19 119
2015 08 20 173
2015 08 21 203
2015 08 22 178
2015 08 23 150
2015 08 24 142
2015 08 25 139
2015 08 26 135
2015 08 27 126
2015 08 28 118
2015 08 29 111
2015 08 30 104
2015 08 31 99.1
2015 09 01 95.7
2015 09 02 102
2015 09 03 159
2015 09 04 229
2015 09 05 207
2015 09 06 174
2015 09 07 309
2015 09 08 378
2015 09 09 300
2015 09 10 237
2015 09 11 196
2015 09 12 171
2015 09 13 155
2015 09 14 141
2015 09 15 129
2015 09 16 118
2015 09 17 118
2015 09 18 122
2015 09 19 166
2015 09 20 176
2015 09 21 148
2015 09 22 129
2015 09 23 120
2015 09 24 121
2015 09 25 127
2015 09 26 127
2015 09 27 122
2015 09 28 124
2015 09 29 137
2015 09 30 160
2015 10 01 140
2015 10 02 121
2015 10 03 111
2015 10 04 106
2015 10 05 106
2015 10 06 106
2015 10 07 107
2015 10 08 115
2015 10 09 154
2015 10 10 185
2015 10 11 170
2015 10 12 153
2015 10 13 143
2015 10 14 142
2015 10 15 141
2015 10 16 135
2015 10 17 125
2015 10 18 123
2015 10 19 119
2015 10 20 121
2015 10 21 120
2015 10 22 121
2015 10 23 121
2015 10 24 135
2015 10 25 172
2015 10 26 217
2015 10 27 262
2015 10 28 359
2015 10 29 712
2015 10 30 921
2015 10 31 843
2016 06 01 5440
2016 06 02 3650
2016 06 03 2430
2016 06 04 2430
2016 06 05 3430
2016 06 06 3340
2016 06 07 2550
2016 06 08 1860
2016 06 09 1360
2016 06 10 1040
2016 06 11 1100
2016 06 12 921
2016 06 13 1190
2016 06 14 1220
2016 06 15 3330
2016 06 16 8130
2016 06 17 3210
2016 06 18 1820
2016 06 19 1230
2016 06 20 903
2016 06 21 726
2016 06 22 528
2016 06 23 481
2016 06 24 438
2016 06 25 386
2016 06 26 468
2016 06 27 518
2016 06 28 452
2016 06 29 387
2016 06 30 369
2016 07 01 530
2016 07 02 462
2016 07 03 367
2016 07 04 308
2016 07 05 267
2016 07 06 240
2016 07 07 218
2016 07 08 224
2016 07 09 271
2016 07 10 265
2016 07 11 927
2016 07 12 31900
2016 07 13 17400
2016 07 14 8790
2016 07 15 4490
2016 07 16 2510
2016 07 17 1660
2016 07 18 1220
2016 07 19 916
2016 07 20 735
2016 07 21 726
2016 07 22 825
2016 07 23 656
2016 07 24 573
2016 07 25 547
2016 07 26 476
2016 07 27 419
2016 07 28 449
2016 07 29 432
2016 07 30 383
2016 07 31 342
2016 08 01 305
2016 08 02 311
2016 08 03 410
2016 08 04 357
2016 08 05 310
2016 08 06 275
2016 08 07 251
2016 08 08 225
2016 08 09 206
2016 08 10 210
2016 08 11 445
2016 08 12 718
2016 08 13 617
2016 08 14 501
2016 08 15 404
2016 08 16 339
2016 08 17 297
2016 08 18 267
2016 08 19 250
2016 08 20 413
2016 08 21 1360
2016 08 22 1550
2016 08 23 1050
2016 08 24 743
2016 08 25 595
2016 08 26 489
2016 08 27 410
2016 08 28 362
2016 08 29 335
2016 08 30 411
2016 08 31 381
2016 09 01 325
2016 09 02 287
2016 09 03 259
2016 09 04 238
2016 09 05 234
2016 09 06 725
2016 09 07 1430
2016 09 08 1830
2016 09 09 1770
2016 09 10 1410
2016 09 11 1370
2016 09 12 932
2016 09 13 708
2016 09 14 581
2016 09 15 485
2016 09 16 423
2016 09 17 397
2016 09 18 378
2016 09 19 360
2016 09 20 332
2016 09 21 311
2016 09 22 396
2016 09 23 545
2016 09 24 494
2016 09 25 412
2016 09 26 365
2016 09 27 477
2016 09 28 1080
2016 09 29 1530
2016 09 30 1220
2016 10 01 890
2016 10 02 686
2016 10 03 556
2016 10 04 464
2016 10 05 410
2016 10 06 423
2016 10 07 960
2016 10 08 1420
2016 10 09 1120
2016 10 10 857
2016 10 11 692
2016 10 12 609
2016 10 13 563
2016 10 14 504
2016 10 15 458
2016 10 16 436
2016 10 17 1040
2016 10 18 1430
2016 10 19 1200
2016 10 20 938
2016 10 21 758
2016 10 22 639
2016 10 23 562
2016 10 24 520
2016 10 25 484
2016 10 26 451
2016 10 27 470
2016 10 28 477
2016 10 29 463
2016 10 30 458
2016 10 31 449
2017 06 01 843
2017 06 02 722
2017 06 03 646
2017 06 04 626
2017 06 05 565
2017 06 06 498
2017 06 07 436
