YY,MM,DD,WDIR,WSPD,ATMP
2012.0,10.0,6.0,7.0,4.42,3.85
2012.0,10.0,7.0,5.0,5.58,4.8
2012.0,10.0,8.0,5.0,2.58,5.8
2012.0,10.0,9.0,5.0,5.24,7.1
2012.0,10.0,10.0,5.0,4.82,3.8
2012.0,10.0,11.0,7.0,4.74,3.8
2012.0,10.0,12.0,1.0,2.38,2.8
2012.0,10.0,13.0,1.0,1.76,5.7
2012.0,10.0,14.0,1.0,1.72,6.3
2012.0,10.0,15.0,1.0,1.46,6.5
2012.0,10.0,16.0,1.0,2.2,6.5
2012.0,10.0,17.0,1.0,3.94,7.5
2012.0,10.0,18.0,5.0,2.14,8.4
2012.0,10.0,19.0,1.0,2.89,7.9
2012.0,10.0,20.0,1.0,1.05,6.4
2012.0,10.0,21.0,1.0,1.65,6.8
2012.0,10.0,22.0,1.0,2.77,7.9
2012.0,10.0,23.0,1.0,8.49,7.3
2012.0,10.0,24.0,1.0,2.12,7.7
2012.0,10.0,25.0,7.0,8.16,6.35
2012.0,10.0,26.0,6.0,6.26,3.2
2012.0,10.0,27.0,6.0,3.78,2.2
2012.0,10.0,28.0,5.0,1.73,1.8
2012.0,10.0,29.0,1.0,2.67,4.0
2012.0,10.0,30.0,1.0,4.33,3.8
2012.0,10.0,31.0,0.0,2.57,2.2
2013.0,6.0,1.0,1.0,1.81,7.7
2013.0,6.0,2.0,1.0,3.08,9.3
2013.0,6.0,3.0,1.0,1.85,9.1
2013.0,6.0,4.0,1.0,2.91,8.6
2013.0,6.0,5.0,1.0,5.43,6.9
2013.0,6.0,6.0,1.0,5.62,6.85
2013.0,6.0,7.0,1.0,1.51,8.8
2013.0,6.0,8.0,1.0,1.8,11.6
2013.0,6.0,9.0,1.0,3.61,8.5
2013.0,6.0,10.0,1.0,2.0,7.9
2013.0,6.0,11.0,1.0,1.96,10.0
2013.0,6.0,12.0,1.0,1.58,15.0
2013.0,6.0,13.0,1.0,2.31,17.6
2013.0,6.0,14.0,1.0,2.54,11.5
2013.0,6.0,15.0,1.0,2.64,9.35
2013.0,6.0,16.0,6.0,4.8,18.6
2013.0,6.0,17.0,1.0,4.86,9.3
2013.0,6.0,18.0,1.0,1.93,10.2
2013.0,6.0,19.0,1.0,1.56,12.05
2013.0,6.0,20.0,1.0,2.39,12.1
2013.0,6.0,21.0,1.0,3.07,10.8
2013.0,6.0,22.0,1.0,3.54,10.5
2013.0,6.0,23.0,1.0,2.94,9.25
2013.0,6.0,24.0,5.0,2.63,17.25
2013.0,6.0,25.0,1.0,2.01,20.6
2013.0,6.0,26.0,1.0,2.03,14.5
2013.0,6.0,27.0,6.0,3.88,18.9
