YY,MM,DD,WDIR,WSPD,ATMP
2013.0,9.0,9.0,4.0,2.02,18.7
2013.0,9.0,10.0,5.0,2.06,21.1
2013.0,9.0,11.0,4.0,3.12,20.6
2013.0,9.0,12.0,0.0,5.22,16.0
2013.0,9.0,13.0,0.0,3.39,15.4
2013.0,9.0,14.0,4.0,3.3,11.2
2013.0,9.0,15.0,1.0,5.53,13.9
2013.0,9.0,16.0,4.0,2.79,7.0
2013.0,9.0,17.0,4.0,2.61,9.9
2013.0,9.0,18.0,4.0,2.62,16.5
2013.0,9.0,19.0,4.0,1.39,19.5
2013.0,9.0,20.0,5.0,3.36,17.4
2013.0,9.0,21.0,7.0,4.96,12.0
2013.0,9.0,22.0,4.0,3.32,7.0
2013.0,9.0,23.0,4.0,2.25,11.0
2013.0,9.0,24.0,4.0,2.72,12.5
2013.0,9.0,25.0,4.0,1.97,13.3
2013.0,9.0,26.0,4.0,2.16,14.4
2013.0,9.0,27.0,4.0,3.36,19.4
2013.0,9.0,28.0,4.0,4.5,21.6
2013.0,9.0,29.0,4.0,3.23,12.6
2013.0,9.0,30.0,4.0,5.03,16.9
2013.0,10.0,1.0,4.0,4.26,19.3
2013.0,10.0,2.0,4.0,3.31,16.0
2013.0,10.0,3.0,1.0,2.71,12.6
2013.0,10.0,4.0,1.0,5.97,13.2
2013.0,10.0,5.0,1.0,6.15,11.4
2013.0,10.0,6.0,1.0,3.67,10.9
2013.0,10.0,7.0,4.0,3.23,10.6
2013.0,10.0,8.0,4.0,4.19,11.6
2013.0,10.0,9.0,4.0,5.05,20.25
2013.0,10.0,10.0,4.0,1.49,14.4
2013.0,10.0,11.0,4.0,2.1,14.3
2013.0,10.0,12.0,4.0,4.52,18.6
2013.0,10.0,13.0,5.0,3.04,11.2
2013.0,10.0,14.0,4.0,2.82,6.2
2013.0,10.0,15.0,2.0,4.32,11.0
2013.0,10.0,16.0,0.0,7.3,9.7
2013.0,10.0,17.0,4.0,3.04,6.0
2013.0,10.0,18.0,0.0,4.31,9.8
2013.0,10.0,19.0,4.0,2.03,6.9
2013.0,10.0,20.0,4.0,2.63,4.9
2013.0,10.0,21.0,5.0,3.35,4.3
2013.0,10.0,22.0,7.0,6.76,6.0
2013.0,10.0,23.0,5.0,3.55,4.1
2013.0,10.0,24.0,6.0,4.24,5.0
2013.0,10.0,25.0,4.0,4.53,4.5
2013.0,10.0,26.0,7.0,7.3,8.5
2013.0,10.0,27.0,4.0,4.02,6.2
2013.0,10.0,28.0,1.0,7.13,5.1
2013.0,10.0,29.0,4.0,1.84,-0.55
2013.0,10.0,30.0,0.0,0.79,6.1
2013.0,10.0,31.0,0.0,1.3,10.7
2014.0,6.0,1.0,4.0,1.06,20.6
2014.0,6.0,2.0,0.0,0.22,10.45
2014.0,6.0,3.0,6.0,3.16,17.7
2014.0,6.0,4.0,0.0,0.65,13.0
2014.0,6.0,5.0,0.0,0.15,9.9
2014.0,6.0,6.0,4.0,0.95,17.05
2014.0,6.0,7.0,0.0,1.28,14.2
2014.0,6.0,8.0,0.0,0.68,19.65
2014.0,6.0,9.0,0.0,0.03,19.4
2014.0,6.0,10.0,0.0,0.4,20.5
2014.0,6.0,11.0,0.0,0.22,21.4
2014.0,6.0,12.0,0.0,3.16,22.7
2014.0,6.0,13.0,6.0,2.69,17.3
2014.0,6.0,14.0,0.0,0.65,20.1
2014.0,6.0,15.0,4.0,2.84,22.8
2014.0,6.0,16.0,4.0,2.37,30.25
2014.0,6.0,17.0,0.0,0.83,28.2
2014.0,6.0,18.0,0.0,1.91,
2014.0,6.0,19.0,0.0,0.89,
2014.0,6.0,20.0,0.0,0.09,
2014.0,6.0,21.0,0.0,0.44,
2014.0,6.0,22.0,0.0,0.52,
2014.0,6.0,23.0,0.0,0.48,
2014.0,6.0,24.0,0.0,2.04,
2014.0,6.0,25.0,0.0,1.27,
2014.0,6.0,26.0,0.0,0.14,
2014.0,6.0,27.0,0.0,1.02,
2014.0,6.0,28.0,4.0,2.82,
2014.0,6.0,29.0,4.0,3.34,
2014.0,6.0,30.0,4.0,5.16,
2014.0,7.0,1.0,5.0,2.64,
2014.0,7.0,2.0,0.0,1.25,
2014.0,7.0,3.0,0.0,0.95,
2014.0,7.0,4.0,4.0,2.39,
2014.0,7.0,5.0,4.0,3.96,
2014.0,7.0,6.0,4.0,3.26,
2014.0,7.0,7.0,5.0,2.59,
2014.0,7.0,8.0,0.0,1.47,
2014.0,7.0,9.0,0.0,1.5,
2014.0,7.0,10.0,4.0,1.78,
2014.0,7.0,11.0,4.0,3.13,
2014.0,7.0,12.0,0.0,1.4,
2014.0,7.0,13.0,6.0,1.7,
2014.0,7.0,14.0,0.0,1.45,
2014.0,7.0,15.0,0.0,3.09,
2014.0,7.0,16.0,0.0,0.82,
2014.0,7.0,17.0,4.0,1.62,
2014.0,7.0,18.0,4.0,2.21,
2014.0,7.0,19.0,4.0,3.23,
2014.0,7.0,20.0,4.0,3.32,
2014.0,7.0,21.0,4.0,3.27,
2014.0,7.0,22.0,4.0,2.94,
2014.0,7.0,23.0,0.0,0.54,
2014.0,7.0,24.0,0.0,1.02,
2014.0,7.0,25.0,4.0,1.39,
2014.0,7.0,26.0,4.0,1.97,
2014.0,7.0,27.0,0.0,3.03,
2014.0,7.0,28.0,0.0,0.56,
2014.0,7.0,29.0,4.0,1.79,
2014.0,7.0,30.0,4.0,1.3,
2014.0,7.0,31.0,4.0,1.14,
2014.0,8.0,1.0,4.0,0.98,
2014.0,8.0,2.0,0.0,0.41,
2014.0,8.0,3.0,0.0,1.82,
2014.0,8.0,4.0,0.0,1.6,
2014.0,8.0,5.0,0.0,0.51,
2014.0,8.0,6.0,0.0,1.86,
2014.0,8.0,7.0,0.0,0.82,20.8
2014.0,8.0,8.0,4.0,1.14,19.9
