YY,MM,DD,WDIR,WSPD,ATMP
2012.0,10.0,6.0,0.0,7.76,5.2
2012.0,10.0,7.0,5.0,3.6,3.9
2012.0,10.0,8.0,4.0,3.94,6.2
2012.0,10.0,9.0,4.0,3.23,8.0
2012.0,10.0,10.0,6.0,4.07,4.7
2012.0,10.0,11.0,5.0,3.85,4.6
2012.0,10.0,12.0,4.0,3.54,4.8
2012.0,10.0,13.0,4.0,1.96,7.2
2012.0,10.0,14.0,1.0,5.74,7.3
2012.0,10.0,15.0,1.0,3.49,7.2
2012.0,10.0,16.0,4.0,2.48,11.4
2012.0,10.0,17.0,4.0,1.79,10.7
2012.0,10.0,18.0,4.0,1.92,10.3
2012.0,10.0,19.0,1.0,1.32,8.7
2012.0,10.0,20.0,4.0,1.64,7.7
2012.0,10.0,21.0,4.0,1.72,4.0
2012.0,10.0,22.0,1.0,3.44,8.9
2012.0,10.0,23.0,1.0,2.07,9.0
2012.0,10.0,24.0,4.0,1.55,11.7
2012.0,10.0,25.0,7.0,5.14,8.7
2012.0,10.0,26.0,5.0,3.87,3.2
2012.0,10.0,27.0,5.0,2.39,2.6
2012.0,10.0,28.0,4.0,2.36,-0.9
2012.0,10.0,29.0,4.0,2.43,0.0
2012.0,10.0,30.0,1.0,6.95,4.0
2012.0,10.0,31.0,0.0,5.36,3.3
2013.0,6.0,1.0,4.0,2.68,12.5
2013.0,6.0,2.0,0.0,4.39,7.1
2013.0,6.0,3.0,4.0,2.34,8.4
2013.0,6.0,4.0,4.0,1.76,10.7
2013.0,6.0,5.0,1.0,1.89,9.9
2013.0,6.0,6.0,1.0,2.49,7.3
2013.0,6.0,7.0,0.0,0.94,7.5
2013.0,6.0,8.0,0.0,1.18,10.9
2013.0,6.0,9.0,4.0,1.68,11.7
2013.0,6.0,10.0,7.0,1.12,11.2
2013.0,6.0,11.0,1.0,1.65,14.9
2013.0,6.0,12.0,4.0,1.77,16.5
2013.0,6.0,13.0,1.0,1.49,14.8
2013.0,6.0,14.0,4.0,1.78,13.2
2013.0,6.0,15.0,1.0,1.27,13.3
2013.0,6.0,16.0,4.0,3.24,17.6
2013.0,6.0,17.0,0.0,2.78,9.6
2013.0,6.0,18.0,0.0,1.87,10.0
2013.0,6.0,19.0,4.0,2.61,15.9
2013.0,6.0,20.0,4.0,1.98,17.9
2013.0,6.0,21.0,7.0,2.6,14.6
2013.0,6.0,22.0,7.0,1.95,11.6
2013.0,6.0,23.0,7.0,1.9,12.8
2013.0,6.0,24.0,4.0,2.13,22.9
2013.0,6.0,25.0,4.0,1.73,21.8
2013.0,6.0,26.0,4.0,1.6,19.6
2013.0,6.0,27.0,4.0,1.91,20.2
2013.0,6.0,28.0,0.0,2.38,17.4
2013.0,6.0,29.0,0.0,1.7,13.7
2013.0,6.0,30.0,4.0,1.61,17.0
2013.0,7.0,1.0,4.0,2.19,13.35
2013.0,7.0,2.0,4.0,2.15,13.7
2013.0,7.0,3.0,4.0,1.89,15.3
2013.0,7.0,4.0,4.0,2.92,20.0
