YY,MM,DD,WDIR,WSPD,ATMP
2012.0,10.0,6.0,7.0,7.63,4.6
2012.0,10.0,7.0,4.0,4.19,2.7
2012.0,10.0,8.0,4.0,4.09,6.3
2012.0,10.0,9.0,6.0,5.24,7.5
2012.0,10.0,10.0,6.0,7.05,4.0
2012.0,10.0,11.0,7.0,4.89,3.9
2012.0,10.0,12.0,7.0,3.98,4.3
2012.0,10.0,13.0,4.0,3.06,6.7
2012.0,10.0,14.0,1.0,4.03,6.7
2012.0,10.0,15.0,3.0,2.33,2.2
2012.0,10.0,16.0,1.0,2.06,8.7
2012.0,10.0,17.0,1.0,3.6,7.8
2012.0,10.0,18.0,4.0,2.13,9.25
2012.0,10.0,19.0,1.0,2.97,7.7
2012.0,10.0,20.0,4.0,1.61,4.7
2012.0,10.0,21.0,3.0,3.03,6.7
2012.0,10.0,22.0,1.0,4.01,8.0
2012.0,10.0,23.0,1.0,5.63,7.4
2012.0,10.0,24.0,1.0,1.84,7.5
2012.0,10.0,25.0,7.0,4.98,6.5
2012.0,10.0,26.0,6.0,7.39,3.55
2012.0,10.0,27.0,6.0,4.42,2.7
2012.0,10.0,28.0,3.0,2.0,0.9
2012.0,10.0,29.0,3.0,2.26,1.75
2012.0,10.0,30.0,1.0,4.4,3.6
2012.0,10.0,31.0,0.0,4.31,2.1
2013.0,6.0,1.0,1.0,2.69,5.6
2013.0,6.0,2.0,6.0,2.21,6.2
2013.0,6.0,3.0,0.0,2.26,7.2
2013.0,6.0,4.0,1.0,3.88,7.2
2013.0,6.0,5.0,1.0,5.03,5.2
2013.0,6.0,6.0,1.0,6.42,4.5
2013.0,6.0,7.0,0.0,1.96,6.3
2013.0,6.0,8.0,1.0,3.19,7.7
2013.0,6.0,9.0,1.0,4.04,5.5
2013.0,6.0,10.0,1.0,2.82,5.7
2013.0,6.0,11.0,7.0,1.95,8.4
2013.0,6.0,12.0,1.0,1.6,12.6
2013.0,6.0,13.0,0.0,1.94,10.6
2013.0,6.0,14.0,1.0,3.64,7.8
2013.0,6.0,15.0,1.0,2.56,6.35
2013.0,6.0,16.0,4.0,3.36,14.9
2013.0,6.0,17.0,1.0,5.62,5.75
2013.0,6.0,18.0,1.0,3.5,6.0
2013.0,6.0,19.0,1.0,1.49,9.3
2013.0,6.0,20.0,1.0,2.6,8.8
2013.0,6.0,21.0,1.0,4.98,6.4
2013.0,6.0,22.0,1.0,4.26,6.7
2013.0,6.0,23.0,1.0,3.11,6.1
2013.0,6.0,24.0,4.0,1.51,17.4
2013.0,6.0,25.0,3.0,2.28,18.6
2013.0,6.0,26.0,1.0,2.04,10.7
2013.0,6.0,27.0,6.0,2.66,15.0
2013.0,6.0,28.0,6.0,4.03,16.25
2013.0,6.0,29.0,0.0,1.95,11.8
2013.0,6.0,30.0,3.0,1.65,13.9
2013.0,7.0,1.0,1.0,5.13,11.7
2013.0,7.0,2.0,0.0,3.27,9.1
2013.0,7.0,3.0,0.0,1.96,10.7
2013.0,7.0,4.0,1.0,1.5,12.3
2013.0,7.0,5.0,4.0,4.25,22.7
2013.0,7.0,6.0,4.0,4.51,24.2
2013.0,7.0,7.0,1.0,4.88,11.5
2013.0,7.0,8.0,1.0,3.13,9.2
2013.0,7.0,9.0,1.0,2.1,9.2
2013.0,7.0,10.0,6.0,3.88,15.3
2013.0,7.0,11.0,1.0,2.29,17.1
2013.0,7.0,12.0,4.0,3.9,23.2
2013.0,7.0,13.0,4.0,4.12,23.9
2013.0,7.0,14.0,4.0,1.97,20.2
2013.0,7.0,15.0,1.0,2.85,18.0
2013.0,7.0,16.0,1.0,2.13,16.5
2013.0,7.0,17.0,4.0,3.35,26.2
2013.0,7.0,18.0,0.0,2.55,19.5
2013.0,7.0,19.0,6.0,5.18,23.2
2013.0,7.0,20.0,1.0,5.21,18.8
2013.0,7.0,21.0,1.0,4.46,13.5
2013.0,7.0,22.0,6.0,3.18,13.3
2013.0,7.0,23.0,6.0,3.14,14.6
2013.0,7.0,24.0,3.0,2.3,16.6
2013.0,7.0,25.0,4.0,3.66,19.1
2013.0,7.0,26.0,1.0,4.35,14.1
2013.0,7.0,27.0,7.0,5.84,11.2
2013.0,7.0,28.0,7.0,3.53,12.3
2013.0,7.0,29.0,3.0,1.56,15.7
2013.0,7.0,30.0,4.0,1.79,17.5
2013.0,7.0,31.0,4.0,3.5,18.8
2013.0,8.0,1.0,6.0,3.76,18.6
2013.0,8.0,2.0,6.0,2.69,17.5
2013.0,8.0,3.0,6.0,2.85,17.8
2013.0,8.0,4.0,3.0,1.76,15.7
2013.0,8.0,5.0,3.0,2.42,17.0
2013.0,8.0,6.0,1.0,2.69,17.3
2013.0,8.0,7.0,6.0,3.28,18.1
2013.0,8.0,8.0,6.0,1.91,16.0
2013.0,8.0,9.0,6.0,3.32,17.4
2013.0,8.0,10.0,4.0,1.99,16.5
2013.0,8.0,11.0,3.0,1.93,16.8
2013.0,8.0,12.0,4.0,2.78,18.2
2013.0,8.0,13.0,3.0,2.13,14.6
2013.0,8.0,14.0,7.0,1.53,14.9
2013.0,8.0,15.0,3.0,1.79,16.9
2013.0,8.0,16.0,3.0,1.55,18.5
2013.0,8.0,17.0,4.0,3.52,20.8
2013.0,8.0,18.0,4.0,4.28,21.2
2013.0,8.0,19.0,4.0,3.7,21.8
2013.0,8.0,20.0,4.0,3.67,24.4
2013.0,8.0,21.0,4.0,3.48,25.4
2013.0,8.0,22.0,7.0,1.65,19.8
2013.0,8.0,23.0,3.0,3.01,17.7
2013.0,8.0,24.0,4.0,3.34,21.0
2013.0,8.0,25.0,4.0,5.26,26.8
2013.0,8.0,26.0,1.0,2.68,21.75
2013.0,8.0,27.0,0.0,3.64,18.45
2013.0,8.0,28.0,0.0,1.36,18.1
2013.0,8.0,29.0,3.0,1.69,20.0
2013.0,8.0,30.0,1.0,3.5,21.0
2013.0,8.0,31.0,3.0,1.26,18.5
2013.0,9.0,1.0,6.0,4.76,19.4
2013.0,9.0,2.0,0.0,4.95,14.7
2013.0,9.0,3.0,3.0,2.84,13.6
2013.0,9.0,4.0,1.0,3.55,18.2
2013.0,9.0,5.0,3.0,2.49,14.4
2013.0,9.0,6.0,4.0,1.83,18.3
2013.0,9.0,7.0,3.0,2.28,20.9
2013.0,9.0,8.0,1.0,2.72,14.4
2013.0,9.0,9.0,1.0,2.35,13.1
2013.0,9.0,10.0,5.0,2.43,17.3
2013.0,9.0,11.0,4.0,3.18,18.9
2013.0,9.0,12.0,7.0,4.3,15.4
2013.0,9.0,13.0,3.0,2.43,13.6
2013.0,9.0,14.0,4.0,3.28,13.2
2013.0,9.0,15.0,1.0,4.86,13.1
2013.0,9.0,16.0,3.0,2.03,8.4
2013.0,9.0,17.0,4.0,3.28,10.65
2013.0,9.0,18.0,4.0,1.81,15.7
2013.0,9.0,19.0,1.0,2.34,16.0
2013.0,9.0,20.0,6.0,4.99,15.7
2013.0,9.0,21.0,7.0,5.49,12.1
2013.0,9.0,22.0,3.0,1.77,8.4
2013.0,9.0,23.0,4.0,1.99,10.95
2013.0,9.0,24.0,1.0,2.95,13.0
2013.0,9.0,25.0,3.0,2.78,10.85
2013.0,9.0,26.0,3.0,2.56,12.5
2013.0,9.0,27.0,1.0,2.39,15.45
2013.0,9.0,28.0,4.0,6.15,20.75
2013.0,9.0,29.0,4.0,3.61,12.75
2013.0,9.0,30.0,4.0,6.17,17.3
2013.0,10.0,1.0,4.0,5.33,19.3
2013.0,10.0,2.0,5.0,2.89,15.5
2013.0,10.0,3.0,1.0,4.18,12.5
2013.0,10.0,4.0,1.0,7.77,11.5
2013.0,10.0,5.0,1.0,8.11,9.85
2013.0,10.0,6.0,1.0,5.91,9.3
2013.0,10.0,7.0,4.0,3.08,10.5
2013.0,10.0,8.0,4.0,4.1,11.75
2013.0,10.0,9.0,4.0,5.67,18.9
2013.0,10.0,10.0,4.0,3.08,14.7
2013.0,10.0,11.0,3.0,2.69,16.1
2013.0,10.0,12.0,5.0,5.86,14.85
2013.0,10.0,13.0,6.0,5.53,10.4
2013.0,10.0,14.0,3.0,2.22,5.9
2013.0,10.0,15.0,1.0,6.78,9.7
2013.0,10.0,16.0,0.0,6.65,7.8
2013.0,10.0,17.0,4.0,1.88,6.3
2013.0,10.0,18.0,0.0,5.29,7.7
2013.0,10.0,19.0,4.0,2.64,4.8
2013.0,10.0,20.0,3.0,2.14,3.7
2013.0,10.0,21.0,6.0,8.67,2.9
2013.0,10.0,22.0,7.0,7.25,3.85
2013.0,10.0,23.0,7.0,5.4,2.9
2013.0,10.0,24.0,7.0,6.18,3.2
2013.0,10.0,25.0,4.0,6.16,5.3
2013.0,10.0,26.0,7.0,8.36,6.3
2013.0,10.0,27.0,4.0,4.66,5.0
2013.0,10.0,28.0,1.0,7.92,2.45
2013.0,10.0,29.0,3.0,1.11,-1.85
2013.0,10.0,30.0,3.0,1.07,2.8
2013.0,10.0,31.0,0.0,1.66,6.8
2014.0,6.0,1.0,0.0,1.55,5.0
2014.0,6.0,2.0,7.0,1.83,5.0
2014.0,6.0,3.0,6.0,5.68,14.7
2014.0,6.0,4.0,1.0,3.09,9.5
2014.0,6.0,5.0,1.0,2.87,5.6
2014.0,6.0,6.0,6.0,1.93,8.4
2014.0,6.0,7.0,1.0,2.06,11.15
2014.0,6.0,8.0,0.0,1.8,9.1
2014.0,6.0,9.0,1.0,2.06,8.0
2014.0,6.0,10.0,1.0,3.2,6.6
2014.0,6.0,11.0,0.0,2.49,6.5
2014.0,6.0,12.0,6.0,5.87,9.8
2014.0,6.0,13.0,6.0,3.94,9.4
2014.0,6.0,14.0,1.0,5.68,5.8
2014.0,6.0,15.0,1.0,5.27,8.65
2014.0,6.0,16.0,4.0,4.41,19.05
2014.0,6.0,17.0,0.0,1.73,11.2
2014.0,6.0,18.0,1.0,7.55,7.7
2014.0,6.0,19.0,1.0,6.6,6.9
2014.0,6.0,20.0,1.0,4.15,5.4
2014.0,6.0,21.0,1.0,4.17,5.3
2014.0,6.0,22.0,1.0,2.77,6.1
2014.0,6.0,23.0,0.0,1.37,7.1
2014.0,6.0,24.0,1.0,2.94,6.9
2014.0,6.0,25.0,1.0,5.73,6.1
2014.0,6.0,26.0,1.0,5.03,7.0
2014.0,6.0,27.0,1.0,4.65,6.5
2014.0,6.0,28.0,1.0,2.67,7.4
2014.0,6.0,29.0,4.0,4.24,19.9
2014.0,6.0,30.0,4.0,7.14,24.3
2014.0,7.0,1.0,6.0,5.28,18.7
2014.0,7.0,2.0,6.0,3.01,11.7
2014.0,7.0,3.0,4.0,2.12,15.2
2014.0,7.0,4.0,3.0,1.81,16.9
2014.0,7.0,5.0,4.0,4.73,20.3
2014.0,7.0,6.0,4.0,4.43,22.4
2014.0,7.0,7.0,5.0,4.74,20.5
2014.0,7.0,8.0,1.0,2.49,10.5
2014.0,7.0,9.0,6.0,1.79,12.9
2014.0,7.0,10.0,1.0,2.49,15.4
2014.0,7.0,11.0,4.0,3.54,18.9
2014.0,7.0,12.0,4.0,1.97,18.2
2014.0,7.0,13.0,6.0,4.37,17.4
2014.0,7.0,14.0,6.0,3.65,13.0
2014.0,7.0,15.0,6.0,2.67,13.2
2014.0,7.0,16.0,6.0,2.24,14.6
2014.0,7.0,17.0,4.0,2.29,18.9
2014.0,7.0,18.0,4.0,3.3,19.7
2014.0,7.0,19.0,4.0,5.19,21.25
2014.0,7.0,20.0,4.0,4.34,21.2
2014.0,7.0,21.0,4.0,4.05,25.4
2014.0,7.0,22.0,4.0,3.95,21.0
2014.0,7.0,23.0,0.0,1.76,16.5
2014.0,7.0,24.0,1.0,1.95,15.5
2014.0,7.0,25.0,1.0,1.73,18.5
2014.0,7.0,26.0,6.0,3.26,21.6
2014.0,7.0,27.0,1.0,4.67,16.2
2014.0,7.0,28.0,6.0,2.56,14.8
2014.0,7.0,29.0,6.0,3.22,17.7
2014.0,7.0,30.0,5.0,2.13,15.1
2014.0,7.0,31.0,6.0,2.08,18.5
2014.0,8.0,1.0,3.0,2.24,16.4
2014.0,8.0,2.0,1.0,1.75,15.3
2014.0,8.0,3.0,1.0,2.38,18.2
2014.0,8.0,4.0,1.0,3.43,15.8
2014.0,8.0,5.0,1.0,1.43,13.0
2014.0,8.0,6.0,3.0,2.83,15.8
2014.0,8.0,7.0,1.0,2.89,14.8
2014.0,8.0,8.0,1.0,1.66,15.0
2014.0,8.0,9.0,1.0,1.89,18.2
2014.0,8.0,10.0,3.0,1.26,20.7
2014.0,8.0,11.0,0.0,3.51,18.3
2014.0,8.0,12.0,6.0,2.15,16.7
2014.0,8.0,13.0,1.0,3.03,18.0
2014.0,8.0,14.0,3.0,2.16,16.05
2014.0,8.0,15.0,3.0,1.4,17.4
2014.0,8.0,16.0,1.0,3.4,21.5
2014.0,8.0,17.0,2.0,3.78,15.3
2014.0,8.0,18.0,1.0,2.1,11.15
2014.0,8.0,19.0,1.0,2.35,13.05
2014.0,8.0,20.0,1.0,1.55,17.3
2014.0,8.0,21.0,1.0,3.68,17.8
2014.0,8.0,22.0,1.0,5.07,15.4
2014.0,8.0,23.0,1.0,4.18,16.3
2014.0,8.0,24.0,1.0,3.75,17.5
2014.0,8.0,25.0,6.0,4.18,19.45
2014.0,8.0,26.0,6.0,6.24,16.6
2014.0,8.0,27.0,7.0,2.25,16.3
2014.0,8.0,28.0,3.0,2.66,15.4
2014.0,8.0,29.0,1.0,1.69,17.3
2014.0,8.0,30.0,1.0,2.29,17.0
2014.0,8.0,31.0,3.0,1.66,16.7
2014.0,9.0,1.0,6.0,3.77,18.6
2014.0,9.0,2.0,4.0,3.68,16.5
2014.0,9.0,3.0,4.0,3.62,17.55
2014.0,9.0,4.0,1.0,3.8,17.0
2014.0,9.0,5.0,6.0,5.92,16.8
2014.0,9.0,6.0,6.0,4.04,15.3
2014.0,9.0,7.0,4.0,4.04,17.0
2014.0,9.0,8.0,4.0,5.14,19.6
2014.0,9.0,9.0,4.0,3.02,18.3
2014.0,9.0,10.0,1.0,11.43,9.1
2014.0,9.0,11.0,0.0,3.71,8.0
2014.0,9.0,12.0,4.0,1.37,8.2
2014.0,9.0,13.0,4.0,2.69,7.1
2014.0,9.0,14.0,4.0,5.13,11.2
2014.0,9.0,15.0,4.0,3.78,10.9
2014.0,9.0,16.0,4.0,4.07,10.0
2014.0,9.0,17.0,4.0,4.5,11.9
2014.0,9.0,18.0,1.0,3.97,7.5
2014.0,9.0,19.0,4.0,4.09,14.35
2014.0,9.0,20.0,6.0,3.57,16.6
2014.0,9.0,21.0,1.0,4.28,12.3
2014.0,9.0,22.0,4.0,2.87,10.5
2014.0,9.0,23.0,4.0,2.18,15.7
2014.0,9.0,24.0,4.0,2.86,16.1
2014.0,9.0,25.0,1.0,2.46,15.5
2014.0,9.0,26.0,1.0,2.43,14.1
2014.0,9.0,27.0,1.0,1.4,15.1
2014.0,9.0,28.0,4.0,1.62,15.9
2014.0,9.0,29.0,1.0,8.24,13.2
2014.0,9.0,30.0,,,
2014.0,10.0,1.0,,,
2014.0,10.0,2.0,,,
