YY,MM,DD,WDIR,WSPD,ATMP
2012.0,10.0,30.0,1.0,6.59,2.15
2012.0,10.0,31.0,0.0,7.77,0.0
2013.0,6.0,1.0,0.0,5.43,5.45
2013.0,6.0,2.0,0.0,5.17,3.8
2013.0,6.0,3.0,6.0,6.19,4.2
2013.0,6.0,4.0,6.0,5.37,6.25
2013.0,6.0,5.0,2.0,4.52,5.7
2013.0,6.0,6.0,1.0,4.41,5.55
2013.0,6.0,7.0,6.0,5.77,9.35
2013.0,6.0,8.0,6.0,5.85,11.5
2013.0,6.0,9.0,2.0,4.25,6.25
2013.0,6.0,10.0,2.0,4.77,6.55
2013.0,6.0,11.0,6.0,4.02,6.55
2013.0,6.0,12.0,6.0,3.4,8.05
2013.0,6.0,13.0,0.0,4.42,8.35
2013.0,6.0,14.0,2.0,5.18,6.6
2013.0,6.0,15.0,2.0,4.2,5.35
2013.0,6.0,16.0,6.0,2.9,6.2
2013.0,6.0,17.0,1.0,4.38,7.3
2013.0,6.0,18.0,6.0,6.34,9.2
2013.0,6.0,19.0,4.0,4.77,7.55
2013.0,6.0,20.0,2.0,4.72,7.65
2013.0,6.0,21.0,2.0,7.18,5.75
2013.0,6.0,22.0,1.0,4.28,12.2
2013.0,6.0,23.0,2.0,4.69,6.5
2013.0,6.0,24.0,5.0,5.04,6.85
2013.0,6.0,25.0,5.0,4.2,10.6
2013.0,6.0,26.0,2.0,5.0,6.75
2013.0,6.0,27.0,6.0,4.6,9.2
2013.0,6.0,28.0,0.0,3.65,6.35
2013.0,6.0,29.0,0.0,5.38,13.55
2013.0,6.0,30.0,6.0,6.02,13.6
2013.0,7.0,1.0,1.0,6.69,11.95
2013.0,7.0,2.0,7.0,2.38,10.85
2013.0,7.0,3.0,2.0,3.28,7.25
2013.0,7.0,4.0,2.0,2.96,8.55
2013.0,7.0,5.0,5.0,5.23,13.0
2013.0,7.0,6.0,5.0,4.75,12.85
2013.0,7.0,7.0,1.0,6.28,9.7
2013.0,7.0,8.0,2.0,4.36,7.85
2013.0,7.0,9.0,1.0,3.3,7.1
2013.0,7.0,10.0,6.0,5.98,10.0
2013.0,7.0,11.0,4.0,4.41,10.65
2013.0,7.0,12.0,4.0,5.9,11.7
2013.0,7.0,13.0,4.0,4.44,11.7
2013.0,7.0,14.0,2.0,3.86,11.05
2013.0,7.0,15.0,5.0,3.69,11.9
2013.0,7.0,16.0,2.0,4.46,8.75
2013.0,7.0,17.0,6.0,5.31,16.6
2013.0,7.0,18.0,2.0,4.45,13.5
2013.0,7.0,19.0,6.0,8.3,14.15
2013.0,7.0,20.0,0.0,4.78,11.45
2013.0,7.0,21.0,6.0,5.16,11.0
2013.0,7.0,22.0,3.0,5.14,9.5
2013.0,7.0,23.0,0.0,7.74,11.9
2013.0,7.0,24.0,6.0,7.19,12.8
2013.0,7.0,25.0,4.0,5.65,10.6
2013.0,7.0,26.0,1.0,6.05,8.5
2013.0,7.0,27.0,0.0,3.04,7.65
2013.0,7.0,28.0,0.0,4.97,8.55
2013.0,7.0,29.0,6.0,6.13,10.7
2013.0,7.0,30.0,5.0,3.32,10.2
2013.0,7.0,31.0,5.0,5.95,11.15
2013.0,8.0,1.0,6.0,7.94,12.45
2013.0,8.0,2.0,6.0,7.9,12.1
2013.0,8.0,3.0,6.0,5.53,14.15
2013.0,8.0,4.0,6.0,6.25,12.7
2013.0,8.0,5.0,5.0,3.82,11.3
2013.0,8.0,6.0,5.0,2.5,11.75
2013.0,8.0,7.0,0.0,3.49,12.8
2013.0,8.0,8.0,6.0,6.37,12.9
2013.0,8.0,9.0,6.0,5.6,13.1
2013.0,8.0,10.0,6.0,7.04,14.25
2013.0,8.0,11.0,6.0,8.57,15.4
2013.0,8.0,12.0,6.0,4.13,13.75
2013.0,8.0,13.0,0.0,3.45,12.95
2013.0,8.0,14.0,6.0,8.8,13.3
2013.0,8.0,15.0,6.0,10.01,15.25
2013.0,8.0,16.0,6.0,4.32,15.4
2013.0,8.0,17.0,5.0,6.72,15.95
2013.0,8.0,18.0,5.0,8.29,15.4
2013.0,8.0,19.0,5.0,7.43,15.8
2013.0,8.0,20.0,5.0,6.82,16.45
2013.0,8.0,21.0,5.0,6.81,18.0
2013.0,8.0,22.0,6.0,5.48,16.25
2013.0,8.0,23.0,4.0,3.63,16.2
2013.0,8.0,24.0,4.0,4.98,16.5
2013.0,8.0,25.0,5.0,8.12,18.65
2013.0,8.0,26.0,7.0,4.41,18.8
2013.0,8.0,27.0,2.0,3.51,15.15
2013.0,8.0,28.0,2.0,3.17,17.6
2013.0,8.0,29.0,6.0,3.83,18.0
2013.0,8.0,30.0,0.0,4.76,17.45
2013.0,8.0,31.0,4.0,5.6,15.4
2013.0,9.0,1.0,0.0,5.95,15.05
2013.0,9.0,2.0,0.0,8.02,10.95
2013.0,9.0,3.0,6.0,6.92,14.3
2013.0,9.0,4.0,1.0,6.03,11.5
2013.0,9.0,5.0,5.0,3.99,12.7
2013.0,9.0,6.0,5.0,6.7,15.4
2013.0,9.0,7.0,1.0,3.38,16.25
2013.0,9.0,8.0,2.0,5.51,12.55
2013.0,9.0,9.0,3.0,3.72,13.7
2013.0,9.0,10.0,1.0,4.01,13.85
2013.0,9.0,11.0,6.0,3.91,14.1
2013.0,9.0,12.0,0.0,4.66,11.5
2013.0,9.0,13.0,1.0,3.52,10.3
2013.0,9.0,14.0,5.0,9.1,13.65
2013.0,9.0,15.0,1.0,6.79,10.85
2013.0,9.0,16.0,4.0,4.28,10.1
2013.0,9.0,17.0,4.0,7.6,12.3
2013.0,9.0,18.0,4.0,5.25,13.45
2013.0,9.0,19.0,2.0,5.0,13.75
2013.0,9.0,20.0,6.0,7.44,14.55
2013.0,9.0,21.0,7.0,8.79,8.75
2013.0,9.0,22.0,1.0,3.47,7.65
2013.0,9.0,23.0,3.0,8.63,10.85
2013.0,9.0,24.0,4.0,6.83,12.4
2013.0,9.0,25.0,2.0,3.17,11.9
2013.0,9.0,26.0,2.0,4.54,12.1
2013.0,9.0,27.0,3.0,7.45,14.1
2013.0,9.0,28.0,3.0,12.2,15.25
2013.0,9.0,29.0,5.0,10.06,11.95
2013.0,9.0,30.0,4.0,6.76,13.95
2013.0,10.0,1.0,4.0,8.6,14.6
2013.0,10.0,2.0,6.0,11.31,14.45
2013.0,10.0,3.0,6.0,4.65,13.15
2013.0,10.0,4.0,1.0,6.58,11.6
2013.0,10.0,5.0,2.0,12.5,8.3
2013.0,10.0,6.0,2.0,8.62,9.05
2013.0,10.0,7.0,7.0,8.83,8.85
2013.0,10.0,8.0,4.0,6.65,11.15
2013.0,10.0,9.0,5.0,8.59,13.75
2013.0,10.0,10.0,5.0,4.71,12.65
2013.0,10.0,11.0,3.0,7.3,11.85
2013.0,10.0,12.0,3.0,11.63,12.4
2013.0,10.0,13.0,6.0,11.26,10.25
2013.0,10.0,14.0,5.0,4.63,9.8
2013.0,10.0,15.0,2.0,7.31,9.0
2013.0,10.0,16.0,0.0,5.47,6.9
2013.0,10.0,17.0,6.0,4.8,8.1
2013.0,10.0,18.0,0.0,4.53,6.05
2013.0,10.0,19.0,4.0,4.88,6.0
2013.0,10.0,20.0,1.0,3.38,5.45
2013.0,10.0,21.0,7.0,7.87,4.2
2013.0,10.0,22.0,0.0,8.56,2.3
2013.0,10.0,23.0,7.0,9.63,1.85
2013.0,10.0,24.0,7.0,9.35,2.55
2013.0,10.0,25.0,7.0,9.14,3.85
2013.0,10.0,26.0,0.0,12.07,3.95
2013.0,10.0,27.0,7.0,6.96,3.3
2013.0,10.0,28.0,0.0,5.82,-0.8
2013.0,10.0,29.0,7.0,3.52,0.4
2013.0,10.0,30.0,5.0,5.66,4.3
2013.0,10.0,31.0,0.0,3.6,7.25
2014.0,6.0,1.0,1.0,3.56,5.9
2014.0,6.0,2.0,1.0,6.36,6.1
2014.0,6.0,3.0,6.0,7.74,6.05
2014.0,6.0,4.0,5.0,4.69,10.75
2014.0,6.0,5.0,2.0,5.15,8.75
2014.0,6.0,6.0,3.0,3.62,6.6
2014.0,6.0,7.0,0.0,4.02,5.8
2014.0,6.0,8.0,6.0,6.2,6.1
2014.0,6.0,9.0,2.0,3.38,6.15
2014.0,6.0,10.0,2.0,3.54,4.8
2014.0,6.0,11.0,2.0,4.18,5.7
2014.0,6.0,12.0,2.0,5.88,6.8
2014.0,6.0,13.0,0.0,6.83,5.85
2014.0,6.0,14.0,2.0,3.6,5.85
2014.0,6.0,15.0,2.0,10.98,5.0
2014.0,6.0,16.0,5.0,7.47,7.6
2014.0,6.0,17.0,0.0,3.57,9.55
2014.0,6.0,18.0,1.0,6.44,12.5
2014.0,6.0,19.0,2.0,7.32,6.6
2014.0,6.0,20.0,2.0,6.26,6.5
2014.0,6.0,21.0,2.0,6.54,5.6
2014.0,6.0,22.0,2.0,3.78,5.8
2014.0,6.0,23.0,2.0,3.63,6.0
2014.0,6.0,24.0,1.0,6.04,6.65
2014.0,6.0,25.0,1.0,5.54,9.6
2014.0,6.0,26.0,2.0,3.49,8.1
2014.0,6.0,27.0,2.0,5.05,6.2
2014.0,6.0,28.0,3.0,6.45,9.6
2014.0,6.0,29.0,3.0,7.29,10.55
2014.0,6.0,30.0,5.0,10.51,11.6
2014.0,7.0,1.0,5.0,9.39,10.05
2014.0,7.0,2.0,7.0,7.17,8.95
2014.0,7.0,3.0,7.0,4.76,10.95
2014.0,7.0,4.0,6.0,6.45,10.7
2014.0,7.0,5.0,5.0,7.29,11.3
2014.0,7.0,6.0,4.0,6.07,9.7
2014.0,7.0,7.0,6.0,9.88,11.5
2014.0,7.0,8.0,0.0,5.16,8.3
2014.0,7.0,9.0,6.0,7.11,8.05
2014.0,7.0,10.0,4.0,3.35,8.6
2014.0,7.0,11.0,4.0,5.38,10.3
2014.0,7.0,12.0,5.0,7.35,12.55
2014.0,7.0,13.0,6.0,8.58,9.85
2014.0,7.0,14.0,6.0,6.35,9.2
2014.0,7.0,15.0,0.0,4.16,8.15
2014.0,7.0,16.0,6.0,6.53,10.85
2014.0,7.0,17.0,5.0,4.35,9.55
2014.0,7.0,18.0,5.0,4.62,10.0
2014.0,7.0,19.0,4.0,6.51,12.65
2014.0,7.0,20.0,5.0,4.78,10.4
2014.0,7.0,21.0,5.0,6.63,12.8
2014.0,7.0,22.0,2.0,7.5,11.8
2014.0,7.0,23.0,6.0,4.91,11.9
2014.0,7.0,24.0,6.0,9.08,12.75
2014.0,7.0,25.0,6.0,3.58,10.75
2014.0,7.0,26.0,2.0,3.11,8.95
2014.0,7.0,27.0,1.0,5.26,11.2
2014.0,7.0,28.0,6.0,5.78,12.25
2014.0,7.0,29.0,6.0,5.92,12.45
2014.0,7.0,30.0,6.0,6.14,12.0
2014.0,7.0,31.0,6.0,6.97,12.4
2014.0,8.0,1.0,0.0,2.95,12.6
2014.0,8.0,2.0,4.0,3.02,12.1
2014.0,8.0,3.0,0.0,2.77,10.85
2014.0,8.0,4.0,2.0,3.68,13.4
2014.0,8.0,5.0,4.0,3.06,13.45
2014.0,8.0,6.0,6.0,3.76,15.5
2014.0,8.0,7.0,6.0,3.74,15.8
2014.0,8.0,8.0,2.0,3.12,13.65
2014.0,8.0,9.0,4.0,3.11,15.65
2014.0,8.0,10.0,2.0,2.84,15.6
2014.0,8.0,11.0,0.0,3.8,15.15
2014.0,8.0,12.0,0.0,4.24,12.45
2014.0,8.0,13.0,0.0,5.11,13.3
2014.0,8.0,14.0,0.0,3.94,12.4
2014.0,8.0,15.0,6.0,7.08,14.5
2014.0,8.0,16.0,0.0,4.7,14.2
2014.0,8.0,17.0,1.0,3.3,11.2
2014.0,8.0,18.0,2.0,4.88,10.7
2014.0,8.0,19.0,1.0,4.53,10.8
2014.0,8.0,20.0,0.0,2.35,14.35
2014.0,8.0,21.0,1.0,3.08,14.4
2014.0,8.0,22.0,1.0,3.99,12.0
2014.0,8.0,23.0,1.0,3.23,14.55
2014.0,8.0,24.0,2.0,7.49,13.5
2014.0,8.0,25.0,4.0,7.88,14.6
2014.0,8.0,26.0,6.0,10.16,13.75
2014.0,8.0,27.0,7.0,5.94,13.75
2014.0,8.0,28.0,6.0,4.71,13.95
2014.0,8.0,29.0,3.0,6.79,13.8
2014.0,8.0,30.0,0.0,2.57,13.45
2014.0,8.0,31.0,2.0,4.48,13.15
2014.0,9.0,1.0,3.0,9.12,14.75
2014.0,9.0,2.0,6.0,7.22,15.6
2014.0,9.0,3.0,5.0,6.04,15.4
2014.0,9.0,4.0,2.0,3.58,14.3
2014.0,9.0,5.0,6.0,7.41,15.95
2014.0,9.0,6.0,6.0,7.61,14.7
2014.0,9.0,7.0,2.0,5.61,11.75
2014.0,9.0,8.0,5.0,6.63,15.05
2014.0,9.0,9.0,5.0,5.99,15.1
2014.0,9.0,10.0,1.0,9.95,6.15
2014.0,9.0,11.0,0.0,4.46,6.05
2014.0,9.0,12.0,0.0,2.97,7.2
2014.0,9.0,13.0,5.0,4.84,7.65
2014.0,9.0,14.0,4.0,7.62,8.2
2014.0,9.0,15.0,6.0,7.27,9.35
2014.0,9.0,16.0,6.0,9.15,10.5
2014.0,9.0,17.0,1.0,6.93,5.85
2014.0,9.0,18.0,3.0,4.33,6.1
2014.0,9.0,19.0,4.0,8.64,8.75
2014.0,9.0,20.0,6.0,6.1,11.65
2014.0,9.0,21.0,0.0,4.91,8.85
2014.0,9.0,22.0,6.0,7.45,9.45
2014.0,9.0,23.0,6.0,7.06,12.8
2014.0,9.0,24.0,4.0,5.02,10.95
2014.0,9.0,25.0,4.0,3.35,11.7
2014.0,9.0,26.0,3.0,2.83,11.45
2014.0,9.0,27.0,5.0,4.92,11.95
2014.0,9.0,28.0,5.0,5.49,13.35
2014.0,9.0,29.0,1.0,7.38,5.7
2014.0,9.0,30.0,1.0,4.4,6.45
2014.0,10.0,1.0,3.0,5.7,7.9
2014.0,10.0,2.0,4.0,4.02,9.4
2014.0,10.0,3.0,7.0,6.63,9.85
2014.0,10.0,4.0,0.0,8.46,4.95
2014.0,10.0,5.0,6.0,11.73,5.5
2014.0,10.0,6.0,5.0,9.24,6.75
2014.0,10.0,7.0,6.0,5.5,6.1
2014.0,10.0,8.0,7.0,11.88,4.65
2014.0,10.0,9.0,7.0,12.2,6.4
2014.0,10.0,10.0,7.0,7.39,6.5
2014.0,10.0,11.0,5.0,5.58,6.25
2014.0,10.0,12.0,5.0,7.92,8.15
2014.0,10.0,13.0,4.0,4.73,8.75
2014.0,10.0,14.0,0.0,2.72,8.45
2014.0,10.0,15.0,0.0,4.2,9.1
2014.0,10.0,16.0,2.0,3.38,6.95
2014.0,10.0,17.0,0.0,5.27,6.75
2014.0,10.0,18.0,0.0,6.0,3.6
2014.0,10.0,19.0,4.0,6.31,4.7
2014.0,10.0,20.0,0.0,5.77,7.0
2014.0,10.0,21.0,1.0,4.64,3.4
2014.0,10.0,22.0,4.0,7.72,5.7
2014.0,10.0,23.0,4.0,7.85,7.25
2014.0,10.0,24.0,5.0,5.97,7.5
2014.0,10.0,25.0,6.0,12.02,10.45
2014.0,10.0,26.0,7.0,7.74,5.75
2014.0,10.0,27.0,3.0,8.93,5.7
2014.0,10.0,28.0,2.0,6.39,5.65
2014.0,10.0,29.0,7.0,8.05,3.6
2014.0,10.0,30.0,0.0,1.38,3.5
2014.0,10.0,31.0,0.0,7.77,-0.25
2015.0,6.0,1.0,2.0,2.64,3.8
2015.0,6.0,2.0,3.0,4.75,5.35
2015.0,6.0,3.0,3.0,4.03,6.8
2015.0,6.0,4.0,1.0,4.57,5.25
2015.0,6.0,5.0,1.0,4.71,6.7
2015.0,6.0,6.0,3.0,4.81,4.35
2015.0,6.0,7.0,3.0,5.5,5.65
2015.0,6.0,8.0,6.0,5.1,8.4
2015.0,6.0,9.0,6.0,5.17,7.4
2015.0,6.0,10.0,6.0,7.75,7.8
2015.0,6.0,11.0,7.0,3.02,9.8
2015.0,6.0,12.0,2.0,3.24,4.95
2015.0,6.0,13.0,2.0,3.88,6.55
2015.0,6.0,14.0,1.0,3.87,5.9
2015.0,6.0,15.0,5.0,4.42,6.25
2015.0,6.0,16.0,6.0,6.42,8.5
2015.0,6.0,17.0,4.0,4.84,7.5
2015.0,6.0,18.0,4.0,4.82,6.45
2015.0,6.0,19.0,6.0,5.33,7.6
2015.0,6.0,20.0,1.0,5.19,5.2
2015.0,6.0,21.0,6.0,4.4,6.8
2015.0,6.0,22.0,2.0,4.5,4.9
2015.0,6.0,23.0,7.0,7.74,8.85
2015.0,6.0,24.0,2.0,5.26,8.25
2015.0,6.0,25.0,2.0,2.93,4.2
2015.0,6.0,26.0,4.0,3.5,5.4
2015.0,6.0,27.0,3.0,3.42,7.35
2015.0,6.0,28.0,4.0,3.86,6.95
2015.0,6.0,29.0,4.0,2.97,8.15
2015.0,6.0,30.0,0.0,3.69,7.9
2015.0,7.0,1.0,5.0,3.71,8.65
