#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 03 02 00 306  7.2  7.8 99.00 99.00 99.00 999 9999.0 -19.3 999.0 999.0 99.0 99.00
2014 01 03 03 00 308  7.2  8.2 99.00 99.00 99.00 999 9999.0 -19.7 999.0 999.0 99.0 99.00
2014 01 03 04 00 293  5.4  6.5 99.00 99.00 99.00 999 9999.0 -19.3 999.0 999.0 99.0 99.00
2014 01 03 05 00 303  5.9  6.7 99.00 99.00 99.00 999 9999.0 -19.5 999.0 999.0 99.0 99.00
2014 01 03 06 00 318  5.7  6.6 99.00 99.00 99.00 999 9999.0 -19.2 999.0 999.0 99.0 99.00
2014 01 03 07 00 304  3.0  4.1 99.00 99.00 99.00 999 9999.0 -19.1 999.0 999.0 99.0 99.00
2014 01 03 08 00 293  4.5  5.3 99.00 99.00 99.00 999 9999.0 -18.6 999.0 999.0 99.0 99.00
2014 01 03 09 00 315  1.8  2.2 99.00 99.00 99.00 999 9999.0 -18.2 999.0 999.0 99.0 99.00
2014 01 03 10 00  27  0.7  1.2 99.00 99.00 99.00 999 9999.0 -18.3 999.0 999.0 99.0 99.00
2014 01 03 11 00   4  0.8  1.8 99.00 99.00 99.00 999 9999.0 -17.2 999.0 999.0 99.0 99.00
2014 01 03 12 00  89  1.4  2.6 99.00 99.00 99.00 999 9999.0 -15.8 999.0 999.0 99.0 99.00
2014 01 03 13 00 187  2.3  2.8 99.00 99.00 99.00 999 9999.0 -12.8 999.0 999.0 99.0 99.00
2014 01 03 14 00 253  7.9  9.2 99.00 99.00 99.00 999 9999.0 -12.3 999.0 999.0 99.0 99.00
2014 01 03 15 00 233  6.8  7.8 99.00 99.00 99.00 999 9999.0 -11.2 999.0 999.0 99.0 99.00
2014 01 03 16 00 197 11.5 13.6 99.00 99.00 99.00 999 9999.0  -9.9 999.0 999.0 99.0 99.00
2014 01 03 17 00 199 12.5 14.1 99.00 99.00 99.00 999 9999.0 -10.1 999.0 999.0 99.0 99.00
2014 01 03 18 00 192 14.1 15.9 99.00 99.00 99.00 999 9999.0  -9.6 999.0 999.0 99.0 99.00
2014 01 03 19 00 191 15.6 17.7 99.00 99.00 99.00 999 9999.0  -9.5 999.0 999.0 99.0 99.00
2014 01 03 20 00 172 16.7 18.5 99.00 99.00 99.00 999 9999.0  -9.0 999.0 999.0 99.0 99.00
2014 01 03 21 00 177 15.8 17.2 99.00 99.00 99.00 999 9999.0  -8.1 999.0 999.0 99.0 99.00
2014 01 03 22 00 188 17.0 18.5 99.00 99.00 99.00 999 9999.0  -7.5 999.0 999.0 99.0 99.00
