#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 10 01 00 00  67  3.9  4.4 99.00 99.00 99.00 999 1023.8  14.3 999.0 999.0 99.0 99.00
2023 10 01 01 00  78  3.2  3.4 99.00 99.00 99.00 999 1024.4  14.5 999.0 999.0 99.0 99.00
2023 10 01 02 00  89  5.9  6.7 99.00 99.00 99.00 999 1025.0  14.6 999.0 999.0 99.0 99.00
2023 10 01 03 00  90  4.4  4.8 99.00 99.00 99.00 999 1025.1  14.3 999.0 999.0 99.0 99.00
2023 10 01 04 00  74  4.4  4.6 99.00 99.00 99.00 999 1025.1  14.4 999.0 999.0 99.0 99.00
2023 10 01 05 00  51  3.6  4.3 99.00 99.00 99.00 999 1025.3  14.6 999.0 999.0 99.0 99.00
2023 10 01 06 00  71  4.4  4.9 99.00 99.00 99.00 999 1025.5  14.8 999.0 999.0 99.0 99.00
2023 10 01 07 00  74  4.4  4.9 99.00 99.00 99.00 999 1025.3  15.0 999.0 999.0 99.0 99.00
2023 10 01 08 00  77  5.2  5.6 99.00 99.00 99.00 999 1025.4  15.0 999.0 999.0 99.0 99.00
2023 10 01 09 00  77  5.4  5.9 99.00 99.00 99.00 999 1025.1  15.0 999.0 999.0 99.0 99.00
2023 10 01 10 00  77  6.2  6.6 99.00 99.00 99.00 999 1025.0  15.0 999.0 999.0 99.0 99.00
2023 10 01 11 00  83  5.0  5.6 99.00 99.00 99.00 999 1025.3  15.1 999.0 999.0 99.0 99.00
2023 10 01 12 00  88  6.3  6.7 99.00 99.00 99.00 999 1025.1  14.8 999.0 999.0 99.0 99.00
2023 10 01 13 00  99  4.3  4.6 99.00 99.00 99.00 999 1025.5  14.7 999.0 999.0 99.0 99.00
2023 10 01 14 00  99  5.2  5.5 99.00 99.00 99.00 999 1024.9  15.1 999.0 999.0 99.0 99.00
2023 10 01 15 00 108  5.6  6.0 99.00 99.00 99.00 999 1024.9  15.1 999.0 999.0 99.0 99.00
2023 10 01 16 00  93  4.6  5.2 99.00 99.00 99.00 999 1024.8  15.2 999.0 999.0 99.0 99.00
2023 10 01 17 00  82  4.7  5.0 99.00 99.00 99.00 999 1024.7  15.5 999.0 999.0 99.0 99.00
2023 10 01 18 00  84  6.4  6.8 99.00 99.00 99.00 999 1023.9  15.2 999.0 999.0 99.0 99.00
2023 10 01 19 00  96  6.3  7.4 99.00 99.00 99.00 999 1023.0  15.3 999.0 999.0 99.0 99.00
2023 10 01 20 00  86  6.2  6.7 99.00 99.00 99.00 999 1022.3  15.4 999.0 999.0 99.0 99.00
2023 10 01 21 00 106  7.5  8.0 99.00 99.00 99.00 999 1021.4  14.7 999.0 999.0 99.0 99.00
2023 10 01 22 00 105  5.3  5.8 99.00 99.00 99.00 999 1020.7  15.0 999.0 999.0 99.0 99.00
2023 10 01 23 00  96  6.6  7.0 99.00 99.00 99.00 999 1019.2  15.0 999.0 999.0 99.0 99.00
2023 10 02 00 00  91  5.1  5.6 99.00 99.00 99.00 999 1019.5  15.3 999.0 999.0 99.0 99.00
2023 10 02 01 00  58  4.1  4.7 99.00 99.00 99.00 999 1019.9  15.6 999.0 999.0 99.0 99.00
2023 10 02 02 00  56  5.5  6.0 99.00 99.00 99.00 999 1019.9  15.4 999.0 999.0 99.0 99.00
2023 10 02 03 00  78  6.6  7.0 99.00 99.00 99.00 999 1018.9  15.5 999.0 999.0 99.0 99.00
2023 10 02 04 00  75  6.0  6.4 99.00 99.00 99.00 999 1019.3  15.4 999.0 999.0 99.0 99.00
2023 10 02 05 00  74  7.9  8.6 99.00 99.00 99.00 999 1019.3  15.5 999.0 999.0 99.0 99.00
2023 10 02 06 00 112  5.9  6.7 99.00 99.00 99.00 999 1018.9  15.8 999.0 999.0 99.0 99.00
2023 10 02 07 00 136  5.7  6.2 99.00 99.00 99.00 999 1018.5  16.1 999.0 999.0 99.0 99.00
2023 10 02 08 00 183  5.1  5.4 99.00 99.00 99.00 999 1018.1  16.0 999.0 999.0 99.0 99.00
2023 10 02 09 00 201  5.6  6.0 99.00 99.00 99.00 999 1018.0  16.0 999.0 999.0 99.0 99.00
2023 10 02 10 00 207  6.0  6.6 99.00 99.00 99.00 999 1017.9  16.3 999.0 999.0 99.0 99.00
2023 10 02 11 00 212  6.6  6.8 99.00 99.00 99.00 999 1017.9  16.2 999.0 999.0 99.0 99.00
2023 10 02 12 00 215  7.4  7.9 99.00 99.00 99.00 999 1017.8  15.9 999.0 999.0 99.0 99.00
2023 10 02 13 00 219  7.1  7.3 99.00 99.00 99.00 999 1017.6  17.1 999.0 999.0 99.0 99.00
2023 10 02 14 00 215  9.8 11.0 99.00 99.00 99.00 999 1017.6  16.6 999.0 999.0 99.0 99.00
2023 10 02 15 00 215  9.4 10.0 99.00 99.00 99.00 999 1017.3  16.8 999.0 999.0 99.0 99.00
2023 10 02 16 00 218  9.6 10.3 99.00 99.00 99.00 999 1017.2  17.1 999.0 999.0 99.0 99.00
2023 10 02 17 00 225  8.1  8.6 99.00 99.00 99.00 999 1017.0  17.1 999.0 999.0 99.0 99.00
2023 10 02 18 00 213 10.1 10.7 99.00 99.00 99.00 999 1016.5  17.8 999.0 999.0 99.0 99.00
2023 10 02 19 00 232  7.7  8.9 99.00 99.00 99.00 999 1016.2  18.2 999.0 999.0 99.0 99.00
2023 10 02 20 00 211  9.8 10.5 99.00 99.00 99.00 999 1015.6  19.3 999.0 999.0 99.0 99.00
2023 10 02 21 00 223  9.0  9.6 99.00 99.00 99.00 999 1015.3  20.7 999.0 999.0 99.0 99.00
2023 10 02 22 00 221  6.2  6.8 99.00 99.00 99.00 999 1015.5  20.2 999.0 999.0 99.0 99.00
2023 10 02 23 00 215  6.9  7.4 99.00 99.00 99.00 999 1015.7  19.6 999.0 999.0 99.0 99.00
2023 10 03 00 00 190  7.2  7.5 99.00 99.00 99.00 999 1015.2  18.1 999.0 999.0 99.0 99.00
2023 10 03 01 00 197  5.0  5.5 99.00 99.00 99.00 999 1015.8  18.2 999.0 999.0 99.0 99.00
2023 10 03 02 00 174  4.5  4.8 99.00 99.00 99.00 999 1015.5  18.8 999.0 999.0 99.0 99.00
2023 10 03 03 00 168  3.9  4.2 99.00 99.00 99.00 999 1015.6  17.7 999.0 999.0 99.0 99.00
2023 10 03 04 00 230  5.7  6.0 99.00 99.00 99.00 999 1015.7  21.2 999.0 999.0 99.0 99.00
2023 10 03 05 00 351  0.1  0.4 99.00 99.00 99.00 999 1015.8  19.5 999.0 999.0 99.0 99.00
2023 10 03 06 00 213  5.0  5.4 99.00 99.00 99.00 999 1015.6  19.1 999.0 999.0 99.0 99.00
