#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00 145  8.0  9.0 99.00 99.00 99.00 999 1008.1   1.2 999.0 999.0 99.0 99.00
2012 01 01 01 00 133  8.4 10.1 99.00 99.00 99.00 999 1007.7   1.6 999.0 999.0 99.0 99.00
2012 01 01 02 00 152  8.4  9.3 99.00 99.00 99.00 999 1007.2   2.0 999.0 999.0 99.0 99.00
2012 01 01 03 00 159  9.5 10.6 99.00 99.00 99.00 999 1006.4   2.1 999.0 999.0 99.0 99.00
2012 01 01 04 00 201  8.6  9.5 99.00 99.00 99.00 999 1005.7   2.4 999.0 999.0 99.0 99.00
2012 01 01 05 00 240  7.2  8.5 99.00 99.00 99.00 999 1005.1   2.0 999.0 999.0 99.0 99.00
2012 01 01 06 00 245  6.6  7.5 99.00 99.00 99.00 999 1004.9   0.4 999.0 999.0 99.0 99.00
2012 01 01 07 00 272  4.7  5.7 99.00 99.00 99.00 999 1003.9   0.1 999.0 999.0 99.0 99.00
2012 01 01 08 00 298  3.4  3.7 99.00 99.00 99.00 999 1003.3   0.0 999.0 999.0 99.0 99.00
2012 01 01 09 00 318  7.7  8.2 99.00 99.00 99.00 999 1002.6   0.0 999.0 999.0 99.0 99.00
2012 01 01 10 00 306  8.2  8.9 99.00 99.00 99.00 999 1002.3  -0.2 999.0 999.0 99.0 99.00
2012 01 01 11 00 304 10.0 11.6 99.00 99.00 99.00 999 1002.1  -0.5 999.0 999.0 99.0 99.00
2012 01 01 12 00 326 11.6 12.8 99.00 99.00 99.00 999 1001.8  -0.6 999.0 999.0 99.0 99.00
2012 01 01 13 00 314 13.6 15.4 99.00 99.00 99.00 999 1001.7  -0.7 999.0 999.0 99.0 99.00
2012 01 01 14 00 318 14.2 15.3 99.00 99.00 99.00 999 1002.0  -0.9 999.0 999.0 99.0 99.00
2012 01 01 15 00 329 14.2 16.8 99.00 99.00 99.00 999 1002.5  -1.0 999.0 999.0 99.0 99.00
2012 01 01 16 00 296 12.9 14.1 99.00 99.00 99.00 999 1003.0  -1.2 999.0 999.0 99.0 99.00
2012 01 01 17 00 301 15.7 17.8 99.00 99.00 99.00 999 1002.7  -1.8 999.0 999.0 99.0 99.00
2012 01 01 18 00 308 16.7 18.3 99.00 99.00 99.00 999 1002.4  -2.2 999.0 999.0 99.0 99.00
2012 01 01 19 00 316 14.8 16.5 99.00 99.00 99.00 999 1002.9  -2.7 999.0 999.0 99.0 99.00
2012 01 01 20 00 315 15.4 16.7 99.00 99.00 99.00 999 1003.4  -2.5 999.0 999.0 99.0 99.00
2012 01 01 21 00 317 14.9 16.6 99.00 99.00 99.00 999 1004.7  -2.5 999.0 999.0 99.0 99.00
