#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 00 302  9.9 10.9 99.00 99.00 99.00 999 1034.4 -20.6 999.0 999.0 99.0 99.00
2018 01 01 01 00 324  8.0  9.5 99.00 99.00 99.00 999 1034.4 -20.1 999.0 999.0 99.0 99.00
2018 01 01 02 00 312  8.5 11.0 99.00 99.00 99.00 999 1034.5 -20.1 999.0 999.0 99.0 99.00
2018 01 01 03 00 332  9.8 11.4 99.00 99.00 99.00 999 1034.6 -20.0 999.0 999.0 99.0 99.00
2018 01 01 04 00 329 10.6 12.6 99.00 99.00 99.00 999 1035.1 -21.4 999.0 999.0 99.0 99.00
2018 01 01 05 00 338 11.1 14.7 99.00 99.00 99.00 999 1035.4 -21.3 999.0 999.0 99.0 99.00
2018 01 01 06 00 334 10.2 13.0 99.00 99.00 99.00 999 1035.8 -21.3 999.0 999.0 99.0 99.00
2018 01 01 07 00 345  8.4 10.5 99.00 99.00 99.00 999 1036.1 -21.3 999.0 999.0 99.0 99.00
2018 01 01 08 00 328  9.2 12.0 99.00 99.00 99.00 999 1036.3 -21.1 999.0 999.0 99.0 99.00
2018 01 01 09 00 330  9.3 11.4 99.00 99.00 99.00 999 1036.6 -20.8 999.0 999.0 99.0 99.00
2018 01 01 10 00 338  7.4  8.6 99.00 99.00 99.00 999 1036.4 -20.5 999.0 999.0 99.0 99.00
2018 01 01 11 00 328  5.9  7.0 99.00 99.00 99.00 999 1036.6 -20.7 999.0 999.0 99.0 99.00
2018 01 01 12 00 306  5.5  6.7 99.00 99.00 99.00 999 1036.3 -19.9 999.0 999.0 99.0 99.00
2018 01 01 13 00 297  8.0  9.8 99.00 99.00 99.00 999 1035.9 -19.4 999.0 999.0 99.0 99.00
2018 01 01 14 00 297  6.3  8.6 99.00 99.00 99.00 999 1035.6 -18.6 999.0 999.0 99.0 99.00
2018 01 01 15 00 305  7.8  8.8 99.00 99.00 99.00 999 1035.1 -17.9 999.0 999.0 99.0 99.00
2018 01 01 16 00 291  7.2  8.0 99.00 99.00 99.00 999 1035.0 -17.7 999.0 999.0 99.0 99.00
2018 01 01 17 00 304  7.7  9.5 99.00 99.00 99.00 999 1034.6 -16.0 999.0 999.0 99.0 99.00
2018 01 01 18 00 291  9.2 10.6 99.00 99.00 99.00 999 1033.4 -14.5 999.0 999.0 99.0 99.00
2018 01 01 19 00 290  8.6 10.6 99.00 99.00 99.00 999 1033.1 -13.6 999.0 999.0 99.0 99.00
2018 01 01 20 00 281 11.1 12.6 99.00 99.00 99.00 999 1032.5 -12.4 999.0 999.0 99.0 99.00
2018 01 01 21 00 272 12.4 13.6 99.00 99.00 99.00 999 1032.5 -11.8 999.0 999.0 99.0 99.00
2018 01 01 22 00 285 13.2 14.7 99.00 99.00 99.00 999 1032.1 -11.2 999.0 999.0 99.0 99.00
2018 01 01 23 00 283 15.4 16.6 99.00 99.00 99.00 999 1031.4 -10.5 999.0 999.0 99.0 99.00
2018 01 02 00 00 285 12.3 14.0 99.00 99.00 99.00 999 1031.7 -10.4 999.0 999.0 99.0 99.00
2018 01 02 01 00 284 15.9 18.5 99.00 99.00 99.00 999 1030.2 -11.1 999.0 999.0 99.0 99.00
2018 01 02 02 00 285 15.1 16.7 99.00 99.00 99.00 999 1029.8 -11.2 999.0 999.0 99.0 99.00
2018 01 02 03 00 288 15.7 18.0 99.00 99.00 99.00 999 1029.4 -11.5 999.0 999.0 99.0 99.00
2018 01 02 04 00 282 15.9 18.5 99.00 99.00 99.00 999 1028.6 -11.8 999.0 999.0 99.0 99.00
2018 01 02 05 00 285 16.2 18.9 99.00 99.00 99.00 999 1027.2 -11.4 999.0 999.0 99.0 99.00
2018 01 02 06 00 281 18.2 21.1 99.00 99.00 99.00 999 1025.8 -10.9 999.0 999.0 99.0 99.00
2018 01 02 07 00 275 17.3 19.3 99.00 99.00 99.00 999 1024.7 -10.1 999.0 999.0 99.0 99.00
2018 01 02 08 00 280 21.5 23.5 99.00 99.00 99.00 999 1023.4  -9.9 999.0 999.0 99.0 99.00
2018 01 02 09 00 270 20.0 23.2 99.00 99.00 99.00 999 1022.8  -9.9 999.0 999.0 99.0 99.00
2018 01 02 10 00 280 22.6 25.4 99.00 99.00 99.00 999 1020.3  -9.3 999.0 999.0 99.0 99.00
