YY,MM,DD,WTMP
2012,6,1,12.51
2012,6,2,12.54
2012,6,3,12.33
2012,6,4,12.18
2012,6,5,12.0
2012,6,6,11.89
2012,6,7,11.74
2012,6,8,11.56
2012,6,9,11.39
2012,6,10,11.29
2012,6,11,11.25
2012,6,12,11.17
2012,6,13,11.15
2012,6,14,11.26
2012,6,15,11.06
2012,6,16,11.83
2012,6,17,12.82
2012,6,18,13.1
2012,6,19,13.84
2012,6,20,15.14
2012,6,21,16.08
2012,6,22,16.3
2012,6,23,16.56
2012,6,24,17.01
2012,6,25,17.43
2012,6,26,18.19
2012,6,27,18.41
2012,6,28,18.67
2012,6,29,19.06
2012,6,30,20.27
2012,7,1,20.9
2012,7,2,20.94
2012,7,3,20.97
2012,7,4,21.02
2012,7,5,20.88
2012,7,6,20.69
2012,7,7,20.67
2012,7,8,21.59
2012,7,9,22.43
2012,7,10,22.8
2012,7,11,22.81
2012,7,12,22.49
2012,7,13,22.13
2012,7,14,21.62
2012,7,15,21.39
2012,7,16,21.56
2012,7,17,21.27
2012,7,18,21.12
2012,7,19,20.91
2012,7,20,21.03
2012,7,21,21.4
2012,7,22,21.88
2012,7,23,22.25
2012,7,24,22.31
2012,7,25,21.99
2012,7,26,21.78
2012,7,27,22.07
2012,7,28,22.4
2012,7,29,22.73
2012,7,30,22.77
2012,7,31,22.66
2012,8,1,22.62
2012,8,2,22.46
2012,8,3,22.3
2012,8,4,22.04
2012,8,5,21.79
2012,8,6,21.61
2012,8,7,21.95
2012,8,8,21.76
2012,8,9,20.93
2012,8,10,20.35
2012,8,11,20.28
2012,8,12,20.21
2012,8,13,20.02
2012,8,14,19.91
2012,8,15,19.85
2012,8,16,19.53
2012,8,17,19.16
2012,8,18,19.09
2012,8,19,19.13
2012,8,20,19.06
2012,8,21,18.91
2012,8,22,18.47
2012,8,23,18.65
2012,8,24,18.86
2012,8,25,19.14
2012,8,26,19.41
2012,8,27,19.73
2012,8,28,20.09
2012,8,29,20.21
2012,8,30,20.29
2012,8,31,20.44
2012,9,1,20.45
2012,9,2,20.4
2012,9,3,20.41
2012,9,4,20.46
2012,9,5,20.2
2012,9,6,19.85
2012,9,7,19.5
2012,9,8,18.99
2012,9,9,18.58
2012,9,10,18.28
2012,9,11,18.17
2012,9,12,17.94
2012,9,13,17.13
2012,9,14,16.02
2012,9,15,15.19
2012,9,16,14.86
2012,9,17,14.95
2012,9,18,15.01
2012,9,19,14.67
2012,9,20,14.3
2012,9,21,13.69
2012,9,22,13.16
2012,9,23,12.91
2012,9,24,13.08
2012,9,25,13.17
2012,9,26,12.55
2012,9,27,11.95
2012,9,28,11.53
2012,9,29,11.68
2012,9,30,11.74
2012,10,1,11.7
2012,10,2,11.65
2012,10,3,11.61
2012,10,4,11.6
2012,10,5,11.51
2012,10,6,11.29
2012,10,7,10.94
2012,10,8,10.43
2012,10,9,9.7
2012,10,10,8.63
2012,10,11,7.79
2012,10,12,7.45
2012,10,13,7.22
2012,10,14,6.89
2012,10,15,6.87
2012,10,16,7.2
2012,10,17,7.53
2012,10,18,7.65
2012,10,19,7.77
2012,10,20,7.57
2012,10,21,7.4
2012,10,22,7.33
2012,10,23,7.27
2012,10,24,7.09
2012,10,25,6.92
2012,10,26,6.85
2012,10,27,6.77
2012,10,28,6.66
2012,10,29,6.59
2012,10,30,6.57
2012,10,31,6.54
2013,6,1,5.28
2013,6,2,6.01
2013,6,3,5.9
2013,6,4,5.73
