YY,MM,DD,WTMP
2013,9,9,19.6
2013,9,10,19.37
2013,9,11,19.37
2013,9,12,19.12
2013,9,13,18.86
2013,9,14,18.43
2013,9,15,17.74
2013,9,16,17.27
2013,9,17,17.03
2013,9,18,16.94
2013,9,19,16.73
2013,9,20,16.37
2013,9,21,16.04
2013,9,22,15.8
2013,9,23,15.76
2013,9,24,15.84
2013,9,25,15.91
2013,9,26,15.97
2013,9,27,15.8
2013,9,28,15.59
2013,9,29,15.44
2013,9,30,15.13
2013,10,1,14.87
2013,10,2,14.71
2013,10,3,14.57
2013,10,4,14.19
2013,10,5,13.62
2013,10,6,13.11
2013,10,7,12.9
2013,10,8,12.9
2013,10,9,12.98
2013,10,10,12.88
2013,10,11,13.03
2013,10,12,13.14
2013,10,13,12.77
2013,10,14,12.44
2013,10,15,12.3
2013,10,16,12.07
2013,10,17,11.81
2013,10,18,11.59
2013,10,19,11.23
2013,10,20,10.95
2013,10,21,10.73
2013,10,22,10.4
2013,10,23,10.03
2013,10,24,9.91
2013,10,25,9.71
2013,10,26,9.59
2013,10,27,9.48
2013,10,28,9.08
2013,10,29,8.76
2013,10,30,8.74
2013,10,31,8.61
2014,6,1,9.56
2014,6,2,8.96
2014,6,3,8.7
2014,6,4,9.27
2014,6,5,10.08
2014,6,6,11.24
2014,6,7,12.04
2014,6,8,12.23
2014,6,9,11.97
2014,6,10,11.59
2014,6,11,11.77
2014,6,12,12.25
2014,6,13,12.66
2014,6,14,12.58
2014,6,15,12.11
2014,6,16,11.8
2014,6,17,11.81
2014,6,18,11.75
2014,6,19,11.78
2014,6,20,12.21
2014,6,21,12.78
2014,6,22,12.77
2014,6,23,12.76
2014,6,24,12.62
2014,6,25,12.26
2014,6,26,12.06
2014,6,27,12.33
2014,6,28,13.35
2014,6,29,14.51
2014,6,30,15.03
2014,7,1,15.45
2014,7,2,15.69
2014,7,3,15.79
2014,7,4,15.71
2014,7,5,15.95
2014,7,6,16.33
2014,7,7,16.39
2014,7,8,16.38
2014,7,9,16.19
2014,7,10,16.24
2014,7,11,16.31
2014,7,12,16.34
2014,7,13,16.37
2014,7,14,16.62
2014,7,15,16.66
2014,7,16,16.72
2014,7,17,17.09
2014,7,18,17.44
2014,7,19,17.78
2014,7,20,18.13
2014,7,21,18.16
2014,7,22,18.15
2014,7,23,18.33
2014,7,24,18.52
2014,7,25,18.89
2014,7,26,19.32
2014,7,27,18.92
2014,7,28,18.36
2014,7,29,18.39
2014,7,30,18.54
2014,7,31,18.97
2014,8,1,19.36
2014,8,2,19.61
2014,8,3,19.77
2014,8,4,19.81
2014,8,5,19.79
2014,8,6,19.86
2014,8,7,20.06
2014,8,8,20.39
2014,8,9,20.8
2014,8,10,20.77
