YY,MM,DD,WTMP
2012,6,1,9.6
2012,6,2,9.41
2012,6,3,9.51
2012,6,4,9.56
2012,6,5,9.57
2012,6,6,10.03
2012,6,7,10.77
2012,6,8,11.46
2012,6,9,11.62
2012,6,10,11.89
2012,6,11,12.27
2012,6,12,12.45
2012,6,13,12.53
2012,6,14,12.52
2012,6,15,12.57
2012,6,16,12.59
2012,6,17,12.59
2012,6,18,12.69
2012,6,19,12.76
2012,6,20,13.21
2012,6,21,13.75
2012,6,22,14.24
2012,6,23,14.46
2012,6,24,14.93
2012,6,25,15.25
2012,6,26,15.39
2012,6,27,15.66
2012,6,28,16.17
2012,6,29,16.79
2012,6,30,17.3
2012,7,1,17.99
2012,7,2,17.81
2012,7,3,17.68
2012,7,4,17.5
2012,7,5,17.25
2012,7,6,17.65
2012,7,7,18.2
2012,7,8,19.83
2012,7,9,21.12
2012,7,10,21.69
2012,7,11,21.93
2012,7,12,21.62
2012,7,13,22.07
2012,7,14,22.65
2012,7,15,22.7
2012,7,16,22.49
2012,7,17,22.25
2012,7,18,21.9
2012,7,19,21.41
2012,7,20,21.06
2012,7,21,21.58
2012,7,22,21.92
2012,7,23,22.03
2012,7,24,22.08
2012,7,25,21.68
2012,7,26,21.07
2012,7,27,20.47
2012,7,28,20.98
2012,7,29,21.94
2012,7,30,22.46
2012,7,31,22.61
2012,8,1,22.77
2012,8,2,22.93
2012,8,3,22.67
2012,8,4,21.89
2012,8,5,21.32
2012,8,6,21.32
2012,8,7,21.72
2012,8,8,21.76
2012,8,9,21.4
2012,8,10,21.03
2012,8,11,20.61
2012,8,12,20.33
2012,8,13,20.18
2012,8,14,20.1
2012,8,15,19.85
2012,8,16,19.33
2012,8,17,18.99
2012,8,18,19.02
2012,8,19,19.11
2012,8,20,18.98
2012,8,21,18.94
2012,8,22,19.06
2012,8,23,19.33
2012,8,24,19.5
2012,8,25,19.76
2012,8,26,19.85
2012,8,27,19.9
2012,8,28,20.01
2012,8,29,19.94
2012,8,30,19.9
2012,8,31,19.92
2012,9,1,19.94
2012,9,2,19.83
2012,9,3,19.92
2012,9,4,20.0
2012,9,5,19.81
2012,9,6,19.76
2012,9,7,19.5
2012,9,8,19.16
2012,9,9,18.88
2012,9,10,18.71
2012,9,11,18.38
2012,9,12,17.82
2012,9,13,17.26
2012,9,14,17.01
2012,9,15,16.66
2012,9,16,16.26
2012,9,17,15.42
2012,9,18,14.3
2012,9,19,13.79
2012,9,20,13.51
2012,9,21,13.13
2012,9,22,12.69
2012,9,23,12.43
2012,9,24,12.2
2012,9,25,12.25
2012,9,26,12.22
2012,9,27,11.98
2012,9,28,11.87
2012,9,29,11.96
2012,9,30,11.93
2012,10,1,11.76
2012,10,2,11.64
2012,10,3,11.67
2012,10,4,11.57
2012,10,5,11.37
2012,10,6,10.92
2012,10,7,10.16
2012,10,8,9.36
2012,10,9,8.87
