date,WDIRcos,WDIRsin,WSPD,ATMP,WTMP,DISC,bloom
2012-06-01,-1.0,0.0,2.22,10.4,13.0,1000.0,0.0
2012-06-02,-1.0,0.0,3.12,15.4,13.36,766.0,0.0
2012-06-03,-1.0,0.0,1.98,18.3,13.7,606.0,0.0
2012-06-04,0.71,0.71,1.85,15.8,14.09,498.0,0.0
2012-06-05,-1.0,0.0,1.86,13.7,14.53,426.0,0.0
2012-06-06,-1.0,0.0,1.74,14.7,15.15,372.0,0.0
2012-06-07,-1.0,0.0,1.54,16.8,15.43,356.0,0.0
2012-06-08,-1.0,0.0,3.24,19.1,15.13,441.0,0.0
2012-06-09,0.71,0.71,1.82,19.9,14.81,507.0,0.0
2012-06-10,-1.0,0.0,3.61,24.4,14.72,397.0,0.0
2012-06-11,-1.0,0.0,4.21,24.3,14.65,321.0,0.0
2012-06-12,-0.0,-1.0,4.55,13.55,14.19,280.0,0.0
2012-06-13,-1.0,0.0,3.31,16.0,14.02,246.0,0.0
2012-06-14,-1.0,0.0,2.63,17.4,14.16,238.0,0.0
2012-06-15,-1.0,0.0,2.11,19.9,14.39,375.0,0.0
2012-06-16,-1.0,0.0,1.38,16.8,14.63,475.0,0.0
2012-06-17,-0.71,-0.71,3.79,17.6,14.68,423.0,0.0
2012-06-18,-1.0,0.0,3.09,21.45,14.89,559.0,0.0
2012-06-19,-1.0,0.0,2.75,17.7,15.29,780.0,0.0
2012-06-20,-1.0,0.0,3.45,19.2,15.5,2220.0,0.0
2012-06-21,-0.71,-0.71,3.7,19.2,15.7,6120.0,0.0
2012-06-22,-1.0,0.0,2.5,19.6,16.56,4770.0,0.0
2012-06-23,-1.0,0.0,2.63,18.8,16.74,3230.0,0.0
2012-06-24,0.71,0.71,3.49,17.1,16.97,2230.0,0.0
2012-06-25,-1.0,0.0,2.0,15.5,17.47,1570.0,0.0
2012-06-26,-1.0,0.0,2.18,19.0,17.98,1100.0,0.0
2012-06-27,-1.0,0.0,2.47,22.1,18.36,803.0,0.0
2012-06-28,-0.0,-1.0,1.97,21.1,19.12,615.0,0.0
2012-06-29,-0.71,-0.71,3.63,23.4,20.33,491.0,0.0
2012-06-30,-1.0,0.0,1.99,22.6,21.18,405.0,0.0
2012-07-01,-1.0,0.0,2.07,22.1,21.4,341.0,0.0
2012-07-02,-1.0,0.0,1.53,23.3,21.35,294.0,0.0
2012-07-03,-1.0,0.0,2.6,24.1,21.23,299.0,0.0
2012-07-04,-1.0,0.0,2.4,23.65,21.18,306.0,0.0
2012-07-05,-1.0,0.0,1.96,24.7,21.97,268.0,0.0
2012-07-06,-1.0,0.0,3.64,20.3,22.41,237.0,0.0
2012-07-07,0.71,0.71,2.2,18.5,22.64,238.0,0.0
2012-07-08,-1.0,0.0,2.19,21.2,22.88,236.0,0.0
2012-07-09,-1.0,0.0,1.51,20.5,22.93,219.0,0.0
2012-07-10,0.71,0.71,1.82,20.75,23.04,188.0,0.0
2012-07-11,-1.0,0.0,3.18,22.6,23.04,169.0,0.0
2012-07-12,-1.0,0.0,3.16,24.3,23.24,155.0,0.0
2012-07-13,-0.71,-0.71,2.51,24.1,23.4,141.0,0.0
2012-07-14,-1.0,0.0,2.33,23.8,23.6,134.0,0.0
2012-07-15,-1.0,0.0,1.84,23.6,23.86,129.0,0.0
2012-07-16,-1.0,0.0,3.46,24.7,23.62,121.0,0.0
2012-07-17,0.71,0.71,3.88,20.5,23.22,114.0,0.0
2012-07-18,0.71,0.71,2.6,20.0,22.77,113.0,0.0
2012-07-19,0.71,0.71,2.22,19.6,22.39,113.0,0.0
2012-07-20,-1.0,0.0,3.19,20.5,22.59,106.0,0.0
