date,WDIRcos,WDIRsin,WSPD,ATMP,WTMP,DISC,bloom
2013-08-26,0.71,-0.71,4.41,18.8,14.54,291.0,0.0
2013-08-27,0.0,1.0,3.51,15.15,14.81,282.0,0.0
2013-08-28,0.0,1.0,3.17,17.6,14.9,272.0,0.0
2013-08-29,-0.0,-1.0,3.83,18.0,15.08,267.0,0.0
2013-08-30,1.0,0.0,4.76,17.45,15.13,313.0,0.0
2013-08-31,-1.0,0.0,5.6,15.4,14.83,305.0,0.0
2013-09-01,1.0,0.0,5.95,15.05,14.61,349.0,0.0
2013-09-02,1.0,0.0,8.02,10.95,14.56,313.0,0.0
2013-09-03,-0.0,-1.0,6.92,14.3,14.51,293.0,0.0
2013-09-04,0.71,0.71,6.03,11.5,14.34,273.0,0.0
2013-09-05,-0.71,-0.71,3.99,12.7,14.23,258.0,0.0
2013-09-06,-0.71,-0.71,6.7,15.4,14.28,245.0,0.0
2013-09-07,0.71,0.71,3.38,16.25,14.4,236.0,0.0
2013-09-08,0.0,1.0,5.51,12.55,14.39,224.0,0.0
2013-09-09,-0.71,0.71,3.72,13.7,14.39,228.0,0.0
2013-09-10,0.71,0.71,4.01,13.85,14.44,279.0,0.0
2013-09-11,-0.0,-1.0,3.91,14.1,14.49,270.0,0.0
2013-09-12,1.0,0.0,4.66,11.5,14.46,260.0,0.0
2013-09-13,0.71,0.71,3.52,10.3,14.39,246.0,0.0
2013-09-14,-0.71,-0.71,9.1,13.65,14.26,233.0,0.0
2013-09-15,0.71,0.71,6.79,10.85,14.08,239.0,0.0
2013-09-16,-1.0,0.0,4.28,10.1,13.98,241.0,0.0
2013-09-17,-1.0,0.0,7.6,12.3,13.92,235.0,0.0
2013-09-18,-1.0,0.0,5.25,13.45,13.84,227.0,0.0
2013-09-19,0.0,1.0,5.0,13.75,13.81,401.0,0.0
2013-09-20,-0.0,-1.0,7.44,14.55,13.76,1140.0,0.0
2013-09-21,0.71,-0.71,8.79,8.75,13.71,1010.0,0.0
2013-09-22,0.71,0.71,3.47,7.65,13.72,799.0,0.0
2013-09-23,-0.71,0.71,8.63,10.85,13.76,644.0,0.0
2013-09-24,-1.0,0.0,6.83,12.4,13.9,542.0,0.0
2013-09-25,0.0,1.0,3.17,11.9,13.96,474.0,0.0
2013-09-26,0.0,1.0,4.54,12.1,14.05,423.0,0.0
2013-09-27,-0.71,0.71,7.45,14.1,14.0,383.0,0.0
2013-09-28,-0.71,0.71,12.2,15.25,13.85,359.0,0.0
2013-09-29,-0.71,-0.71,10.06,11.95,13.72,383.0,0.0
2013-09-30,-1.0,0.0,6.76,13.95,13.72,378.0,0.0
2013-10-01,-1.0,0.0,8.6,14.6,13.75,353.0,0.0
2013-10-02,-0.0,-1.0,11.31,14.45,13.66,326.0,0.0
2013-10-03,-0.0,-1.0,4.65,13.15,13.58,307.0,0.0
2013-10-04,0.71,0.71,6.58,11.6,13.4,294.0,0.0
2013-10-05,0.0,1.0,12.5,8.3,13.06,287.0,0.0
2013-10-06,0.0,1.0,8.62,9.05,12.67,625.0,0.0
2013-10-07,0.71,-0.71,8.83,8.85,12.32,797.0,0.0
2013-10-08,-1.0,0.0,6.65,11.15,12.18,669.0,0.0
2013-10-09,-0.71,-0.71,8.59,13.75,12.21,571.0,0.0
2013-10-10,-0.71,-0.71,4.71,12.65,12.35,510.0,0.0
2013-10-11,-0.71,0.71,7.3,11.85,12.46,460.0,0.0
2013-10-12,-0.71,0.71,11.63,12.4,12.51,422.0,0.0
2013-10-13,-0.0,-1.0,11.26,10.25,12.52,393.0,0.0
2013-10-14,-0.71,-0.71,4.63,9.8,12.42,366.0,0.0
2013-10-15,0.0,1.0,7.31,9.0,12.31,373.0,0.0
2013-10-16,1.0,0.0,5.47,6.9,12.15,459.0,0.0
2013-10-17,-0.0,-1.0,4.8,8.1,12.01,475.0,0.0
2013-10-18,1.0,0.0,4.53,6.05,11.93,465.0,0.0
2013-10-19,-1.0,0.0,4.88,6.0,11.66,450.0,0.0
2013-10-20,0.71,0.71,3.38,5.45,11.28,428.0,0.0
2013-10-21,0.71,-0.71,7.87,4.2,10.84,427.0,0.0
2013-10-22,1.0,0.0,8.56,2.3,10.47,446.0,0.0
2013-10-23,0.71,-0.71,9.63,1.85,10.31,433.0,0.0
2013-10-24,0.71,-0.71,9.35,2.55,10.26,404.0,0.0
2013-10-25,0.71,-0.71,9.14,3.85,10.21,388.0,0.0
2013-10-26,1.0,0.0,12.07,3.95,10.03,376.0,0.0
2013-10-27,0.71,-0.71,6.96,3.3,9.77,366.0,0.0
2013-10-28,1.0,0.0,5.82,-0.8,9.5,354.0,0.0
2013-10-29,0.71,-0.71,3.52,0.4,9.43,340.0,0.0
2013-10-30,-0.71,-0.71,5.66,4.3,9.47,326.0,0.0
2013-10-31,1.0,0.0,3.6,7.25,9.46,326.0,0.0
2014-06-01,0.71,0.71,3.56,5.9,2.68,1420.0,0.0
2014-06-02,0.71,0.71,6.36,6.1,2.81,2200.0,0.0
2014-06-03,-0.0,-1.0,7.74,6.05,2.85,3300.0,0.0
2014-06-04,-0.71,-0.71,4.69,10.75,2.85,2890.0,0.0
2014-06-05,0.0,1.0,5.15,8.75,2.96,2430.0,0.0
2014-06-06,-0.71,0.71,3.62,6.6,3.23,2050.0,0.0
2014-06-07,1.0,0.0,4.02,5.8,3.55,1860.0,0.0
2014-06-08,-0.0,-1.0,6.2,6.1,3.67,1840.0,0.0
2014-06-09,0.0,1.0,3.38,6.15,3.73,1690.0,0.0
2014-06-10,0.0,1.0,3.54,4.8,3.68,1540.0,0.0
2014-06-11,0.0,1.0,4.18,5.7,3.63,1410.0,0.0
2014-06-12,0.0,1.0,5.88,6.8,3.69,1340.0,0.0
2014-06-13,1.0,0.0,6.83,5.85,3.83,1350.0,0.0
2014-06-14,0.0,1.0,3.6,5.85,4.06,1340.0,0.0
2014-06-15,0.0,1.0,10.98,5.0,4.5,1320.0,0.0
2014-06-16,-0.71,-0.71,7.47,7.6,4.91,1480.0,0.0
2014-06-17,1.0,0.0,3.57,9.55,5.7,1460.0,0.0
2014-06-18,0.71,0.71,6.44,12.5,5.73,1330.0,0.0
2014-06-19,0.0,1.0,7.32,6.6,5.72,1210.0,0.0
2014-06-20,0.0,1.0,6.26,6.5,6.04,1230.0,0.0
2014-06-21,0.0,1.0,6.54,5.6,7.02,1420.0,0.0
2014-06-22,0.0,1.0,3.78,5.8,7.71,1410.0,0.0
2014-06-23,0.0,1.0,3.63,6.0,7.92,1360.0,0.0
2014-06-24,0.71,0.71,6.04,6.65,7.91,1620.0,0.0
2014-06-25,0.71,0.71,5.54,9.6,7.78,1910.0,0.0
2014-06-26,0.0,1.0,3.49,8.1,7.63,1560.0,0.0
2014-06-27,0.0,1.0,5.05,6.2,7.85,1360.0,0.0
2014-06-28,-0.71,0.71,6.45,9.6,7.87,1290.0,0.0
2014-06-29,-0.71,0.71,7.29,10.55,7.6,1250.0,0.0
2014-06-30,-0.71,-0.71,10.51,11.6,7.96,1220.0,0.0
2014-07-01,-0.71,-0.71,9.39,10.05,8.65,1150.0,0.0
2014-07-02,0.71,-0.71,7.17,8.95,9.63,1080.0,0.0
2014-07-03,0.71,-0.71,4.76,10.95,10.31,1010.0,0.0
2014-07-04,-0.0,-1.0,6.45,10.7,10.94,936.0,0.0
2014-07-05,-0.71,-0.71,7.29,11.3,10.83,1130.0,0.0
2014-07-06,-1.0,0.0,6.07,9.7,10.71,1980.0,0.0
2014-07-07,-0.0,-1.0,9.88,11.5,10.6,2170.0,0.0
2014-07-08,1.0,0.0,5.16,8.3,10.51,1970.0,0.0
2014-07-09,-0.0,-1.0,7.11,8.05,10.43,1730.0,0.0
2014-07-10,-1.0,0.0,3.35,8.6,10.0,1460.0,0.0
2014-07-11,-1.0,0.0,5.38,10.3,11.28,1290.0,0.0
2014-07-12,-0.71,-0.71,7.35,12.55,11.7,1220.0,0.0
2014-07-13,-0.0,-1.0,8.58,9.85,12.04,1150.0,0.0
2014-07-14,-0.0,-1.0,6.35,9.2,13.08,1090.0,0.0
2014-07-15,1.0,0.0,4.16,8.15,13.53,1080.0,0.0
2014-07-16,-0.0,-1.0,6.53,10.85,13.71,1050.0,0.0
2014-07-17,-0.71,-0.71,4.35,9.55,13.79,973.0,0.0
2014-07-18,-0.71,-0.71,4.62,10.0,13.89,909.0,0.0
2014-07-19,-1.0,0.0,6.51,12.65,14.07,853.0,0.0
2014-07-20,-0.71,-0.71,4.78,10.4,14.22,810.0,0.0
2014-07-21,-0.71,-0.71,6.63,12.8,14.37,773.0,0.0
2014-07-22,0.0,1.0,7.5,11.8,14.49,969.0,0.0
2014-07-23,-0.0,-1.0,4.91,11.9,13.2,1010.0,0.0
2014-07-24,-0.0,-1.0,9.08,12.75,14.79,904.0,0.0
2014-07-25,-0.0,-1.0,3.58,10.75,14.73,826.0,0.0
2014-07-26,0.0,1.0,3.11,8.95,15.04,768.0,0.0
2014-07-27,0.71,0.71,5.26,11.2,15.24,821.0,0.0
2014-07-28,-0.0,-1.0,5.78,12.25,15.32,868.0,0.0
2014-07-29,-0.0,-1.0,5.92,12.45,15.4,837.0,0.0
2014-07-30,-0.0,-1.0,6.14,12.0,15.38,807.0,0.0
2014-07-31,-0.0,-1.0,6.97,12.4,15.42,742.0,0.0
2014-08-01,1.0,0.0,2.95,12.6,15.18,676.0,0.0
2014-08-02,-1.0,0.0,3.02,12.1,15.1,626.0,0.0
2014-08-03,1.0,0.0,2.77,10.85,15.39,588.0,0.0
2014-08-04,0.0,1.0,3.68,13.4,15.38,555.0,0.0
2014-08-05,-1.0,0.0,3.06,13.45,15.61,527.0,0.0
2014-08-06,-0.0,-1.0,3.76,15.5,15.9,511.0,0.0
2014-08-07,-0.0,-1.0,3.74,15.8,16.24,494.0,0.0
