#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 10 01 00 00  32  4.3  8.0 99.00 99.00 99.00 999 1018.7  17.3  17.4  15.8 99.0 99.00
2023 10 01 00 06  34  5.2  8.2 99.00 99.00 99.00 999 1018.7  17.3  17.4  15.8 99.0 99.00
2023 10 01 00 12  34  5.6  8.6 99.00 99.00 99.00 999 1018.8  17.3  17.4  15.8 99.0 99.00
2023 10 01 00 18  37  5.5  8.2 99.00 99.00 99.00 999 1018.8  17.3  17.4  15.8 99.0 99.00
2023 10 01 00 24  35  4.1  7.1 99.00 99.00 99.00 999 1018.8 999.0  17.4 999.0 99.0 99.00
2023 10 01 00 30  43  2.5  8.1 99.00 99.00 99.00 999 1018.9 999.0  17.4 999.0 99.0 99.00
2023 10 01 00 36  34  3.9  7.3 99.00 99.00 99.00 999 1018.9  17.4  17.4  15.9 99.0 99.00
2023 10 01 00 42  39  3.5  5.5 99.00 99.00 99.00 999 1019.0  17.4  17.4  15.9 99.0 99.00
2023 10 01 00 48  42  3.2  6.4 99.00 99.00 99.00 999 1018.9  17.3  17.4  15.8 99.0 99.00
2023 10 01 00 54  39  3.9  6.4 99.00 99.00 99.00 999 1018.9  17.3  17.4  15.8 99.0 99.00
2023 10 01 01 00  38  4.2  7.6 99.00 99.00 99.00 999 1018.9  17.2  17.4  15.7 99.0 99.00
2023 10 01 01 06  38  4.8  7.0 99.00 99.00 99.00 999 1018.9  17.2  17.4  15.7 99.0 99.00
2023 10 01 01 12  39  3.3  6.7 99.00 99.00 99.00 999 1019.1  17.2  17.4  15.7 99.0 99.00
2023 10 01 01 18  43  3.4  6.0 99.00 99.00 99.00 999 1019.2  17.2  17.4  15.8 99.0 99.00
2023 10 01 01 24  47  4.0  6.4 99.00 99.00 99.00 999 1019.2  17.1  17.4  15.7 99.0 99.00
2023 10 01 01 30  44  4.2  7.1 99.00 99.00 99.00 999 1019.3  17.0  17.4  15.6 99.0 99.00
2023 10 01 01 36  47  4.4  7.3 99.00 99.00 99.00 999 1019.3  17.0  17.4  15.6 99.0 99.00
2023 10 01 01 42  50  4.5  7.0 99.00 99.00 99.00 999 1019.3  17.0  17.3  15.6 99.0 99.00
2023 10 01 01 48  48  4.6  7.9 99.00 99.00 99.00 999 1019.4  16.9  17.3  15.5 99.0 99.00
2023 10 01 01 54  44  4.6  8.4 99.00 99.00 99.00 999 1019.6  16.8  17.3  15.4 99.0 99.00
2023 10 01 02 00  46  3.2  7.2 99.00 99.00 99.00 999 1019.6  16.8  17.3  15.4 99.0 99.00
2023 10 01 02 06  42  4.2  7.5 99.00 99.00 99.00 999 1019.7  16.8  17.3  15.4 99.0 99.00
2023 10 01 02 12  42  4.5  7.2 99.00 99.00 99.00 999 1019.7  16.7  17.3  15.4 99.0 99.00
2023 10 01 02 18  38  5.3  8.1 99.00 99.00 99.00 999 1019.6  16.8  17.3  15.5 99.0 99.00
2023 10 01 02 24  39  5.5  8.6 99.00 99.00 99.00 999 1019.7  16.8  17.3  15.5 99.0 99.00
2023 10 01 02 30  37  5.1  8.4 99.00 99.00 99.00 999 1019.8  16.8  17.3  15.5 99.0 99.00
2023 10 01 02 36  35  4.7  7.9 99.00 99.00 99.00 999 1019.8  16.8  17.3  15.5 99.0 99.00
2023 10 01 02 42  35  5.7  8.3 99.00 99.00 99.00 999 1019.8  16.8  17.4  15.4 99.0 99.00
2023 10 01 02 48  33  5.2  8.3 99.00 99.00 99.00 999 1019.8  16.8  17.4  15.4 99.0 99.00
2023 10 01 02 54  38  4.3  7.5 99.00 99.00 99.00 999 1019.8  16.8  17.4  15.4 99.0 99.00
2023 10 01 03 00  33  6.1  7.7 99.00 99.00 99.00 999 1019.7  16.8  17.4  15.4 99.0 99.00
2023 10 01 03 06  33  5.4  8.4 99.00 99.00 99.00 999 1019.7  16.8  17.3  15.4 99.0 99.00
2023 10 01 03 12  34  5.0  7.6 99.00 99.00 99.00 999 1019.8  16.9  17.3  15.5 99.0 99.00
2023 10 01 03 18  32  5.0  8.0 99.00 99.00 99.00 999 1019.9  16.9  17.3  15.5 99.0 99.00
2023 10 01 03 24  34  4.7  7.3 99.00 99.00 99.00 999 1019.9  16.9  17.3  15.5 99.0 99.00
2023 10 01 03 30  34  5.5  8.1 99.00 99.00 99.00 999 1020.0  16.9  17.3  15.5 99.0 99.00
2023 10 01 03 36  35  5.6  8.4 99.00 99.00 99.00 999 1019.9  16.9  17.3  15.5 99.0 99.00
2023 10 01 03 42  30  3.9  7.5 99.00 99.00 99.00 999 1019.9  17.0  17.3  15.6 99.0 99.00
2023 10 01 03 48  33  5.1  7.6 99.00 99.00 99.00 999 1019.9  17.0  17.3  15.6 99.0 99.00
2023 10 01 03 54  28  3.9  8.2 99.00 99.00 99.00 999 9999.0  17.0  17.3  15.6 99.0 99.00
2023 10 01 04 00  29  3.8  7.2 99.00 99.00 99.00 999 9999.0  17.1  17.3  15.6 99.0 99.00
2023 10 01 04 06  34  5.0  8.1 99.00 99.00 99.00 999 1019.7  17.1  17.3  15.6 99.0 99.00
2023 10 01 04 12  39  4.5  7.6 99.00 99.00 99.00 999 1019.6  17.2  17.3  15.7 99.0 99.00
2023 10 01 04 18  38  3.5  7.1 99.00 99.00 99.00 999 1019.7  17.2  17.3  15.7 99.0 99.00
2023 10 01 04 24  39  4.1  7.3 99.00 99.00 99.00 999 1019.7  17.2  17.3  15.7 99.0 99.00
2023 10 01 04 30  37  4.9  6.8 99.00 99.00 99.00 999 1019.6  17.2  17.3  15.7 99.0 99.00
2023 10 01 04 36  35  4.7  8.1 99.00 99.00 99.00 999 1019.6  17.1  17.3  15.6 99.0 99.00
2023 10 01 04 42  38  4.8  7.1 99.00 99.00 99.00 999 1019.6  17.1  17.3  15.6 99.0 99.00
2023 10 01 04 48  36  4.7  7.5 99.00 99.00 99.00 999 1019.6  17.2  17.3  15.7 99.0 99.00
2023 10 01 04 54  41  3.2  7.2 99.00 99.00 99.00 999 9999.0  17.1  17.3  15.6 99.0 99.00
2023 10 01 05 00  37  3.9  7.5 99.00 99.00 99.00 999 9999.0  17.2  17.3  15.7 99.0 99.00
2023 10 01 05 06  37  4.4  7.3 99.00 99.00 99.00 999 1019.6  17.2  17.3  15.7 99.0 99.00
2023 10 01 05 12  41  4.3  7.2 99.00 99.00 99.00 999 1019.6  17.2  17.3  15.7 99.0 99.00
2023 10 01 05 18  44  3.1  6.7 99.00 99.00 99.00 999 1019.8  17.2  17.3  15.7 99.0 99.00
2023 10 01 05 24  46  4.2  5.9 99.00 99.00 99.00 999 1020.0 999.0  17.3 999.0 99.0 99.00
2023 10 01 05 30  45  3.7  6.4 99.00 99.00 99.00 999 1020.0 999.0  17.3 999.0 99.0 99.00
2023 10 01 05 36  46  3.4  6.6 99.00 99.00 99.00 999 9999.0  17.1  17.3  15.6 99.0 99.00
2023 10 01 05 42  43  4.0  7.2 99.00 99.00 99.00 999 9999.0  17.0  17.3  15.5 99.0 99.00
2023 10 01 05 48  45  3.7  7.1 99.00 99.00 99.00 999 9999.0  17.0  17.3  15.5 99.0 99.00
2023 10 01 05 54  43  4.0  6.3 99.00 99.00 99.00 999 1019.8  17.0  17.3  15.5 99.0 99.00
2023 10 01 06 00  46  3.9  6.6 99.00 99.00 99.00 999 1019.8  16.9  17.3  15.5 99.0 99.00
2023 10 01 06 06  43  3.3  7.4 99.00 99.00 99.00 999 1019.8  16.9  17.3  15.5 99.0 99.00
2023 10 01 06 12  40  3.7  7.0 99.00 99.00 99.00 999 1019.7  16.8  17.3  15.4 99.0 99.00
2023 10 01 06 18  41  3.9  6.8 99.00 99.00 99.00 999 1019.7  16.8  17.3  15.4 99.0 99.00
2023 10 01 06 24  41  3.7  7.7 99.00 99.00 99.00 999 1019.6  16.8  17.3  15.4 99.0 99.00
2023 10 01 06 30  40  4.1  6.9 99.00 99.00 99.00 999 1019.6  16.8  17.3  15.5 99.0 99.00
